player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Santi Mina,22,es ESP,FW,25-144,90,14,23,60.9,136,21,10,16,62.5,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,34,2020-2021
Iago Aspas,10,es ESP,FW,33-272,65,19,28,67.9,290,93,6,10,60.0,7,11,63.6,2,2,100.0,1,0.9,0.6,2,3,1,0,5,34,2020-2021
   Augusto Solari,21,ar ARG,FW,29-117,25,5,6,83.3,46,24,5,5,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,34,2020-2021
Denis Suárez,6,es ESP,AM,27-114,90,47,57,82.5,755,263,25,26,96.2,15,18,83.3,5,8,62.5,0,0.4,0.3,1,8,2,0,9,34,2020-2021
Nolito,9,es ESP,LM,34-197,84,29,38,76.3,470,90,10,11,90.9,16,20,80.0,1,3,33.3,0,0.0,0.0,1,2,2,0,4,34,2020-2021
   Facundo Ferreyra,12,ar ARG,LM,30-047,6,2,2,100.0,63,32,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,1,0,0,1,34,2020-2021
Brais Méndez,23,es ESP,RM,24-113,90,37,44,84.1,533,169,23,28,82.1,12,13,92.3,2,3,66.7,0,0.0,0.0,0,4,1,0,5,34,2020-2021
Renato Tapia,14,pe PER,DM,25-276,28,14,18,77.8,270,126,9,9,100.0,2,5,40.0,2,3,66.7,0,0.0,0.0,0,1,0,0,0,34,2020-2021
   Fran Beltrán,8,es ESP,DM,22-086,62,29,36,80.6,497,145,12,14,85.7,13,14,92.9,4,7,57.1,0,0.0,0.0,0,5,0,0,4,34,2020-2021
José Fontán,29,es ESP,LB,21-078,45,17,26,65.4,248,112,8,10,80.0,8,13,61.5,0,1,0.0,0,0.0,0.0,0,0,0,0,0,34,2020-2021
   Aarón Martín,19,es ESP,LB,24-008,45,20,27,74.1,280,91,12,13,92.3,7,11,63.6,1,3,33.3,1,0.5,0.5,1,1,0,0,2,34,2020-2021
Jeison Murillo,24,co COL,CB,28-338,90,35,39,89.7,720,185,8,8,100.0,22,23,95.7,5,8,62.5,0,0.0,0.0,0,0,0,0,0,34,2020-2021
Joseph Aidoo,18,gh GHA,CB,25-213,45,24,29,82.8,450,190,10,10,100.0,11,11,100.0,3,7,42.9,0,0.0,0.0,0,1,0,0,1,34,2020-2021
   Néstor Araujo,4,mx MEX,CB,29-244,45,7,14,50.0,191,44,0,0,,4,6,66.7,3,6,50.0,0,0.4,0.2,1,1,1,0,1,34,2020-2021
Kevin Vázquez,20,es ESP,RB,28-038,90,37,57,64.9,476,183,27,32,84.4,9,12,75.0,0,10,0.0,0,0.0,0.0,0,2,0,0,0,34,2020-2021
Iván Villar,1,es ESP,GK,23-295,90,12,30,40.0,473,423,0,0,,7,8,87.5,5,21,23.8,0,0.0,0.0,0,0,0,0,0,34,2020-2021
Roger Martí,9,es ESP,FW,30-117,90,14,16,87.5,234,30,7,7,100.0,5,6,83.3,1,2,50.0,0,0.0,0.0,0,2,0,0,3,34,2020-2021
Álex Cantero,29,es ESP,FW,20-326,78,10,17,58.8,103,29,8,12,66.7,1,1,100.0,0,0,,0,0.6,0.7,1,0,0,0,1,34,2020-2021
   José Luis Morales,11,es ESP,FW,33-281,12,4,5,80.0,54,11,3,3,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,34,2020-2021
