Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Rui Silva,pt POR,26-289,90,3,3,0,0.0,1.0,15,23,65.2,27,4,59.3,40.4,9,77.8,50.3,6,0,0.0,1,21.7,10,2020-2021
Jordi Masip,es ESP,31-324,90,6,1,5,83.3,0.9,12,29,41.4,29,3,69.0,47.1,9,100.0,60.9,22,0,0.0,2,17.7,10,2020-2021
Fernando Pacheco,es ESP,28-188,90,5,2,3,60.0,1.7,8,23,34.8,17,0,82.4,50.2,10,90.0,53.6,13,0,0.0,0,1.0,10,2020-2021
Jaume Doménech,es ESP,30-017,90,3,2,1,66.7,1.5,1,9,11.1,27,7,25.9,31.3,2,100.0,56.5,9,0,0.0,0,15.0,10,2020-2021
Unai Simón,es ESP,23-165,90,1,0,1,100.0,0.0,5,10,50.0,22,6,36.4,36.5,2,100.0,61.5,14,0,0.0,0,,10,2020-2021
Claudio Bravo,cl CHI,37-224,90,9,4,6,55.6,3.0,2,7,28.6,28,10,17.9,25.9,3,66.7,41.3,17,0,0.0,1,11.7,10,2020-2021
Jordi Masip,es ESP,31-329,90,3,1,2,100.0,1.2,6,24,25.0,20,5,75.0,50.8,9,100.0,68.8,21,1,4.8,0,5.8,11,2020-2021
Cárdenas,es ESP,23-244,90,4,1,3,75.0,0.9,1,6,16.7,21,4,23.8,28.0,8,12.5,19.4,15,1,6.7,0,7.2,11,2020-2021
Édgar Badía,es ESP,28-290,90,2,1,1,50.0,0.8,7,14,50.0,37,4,32.4,31.2,2,100.0,64.0,25,0,0.0,1,11.0,11,2020-2021
Jeremías Ledesma,ar ARG,27-289,90,3,1,2,66.7,0.8,7,19,36.8,23,2,60.9,42.3,6,83.3,57.8,5,0,0.0,0,,11,2020-2021
Jaume Doménech,es ESP,30-023,90,5,1,5,80.0,0.8,7,26,26.9,21,3,66.7,40.9,13,92.3,56.6,13,0,0.0,0,7.0,11,2020-2021
Jan Oblak,si SVN,27-326,90,2,0,2,100.0,0.5,1,9,11.1,15,5,33.3,35.1,5,80.0,49.6,9,0,0.0,0,,11,2020-2021
Andrés Fernández,es ESP,33-347,90,4,1,3,75.0,1.2,6,17,35.3,31,5,45.2,40.0,9,33.3,30.6,20,0,0.0,0,12.0,11,2020-2021
Tomáš Vaclík,cz CZE,31-244,90,1,0,1,100.0,0.1,6,9,66.7,19,5,47.4,37.5,1,0.0,23.0,9,0,0.0,0,11.0,11,2020-2021
Thibaut Courtois,be BEL,28-201,90,6,2,4,83.3,2.6,0,2,0.0,15,5,13.3,27.5,1,0.0,36.0,10,0,0.0,0,9.5,11,2020-2021
Fernando Pacheco,es ESP,28-194,90,8,1,7,87.5,2.0,15,24,62.5,23,3,65.2,44.0,15,60.0,40.6,29,3,10.3,0,4.3,11,2020-2021
Marc-André ter Stegen,de GER,28-213,90,5,0,5,100.0,0.9,4,5,80.0,34,7,5.9,23.1,8,37.5,36.4,20,1,5.0,1,13.3,11,2020-2021
Sergio Herrera,es ESP,27-177,90,10,4,6,60.0,3.9,12,21,57.1,24,3,54.2,40.3,9,88.9,61.3,11,0,0.0,4,21.0,11,2020-2021
David Soria,es ESP,27-239,90,2,1,1,50.0,0.3,3,19,15.8,24,0,62.5,46.6,5,80.0,53.6,7,0,0.0,1,21.0,11,2020-2021
Unai Simón,es ESP,23-171,90,3,1,2,66.7,0.2,8,22,36.4,22,2,45.5,40.9,12,100.0,61.9,12,0,0.0,2,20.3,11,2020-2021
