player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Lucas Boyé,9,ar ARG,FW,24-289,90,1,1,0,1,0,0,0,,0,0,0,0,1,2,1,0,13,2020-2021
Fidel,16,es ESP,LM,31-047,90,3,2,0,2,1,0,0,,0,2,0,2,0,3,0,0,13,2020-2021
Pere Milla,10,es ESP,CM,28-081,45,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,13,2020-2021
   Raúl Guti,14,es ESP,CM,23-349,45,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,13,2020-2021
Tete Morente,11,es ESP,CM,24-009,90,1,0,1,0,0,1,3,33.3,2,0,0,0,1,2,2,0,13,2020-2021
Josan,17,es ESP,RM,31-010,72,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,13,2020-2021
   Emiliano Rigoni,22,ar ARG,RM,27-313,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2020-2021
Iván Marcone,4,ar ARG,DM,30-193,90,5,3,2,2,1,3,4,75.0,1,2,2,0,0,5,1,0,13,2020-2021
Josema,24,es ESP,LB,24-190,45,1,1,1,0,0,0,0,,0,1,0,1,1,2,4,0,13,2020-2021
   Juan Sánchez Miño,3,ar ARG,LB,30-347,45,4,3,2,2,0,2,2,100.0,0,0,0,0,0,4,1,0,13,2020-2021
Diego González,2,es ESP,CB,25-320,90,1,0,1,0,0,0,0,,0,1,0,1,0,1,3,0,13,2020-2021
Gonzalo Verdú,5,es ESP,CB,32-053,90,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,3,0,13,2020-2021
Antonio Barragán,19,es ESP,RB,33-184,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0,13,2020-2021
Édgar Badía,13,es ESP,GK,28-305,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,13,2020-2021
Roberto Soldado,9,es ESP,FW,35-200,80,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,13,2020-2021
   Jorge Molina,23,es ESP,FW,38-235,10,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,13,2020-2021
Luis Javier Suárez,7,co COL,LM,23-011,74,3,1,3,0,0,0,1,0.0,1,0,0,0,1,4,0,0,13,2020-2021
   Antonio Puertas,10,es ESP,LM,28-296,16,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,13,2020-2021
Yangel Herrera,21,ve VEN,CM,22-334,90,4,3,0,4,0,0,1,0.0,1,0,0,0,1,5,3,0,13,2020-2021
Luis Milla,5,es ESP,CM,26-067,90,0,0,0,0,0,0,3,0.0,3,0,0,0,3,3,1,0,13,2020-2021
Darwin Machís,11,ve VEN,RM,27-310,88,3,3,0,2,1,1,2,50.0,1,2,0,2,2,5,0,0,13,2020-2021
   Quini,17,es ESP,RM,31-080,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2020-2021
Maxime Gonalons,4,fr FRA,DM,31-278,88,3,2,1,2,0,0,3,0.0,3,1,0,1,1,4,0,0,13,2020-2021
   Yan Brice Eteki,8,cm CMR,DM,23-109,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2020-2021
Carlos Neva,15,es ESP,LB,24-184,90,0,0,0,0,0,0,0,,0,1,1,0,3,3,5,0,13,2020-2021
Nehuén Pérez,3,ar ARG,CB,20-172,90,1,1,1,0,0,0,0,,0,1,1,0,1,2,6,0,13,2020-2021
Domingos Duarte,22,pt POR,CB,25-278,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,0,13,2020-2021
Dimitri Foulquier,2,fr FRA,RB,27-265,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,13,2020-2021
Rui Silva,1,pt POR,GK,26-310,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2020-2021
Lionel Messi,10,ar ARG,FW,33-172,90,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,13,2020-2021
Martin Braithwaite,9,dk DEN,LW,29-191,90,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,13,2020-2021
Antoine Griezmann,7,fr FRA,RW,29-267,88,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,13,2020-2021
   Samuel Umtiti,23,fr FRA,RW,27-029,2,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,13,2020-2021
Philippe Coutinho,14,br BRA,AM,28-184,69,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,13,2020-2021
   Francisco Trincão,17,pt POR,AM,20-350,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2020-2021
Frenkie de Jong,21,nl NED,DM,23-215,90,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,13,2020-2021
Sergio Busquets,5,es ESP,DM,32-150,57,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,0,0,13,2020-2021
   Pedri,16,es ESP,DM,18-018,33,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,13,2020-2021
Jordi Alba,18,es ESP,LB,31-267,90,2,2,1,0,1,2,4,50.0,2,1,0,1,0,2,3,0,13,2020-2021
Clément Lenglet,15,fr FRA,CB,25-179,90,2,0,2,0,0,2,3,66.7,1,0,0,0,2,4,3,0,13,2020-2021
Ronald Araújo,4,uy URU,CB,21-281,90,0,0,0,0,0,0,0,,0,1,0,1,4,4,4,0,13,2020-2021
Sergiño Dest,2,us USA,RB,20-040,90,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0,13,2020-2021
Marc-André ter Stegen,1,de GER,GK,28-227,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2020-2021
Roger Martí,9,es ESP,FW,29-345,67,0,0,0,0,0,0,2,0.0,2,1,1,0,0,0,0,0,13,2020-2021
   José Luis Morales,11,es ESP,"FW,LM",33-143,23,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0,13,2020-2021
Dani Gómez,21,es ESP,FW,22-136,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,13,2020-2021
Gonzalo Melero,22,es ESP,LM,26-346,81,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,1,0,13,2020-2021
   Sergio León,7,es ESP,FW,31-342,9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,13,2020-2021
Mickael Malsa,12,mq MTQ,CM,25-062,90,4,2,3,1,0,3,3,100.0,0,2,1,1,6,10,3,0,13,2020-2021
Nikola Vukčević,17,me MNE,CM,29-000,67,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0,13,2020-2021
   Nemanja Radoja,5,rs SRB,CM,27-311,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2020-2021
Jorge de Frutos,18,es ESP,RM,23-297,81,4,2,3,1,0,0,1,0.0,1,2,0,2,0,4,1,0,13,2020-2021
   Son,2,es ESP,RM,26-258,9,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,13,2020-2021
Carlos Clerc,19,es ESP,LB,28-296,90,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,5,0,13,2020-2021
