player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Ante Budimir,17,hr CRO,FW,29-186,45,7,11,63.6,122,31,3,5,60.0,2,4,50.0,1,1,100.0,0,0.0,0.0,0,1,0,0,2,20,2020-2021
   Jonathan Calleri,16,ar ARG,FW,27-123,45,5,8,62.5,48,0,5,7,71.4,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,20,2020-2021
Jony,7,es ESP,LW,29-199,44,5,13,38.5,122,56,2,3,66.7,1,6,16.7,2,3,66.7,0,0.2,0.2,1,2,0,0,1,20,2020-2021
   Rubén García,14,es ESP,LW,27-194,46,10,15,66.7,130,70,7,9,77.8,2,5,40.0,0,0,,0,0.0,0.1,0,0,1,1,0,20,2020-2021
Kike Barja,11,es ESP,RW,23-298,80,19,24,79.2,386,85,7,7,100.0,7,9,77.8,4,5,80.0,1,0.5,0.3,1,2,2,2,4,20,2020-2021
   Roberto Torres,10,es ESP,RW,31-323,10,2,3,66.7,23,7,2,2,100.0,0,0,,0,0,,1,0.1,0.0,2,1,0,0,0,20,2020-2021
Iñigo Pérez,21,es ESP,LM,33-006,67,8,21,38.1,91,24,5,9,55.6,2,6,33.3,0,2,0.0,0,0.1,0.0,1,1,0,0,0,20,2020-2021
   Jon Moncayola,27,es ESP,LM,22-256,23,2,7,28.6,37,25,1,1,100.0,1,5,20.0,0,0,,0,0.0,0.0,0,1,1,0,1,20,2020-2021
Lucas Torró,24,es ESP,CM,26-189,90,19,32,59.4,305,91,10,15,66.7,7,8,87.5,2,8,25.0,0,0.0,0.0,0,0,0,0,1,20,2020-2021
Oier Sanjurjo,6,es ESP,RM,34-244,90,14,24,58.3,187,74,11,15,73.3,2,4,50.0,1,3,33.3,0,0.1,0.1,1,2,0,0,3,20,2020-2021
Manu Sánchez,39,es ESP,LB,20-153,45,17,23,73.9,239,117,9,12,75.0,8,10,80.0,0,1,0.0,0,0.0,0.0,0,1,0,0,3,20,2020-2021
   Juan Cruz Armada,3,es ESP,LB,28-180,45,9,12,75.0,196,97,4,4,100.0,3,6,50.0,2,2,100.0,0,0.0,0.0,0,2,0,0,0,20,2020-2021
David García,5,es ESP,CB,26-345,90,32,46,69.6,643,214,13,15,86.7,15,23,65.2,4,6,66.7,0,0.0,0.0,0,1,0,0,2,20,2020-2021
Unai García,4,es ESP,CB,28-356,90,21,27,77.8,510,214,1,1,100.0,17,19,89.5,3,7,42.9,0,0.0,0.0,0,1,0,0,4,20,2020-2021
Facundo Roncaglia,12,ar ARG,RB,33-349,87,23,37,62.2,392,179,13,15,86.7,8,12,66.7,2,8,25.0,0,0.0,0.0,0,2,1,0,3,20,2020-2021
Sergio Herrera,1,es ESP,GK,27-233,90,13,36,36.1,626,545,1,1,100.0,2,2,100.0,10,32,31.3,0,0.0,0.0,0,1,1,0,0,20,2020-2021
Luis Javier Suárez,7,co COL,FW,23-053,84,7,12,58.3,100,24,5,6,83.3,1,3,33.3,1,1,100.0,0,0.0,0.0,1,0,0,0,1,20,2020-2021
   Fede Vico,14,es ESP,LB,26-204,6,5,9,55.6,79,34,2,3,66.7,3,4,75.0,0,2,0.0,0,0.0,0.0,0,0,0,0,1,20,2020-2021
Darwin Machís,11,ve VEN,"LM,LW",27-352,90,6,12,50.0,122,35,3,4,75.0,2,4,50.0,1,4,25.0,0,0.0,0.0,0,0,0,0,0,20,2020-2021
Kenedy,24,br BRA,"RW,RM",24-351,80,12,16,75.0,235,125,6,7,85.7,4,5,80.0,2,4,50.0,0,0.2,0.2,2,3,4,1,3,20,2020-2021
   Antonio Puertas,10,es ESP,RM,28-338,10,7,8,87.5,100,21,5,6,83.3,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,20,2020-2021
Luis Milla,5,es ESP,"CM,AM",26-109,90,21,29,72.4,422,136,6,8,75.0,13,16,81.3,2,5,40.0,0,0.0,0.0,0,3,1,0,4,20,2020-2021
Jesús Vallejo,20,es ESP,DM,24-019,45,9,15,60.0,210,52,2,3,66.7,5,7,71.4,2,5,40.0,0,0.0,0.0,0,3,0,0,3,20,2020-2021
   Jorge Molina,23,es ESP,FW,38-277,45,12,18,66.7,203,74,6,8,75.0,4,6,66.7,1,1,100.0,0,0.1,0.5,1,1,1,0,4,20,2020-2021
Ángel Montoro,19,es ESP,"CM,DM",32-213,90,42,55,76.4,916,384,14,15,93.3,17,20,85.0,10,17,58.8,0,0.2,0.6,3,4,2,1,8,20,2020-2021
Carlos Neva,15,es ESP,LB,24-226,80,14,22,63.6,233,109,7,8,87.5,6,9,66.7,1,5,20.0,0,0.0,0.0,0,3,0,0,3,20,2020-2021
   Roberto Soldado,9,es ESP,"FW,LB",35-242,10,1,4,25.0,20,15,0,2,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,1,0,1,20,2020-2021
Germán Sánchez,6,es ESP,CB,34-043,90,21,34,61.8,489,112,3,7,42.9,15,16,93.8,3,10,30.0,0,0.0,0.0,0,0,0,0,0,20,2020-2021
Domingos Duarte,22,pt POR,CB,25-320,90,30,48,62.5,754,299,4,7,57.1,17,21,81.0,9,19,47.4,0,0.0,0.0,0,2,0,0,1,20,2020-2021
Dimitri Foulquier,2,fr FRA,RB,27-307,45,22,30,73.3,363,165,12,14,85.7,8,10,80.0,2,5,40.0,0,0.0,0.0,0,3,0,0,1,20,2020-2021
   Quini,17,es ESP,RB,31-122,45,8,15,53.3,119,45,5,8,62.5,2,5,40.0,1,2,50.0,0,0.1,0.0,1,0,1,1,1,20,2020-2021
Rui Silva,1,pt POR,GK,26-352,90,14,35,40.0,489,380,1,1,100.0,6,6,100.0,7,27,25.9,0,0.0,0.0,0,2,0,0,0,20,2020-2021
Lucas Boyé,9,ar ARG,FW,24-331,90,17,24,70.8,196,28,11,13,84.6,4,5,80.0,0,1,0.0,0,0.0,0.0,1,3,1,0,2,20,2020-2021
Emiliano Rigoni,22,ar ARG,LM,27-355,74,17,19,89.5,241,29,11,13,84.6,3,3,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,20,2020-2021
   Luismi,15,es ESP,LM,28-264,16,2,3,66.7,24,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,20,2020-2021
Víctor Rodríguez,8,es ESP,CM,31-185,81,27,31,87.1,356,138,20,21,95.2,6,7,85.7,1,1,100.0,0,0.0,0.0,0,1,0,0,1,20,2020-2021
   Nino,7,es ESP,CM,40-228,9,4,4,100.0,43,9,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,20,2020-2021
Raúl Guti,14,es ESP,CM,24-025,73,24,26,92.3,289,66,18,18,100.0,4,6,66.7,0,0,,0,0.0,0.1,0,1,1,0,4,20,2020-2021
   Tete Morente,11,es ESP,CM,24-051,17,3,5,60.0,19,0,2,3,66.7,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,20,2020-2021
Josan,17,es ESP,RM,31-052,90,12,19,63.2,125,36,9,12,75.0,1,2,50.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,20,2020-2021
Iván Marcone,4,ar ARG,DM,30-235,90,32,36,88.9,664,295,10,11,90.9,16,16,100.0,5,8,62.5,0,0.0,0.0,0,3,0,0,4,20,2020-2021
Johan Mojica,25,co COL,LB,28-156,90,28,43,65.1,388,238,16,20,80.0,12,15,80.0,0,2,0.0,0,0.1,0.2,1,0,1,1,0,20,2020-2021
Diego González,2,es ESP,CB,25-362,90,37,40,92.5,781,322,14,14,100.0,15,15,100.0,8,10,80.0,0,0.0,0.0,0,0,0,0,1,20,2020-2021
Gonzalo Verdú,5,es ESP,CB,32-095,90,44,52,84.6,945,520,18,18,100.0,17,19,89.5,7,12,58.3,0,0.0,0.0,0,2,0,0,1,20,2020-2021
Antonio Barragán,19,es ESP,RB,33-226,90,37,43,86.0,471,175,27,29,93.1,7,10,70.0,1,2,50.0,0,0.0,0.0,0,1,0,0,2,20,2020-2021
Édgar Badía,13,es ESP,GK,28-347,90,39,49,79.6,738,476,14,14,100.0,20,20,100.0,3,13,23.1,0,0.0,0.0,0,0,0,0,0,20,2020-2021
Antoine Griezmann,7,fr FRA,FW,29-309,90,32,41,78.0,428,45,17,19,89.5,9,12,75.0,2,3,66.7,0,0.3,0.3,1,1,1,0,6,20,2020-2021
