player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Jaime Mata,7,es ESP,FW,32-001,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,7,2020-2021
   Ángel Rodríguez,9,es ESP,FW,33-182,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,2020-2021
Cucho,23,co COL,FW,21-188,90,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,7,2020-2021
Marc Cucurella,15,es ESP,LM,22-095,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,2020-2021
Mauro Arambarri,18,uy URU,CM,25-025,90,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,3,0,7,2020-2021
Nemanja Maksimović,20,rs SRB,CM,25-273,63,2,2,2,0,0,0,0,,0,1,1,0,1,3,0,0,7,2020-2021
   David Timor,24,es ESP,CM,31-008,27,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,7,2020-2021
Allan Nyom,12,cm CMR,RM,32-168,63,1,1,0,1,0,0,0,,0,1,0,1,1,2,1,0,7,2020-2021
   Enes Ünal,10,tr TUR,RM,23-168,27,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,7,2020-2021
Mathías Olivera,17,uy URU,LB,22-360,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,7,2020-2021
Erick Cabaco,3,uy URU,CB,25-189,90,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,2,0,7,2020-2021
Djené,2,tg TOG,CB,28-299,90,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,0,7,2020-2021
Damián Suárez,22,uy URU,RB,32-181,90,2,2,0,2,0,2,3,66.7,1,0,0,0,0,2,0,0,7,2020-2021
David Soria,13,es ESP,GK,27-204,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,2020-2021
Jorge Molina,23,es ESP,FW,38-186,73,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0,7,2020-2021
   Alberto Soro,26,es ESP,FW,21-230,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,2020-2021
Luis Javier Suárez,7,co COL,LM,22-328,54,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,7,2020-2021
   Darwin Machís,11,ve VEN,LM,27-261,36,2,0,1,0,1,0,2,0.0,2,0,0,0,0,2,0,0,7,2020-2021
Ángel Montoro,19,es ESP,CM,32-122,73,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,1,0,7,2020-2021
   Nehuén Pérez,3,ar ARG,"CB,CM",20-123,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,7,2020-2021
Yangel Herrera,21,ve VEN,CM,22-285,90,2,1,1,1,0,0,1,0.0,1,2,1,1,0,2,4,0,7,2020-2021
Kenedy,24,br BRA,RM,24-260,54,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,7,2020-2021
   Antonio Puertas,10,es ESP,RM,28-247,36,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,7,2020-2021
Yan Brice Eteki,8,cm CMR,"DM,CM",23-060,90,2,1,1,1,0,0,1,0.0,1,2,1,1,1,3,5,0,7,2020-2021
Carlos Neva,15,es ESP,LB,24-135,90,0,0,0,0,0,0,0,,0,1,0,1,2,2,3,0,7,2020-2021
Jesús Vallejo,20,es ESP,CB,23-294,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,4,0,7,2020-2021
Germán Sánchez,6,es ESP,CB,33-318,90,1,1,0,1,0,1,1,100.0,0,1,1,0,2,3,12,0,7,2020-2021
Dimitri Foulquier,2,fr FRA,RB,27-216,90,2,0,2,0,0,0,2,0.0,2,1,1,0,2,4,7,0,7,2020-2021
Rui Silva,1,pt POR,GK,26-261,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,2020-2021
Willian José,9,br BRA,FW,28-337,62,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,7,2020-2021
   Alexander Isak,19,se SWE,FW,21-034,28,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,7,2020-2021
Mikel Oyarzabal,10,es ESP,LM,23-187,75,2,1,2,0,0,1,2,50.0,1,2,0,2,2,4,1,0,7,2020-2021
   Jon Bautista,25,es ESP,LM,25-114,15,2,0,0,1,1,0,0,,0,1,0,1,0,2,0,0,7,2020-2021
Jon Guridi,14,es ESP,CM,25-240,62,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,1,0,7,2020-2021
   Mikel Merino,8,es ESP,CM,24-125,28,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,7,2020-2021
David Silva,21,es ESP,CM,34-291,75,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,7,2020-2021
   Roberto López,28,es ESP,RM,20-184,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,2020-2021
Portu,7,es ESP,RM,28-157,75,1,0,0,1,0,1,1,100.0,0,2,0,2,0,1,0,0,7,2020-2021
   Modibo Sagnan,15,fr FRA,CB,21-194,15,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,7,2020-2021
Martín Zubimendi,36,es ESP,"DM,CM",21-266,90,0,0,0,0,0,0,0,,0,0,0,0,3,3,1,0,7,2020-2021
Aihen Muñoz,12,es ESP,LB,23-070,90,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0,7,2020-2021
Robin Le Normand,24,es ESP,CB,23-349,90,1,1,1,0,0,0,0,,0,1,1,0,2,3,1,0,7,2020-2021
Aritz Elustondo,6,es ESP,CB,26-211,90,3,1,2,1,0,3,3,100.0,0,0,0,0,1,4,2,0,7,2020-2021
Andoni Gorosabel,18,es ESP,RB,24-082,90,7,5,1,3,3,0,4,0.0,4,0,0,0,0,7,1,0,7,2020-2021
Álex Remiro,1,es ESP,GK,25-215,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,2020-2021
Rafa Mir,9,es ESP,FW,23-129,90,1,1,0,0,1,1,2,50.0,1,0,0,0,0,1,0,0,7,2020-2021
Sandro Ramírez,6,es ESP,FW,25-108,55,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,2020-2021
   Sergio Gómez,10,es ESP,"WB,FW",20-051,35,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,1,0,7,2020-2021
Borja García,24,es ESP,"LM,CM",29-358,90,0,0,0,0,0,0,0,,0,1,0,1,3,3,0,0,7,2020-2021
Pedro Mosquera,5,es ESP,CM,32-187,90,2,1,0,2,0,1,4,25.0,3,1,0,1,2,4,1,0,7,2020-2021
Jaime Seoane,20,es ESP,CM,23-277,70,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,7,2020-2021
   Kelechi Nwakali,26,ng NGA,CM,22-142,20,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,7,2020-2021
David Ferreiro,7,es ESP,RM,32-207,55,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,7,2020-2021
   Dani Escriche,23,es ESP,"FW,RM",22-215,35,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,2020-2021
Javi Galán,11,es ESP,LB,25-341,70,1,0,1,0,0,1,1,100.0,0,1,0,1,2,3,1,0,7,2020-2021
   Javier Ontiveros,15,es ESP,WB,23-046,20,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,7,2020-2021
Dimitris Siovas,18,gr GRE,CB,32-039,90,3,2,2,1,0,0,0,,0,3,0,3,1,4,4,1,7,2020-2021
Jorge Pulido,14,es ESP,CB,29-200,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,7,2020-2021
Pablo Maffeo,3,es ESP,RB,23-105,70,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,2,0,7,2020-2021
   Gastón Silva,22,uy URU,CB,26-234,20,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,7,2020-2021
Andrés Fernández,25,es ESP,GK,33-313,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,7,2020-2021
José Luis Morales,11,es ESP,FW,33-095,60,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,7,2020-2021
   Enis Bardhi,10,mk MKD,LM,25-116,30,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,7,2020-2021
Roger Martí,9,es ESP,FW,29-297,90,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,1,0,7,2020-2021
José Campaña,24,es ESP,"LM,CM",27-148,90,2,1,0,1,1,2,3,66.7,1,1,0,1,4,6,0,0,7,2020-2021
