player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Jaime Mata,7,es ESP,FW,32-099,90,0,0,0,5,1,2,4,0,0,0,0,0,2,1,4,20.0,21,2020-2021
Carles Aleñá,11,es ESP,LW,23-026,78,0,0,0,2,3,0,1,0,1,0,0,0,2,2,1,66.7,21,2020-2021
   Ángel Rodríguez,9,es ESP,FW,33-280,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,2020-2021
Takefusa Kubo,5,jp JPN,RW,19-241,78,0,0,0,4,4,1,3,1,0,0,0,0,4,1,0,100.0,21,2020-2021
   Francisco Portillo,8,es ESP,CM,30-232,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,21,2020-2021
Marc Cucurella,15,es ESP,"LM,WB",22-193,90,0,0,0,1,4,0,4,0,1,0,0,0,8,3,1,75.0,21,2020-2021
Nemanja Maksimović,20,rs SRB,CM,26-005,90,0,0,0,2,0,0,1,4,0,0,0,0,4,5,10,33.3,21,2020-2021
Mauro Arambarri,18,uy URU,CM,25-123,90,1,0,0,3,2,0,5,2,0,0,0,0,4,3,5,37.5,21,2020-2021
Damián Suárez,22,uy URU,"RM,WB",32-279,90,1,0,0,0,1,0,7,1,2,0,0,0,9,4,2,66.7,21,2020-2021
David Timor,24,es ESP,CB,31-106,90,0,0,0,2,0,0,3,2,0,0,0,0,5,2,3,40.0,21,2020-2021
Xabier Etxeita,4,es ESP,CB,33-092,90,0,0,0,0,0,0,0,1,0,0,0,0,6,2,1,66.7,21,2020-2021
Sofian Chakla,21,ma MAR,CB,27-151,90,0,0,0,0,2,0,0,1,0,0,0,0,6,8,3,72.7,21,2020-2021
Rubén Yáñez,1,es ESP,GK,27-111,90,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,21,2020-2021
Deyverson,14,br BRA,FW,29-268,78,0,0,0,1,4,2,0,0,1,0,0,0,6,4,3,57.1,21,2020-2021
