player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Édgar Méndez,16,es ESP,"FW,RM",31-070,78,0,0,0,5,2,0,1,1,0,0,0,0,3,5,4,55.6,27,2020-2021
   Iñigo Córdoba,17,es ESP,LM,24-000,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0,27,2020-2021
Joselu,9,es ESP,FW,30-351,90,0,0,0,4,1,0,0,0,0,0,0,0,4,11,2,84.6,27,2020-2021
Luis Rioja,11,es ESP,LM,27-148,64,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,100.0,27,2020-2021
   Lucas Pérez,7,es ESP,FW,32-184,26,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,27,2020-2021
Manu García,19,es ESP,CM,34-321,80,2,1,1,3,0,0,0,0,1,0,1,0,7,5,1,83.3,27,2020-2021
Tomás Pina Isla,8,es ESP,CM,33-150,90,1,0,0,1,0,0,0,0,0,0,0,0,7,3,3,50.0,27,2020-2021
Facundo Pellistri,37,uy URU,"RM,LM",19-083,84,0,0,0,2,1,0,0,0,0,0,0,0,2,2,5,28.6,27,2020-2021
   Pere Pons,20,es ESP,RM,28-021,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,2020-2021
Rubén Duarte,3,es ESP,LB,25-146,90,0,0,0,2,0,0,7,0,0,0,0,0,3,2,3,40.0,27,2020-2021
Florian Lejeune,22,fr FRA,CB,29-297,90,0,0,0,2,1,0,0,0,1,0,0,0,4,1,1,50.0,27,2020-2021
Víctor Laguardia,5,es ESP,CB,31-128,90,0,0,0,2,0,0,0,0,0,0,0,0,5,3,2,60.0,27,2020-2021
Martin Agirregabiria,21,es ESP,RB,24-307,90,0,0,0,1,0,0,1,2,2,0,0,0,2,2,0,100.0,27,2020-2021
Fernando Pacheco,1,es ESP,GK,28-299,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,2020-2021
Álvaro Negredo,18,es ESP,FW,35-205,82,0,0,0,0,1,0,0,0,0,0,0,0,2,7,6,53.8,27,2020-2021
   Ivan Šaponjić,12,rs SRB,FW,23-223,8,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,27,2020-2021
Alberto Perea,10,es ESP,LM,30-084,89,0,0,0,0,2,0,5,1,0,0,0,0,2,0,1,0.0,27,2020-2021
   Jairo Izquierdo,25,es ESP,LM,27-142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,2020-2021
Jens Jønsson,2,dk DEN,CM,28-062,90,0,0,0,0,2,0,0,0,1,0,0,0,4,1,3,25.0,27,2020-2021
Álex Fernández,8,es ESP,CM,28-149,90,0,0,0,1,4,0,5,1,1,0,0,0,10,2,1,66.7,27,2020-2021
Rubén Sobrino,21,es ESP,RM,28-285,82,0,0,0,0,5,1,2,2,0,0,0,0,2,1,5,16.7,27,2020-2021
   Filip Malbašić,24,rs SRB,RM,28-115,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,27,2020-2021
José Mari,6,es ESP,DM,33-097,89,0,0,0,0,2,0,0,4,1,0,0,0,6,2,5,28.6,27,2020-2021
   Jon Ander Garrido,5,es ESP,DM,31-155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,2020-2021
Alfonso Espino,22,uy URU,LB,29-067,90,0,0,0,2,1,0,4,1,1,0,0,0,6,3,2,60.0,27,2020-2021
Cala,16,es ESP,CB,31-107,90,0,0,0,1,2,0,0,2,1,1,0,0,4,2,4,33.3,27,2020-2021
Marcos Mauro López Gutiérrez,4,ar ARG,CB,30-063,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,2020-2021
   Salvi,7,es ESP,RB,29-348,85,1,0,0,1,0,0,6,0,0,0,1,0,4,2,4,33.3,27,2020-2021
Fali,3,es ESP,"CB,RB",27-213,90,1,0,0,0,2,0,0,3,0,0,0,0,7,2,5,28.6,27,2020-2021
Jeremías Ledesma,1,ar ARG,GK,28-028,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,27,2020-2021
Karim Benzema,9,fr FRA,FW,33-084,90,1,0,0,1,1,1,1,0,0,0,0,0,1,2,1,66.7,27,2020-2021
Vinicius Júnior,20,br BRA,"FW,LW",20-244,74,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,27,2020-2021
   Eden Hazard,7,be BEL,LW,30-065,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,27,2020-2021
Ferland Mendy,23,fr FRA,"LW,LB",25-278,90,0,0,0,0,0,1,3,0,0,0,0,0,4,0,1,0.0,27,2020-2021
Lucas Vázquez,17,es ESP,"RW,RB",29-255,90,0,0,0,2,1,0,4,1,3,0,0,0,4,0,0,,27,2020-2021
Isco,22,es ESP,CM,28-326,61,0,0,0,1,2,0,6,0,1,0,0,0,4,0,0,,27,2020-2021
   Luka Modrić,10,hr CRO,LM,35-185,29,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,,27,2020-2021
Federico Valverde,15,uy URU,CM,22-234,61,0,0,0,0,0,0,3,1,0,0,0,0,6,0,0,,27,2020-2021
   Toni Kroos,8,de GER,RM,31-068,29,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,100.0,27,2020-2021
Casemiro,14,br BRA,"DM,CM",29-018,90,0,0,0,1,2,1,0,6,1,0,0,0,7,6,3,66.7,27,2020-2021
Nacho,6,es ESP,CB,31-054,90,0,0,0,5,3,0,1,1,1,0,0,0,4,2,4,33.3,27,2020-2021
Sergio Ramos,4,es ESP,CB,34-348,60,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,66.7,27,2020-2021
   Rodrygo,25,br BRA,RW,20-063,30,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,,27,2020-2021
Raphaël Varane,5,fr FRA,CB,27-322,90,0,0,0,0,1,0,0,2,0,0,0,0,7,2,1,66.7,27,2020-2021
Thibaut Courtois,1,be BEL,GK,28-306,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,27,2020-2021
Lucas Boyé,9,ar ARG,FW,25-013,74,0,0,0,2,0,0,1,0,1,0,0,0,3,0,2,0.0,27,2020-2021
   Omenuke Mfulu,6,cd COD,FW,26-358,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,2020-2021
Guido Carrillo,21,ar ARG,FW,29-292,90,1,0,0,5,2,1,0,0,0,0,0,0,1,9,10,47.4,27,2020-2021
Fidel,16,es ESP,LM,31-137,86,0,0,0,0,1,0,3,0,1,0,0,0,1,0,0,,27,2020-2021
   Josema,24,es ESP,LM,24-280,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,27,2020-2021
Iván Marcone,4,ar ARG,CM,30-283,90,0,0,0,0,1,0,0,1,1,0,0,0,6,0,1,0.0,27,2020-2021
Raúl Guti,14,es ESP,CM,24-073,86,0,0,0,4,1,0,1,1,0,0,0,0,4,0,0,,27,2020-2021
   Diego González,2,es ESP,CM,26-044,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,2020-2021
Tete Morente,11,es ESP,RM,24-099,74,0,0,0,1,2,0,4,1,0,0,0,0,3,1,1,50.0,27,2020-2021
   Josan,17,es ESP,RM,31-100,16,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,27,2020-2021
Johan Mojica,25,co COL,LB,28-204,90,0,0,0,1,0,0,4,1,1,0,0,0,4,0,1,0.0,27,2020-2021
Gonzalo Verdú,5,es ESP,CB,32-143,90,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,,27,2020-2021
Dani Calvo,12,es ESP,CB,26-346,90,0,0,0,0,2,0,0,1,0,0,0,0,4,1,0,100.0,27,2020-2021
Antonio Barragán,19,es ESP,RB,33-274,35,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,,27,2020-2021
   Cifu,23,es ESP,RB,30-159,55,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0.0,27,2020-2021
Édgar Badía,13,es ESP,GK,29-029,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,2020-2021
Ante Budimir,17,hr CRO,FW,29-234,90,0,0,0,3,0,1,0,0,1,0,0,0,4,10,6,62.5,27,2020-2021
Jonathan Calleri,16,ar ARG,FW,27-171,76,0,0,0,1,1,2,1,0,0,0,0,0,2,3,2,60.0,27,2020-2021
   Adrián López,20,es ESP,AM,33-064,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,2020-2021
Rubén García,14,es ESP,LM,27-242,69,0,0,0,0,1,0,10,1,2,0,0,0,5,0,6,0.0,27,2020-2021
   Jony,7,es ESP,"RW,LM",29-247,21,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,,27,2020-2021
Jon Moncayola,27,es ESP,"CM,DM",22-304,84,1,0,0,2,0,0,0,0,2,0,0,0,11,1,0,100.0,27,2020-2021
   Javi Martínez,28,es ESP,DM,21-081,6,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0.0,27,2020-2021
Darko Brašanac,8,rs SRB,CM,29-029,68,0,0,0,1,1,0,0,3,1,0,0,0,8,4,4,50.0,27,2020-2021
   Lucas Torró,24,es ESP,"DM,CM",26-237,22,0,0,0,0,1,0,0,2,0,0,0,0,2,2,1,66.7,27,2020-2021
Kike Barja,11,es ESP,"RM,LW",23-346,90,1,0,0,1,1,0,4,0,0,0,0,0,8,0,2,0.0,27,2020-2021
Manu Sánchez,39,es ESP,LB,20-201,90,0,0,0,0,1,0,2,0,3,0,0,0,2,2,1,66.7,27,2020-2021
David García,5,es ESP,CB,27-027,90,0,0,0,1,2,0,0,2,0,0,0,0,4,9,1,90.0,27,2020-2021
Aridane Hernández,23,es ESP,CB,31-355,90,0,0,0,1,1,0,0,2,0,0,0,0,10,5,0,100.0,27,2020-2021
Nacho Vidal,2,es ESP,RB,26-048,90,0,0,0,0,0,0,1,1,1,0,0,0,6,5,1,83.3,27,2020-2021
Sergio Herrera,1,es ESP,GK,27-281,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,2020-2021
Shon Weissman,9,il ISR,FW,25-027,79,1,0,0,1,1,2,0,0,0,0,0,0,2,1,3,25.0,27,2020-2021
   Kenan Kodro,3,ba BIH,FW,27-206,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3,27,2020-2021
Sergi Guardiola,7,es ESP,FW,29-288,90,1,0,0,1,1,0,3,0,0,0,0,0,7,1,10,9.1,27,2020-2021
Fabián Orellana,12,cl CHI,LM,35-045,90,0,0,0,0,3,1,3,1,2,0,0,0,7,0,7,0.0,27,2020-2021
Rubén Alcaraz,14,es ESP,CM,29-316,90,0,0,0,0,1,0,2,1,1,0,0,0,10,7,7,50.0,27,2020-2021
Roque Mesa,17,es ESP,CM,31-279,78,0,0,0,1,2,0,1,0,0,0,0,0,8,0,3,0.0,27,2020-2021
   Míchel,21,es ESP,CM,32-227,12,0,0,0,1,0,0,1,2,0,0,0,0,5,0,0,,27,2020-2021
Óscar Plano,10,es ESP,RM,30-030,89,0,0,0,1,1,0,0,3,1,0,0,0,6,4,3,57.1,27,2020-2021
   Luis Pérez,2,es ESP,RM,26-037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,2020-2021
Lucas Olaza,25,uy URU,LB,26-235,90,0,0,0,1,1,0,8,2,0,0,0,0,3,3,1,75.0,27,2020-2021
