Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Yassine Bounou,ma MAR,29-328,90,5,2,3,60.0,2.0,5,17,29.4,42,4,33.3,31.6,8,37.5,33.8,2,1,50.0,1,13.3,25,2020-2021
Marc-André ter Stegen,de GER,28-303,90,2,0,2,100.0,0.4,2,8,25.0,41,6,12.2,25.7,7,42.9,39.3,7,0,0.0,2,22.3,25,2020-2021
Fernando Pacheco,es ESP,28-285,90,2,1,1,50.0,1.2,7,14,50.0,17,3,41.2,40.4,12,58.3,41.9,10,1,10.0,0,5.5,25,2020-2021
Sergio Herrera,es ESP,27-267,90,1,0,1,100.0,0.2,12,27,44.4,30,1,80.0,47.4,3,100.0,61.3,11,1,9.1,3,21.0,25,2020-2021
David Soria,es ESP,27-329,90,0,0,0,,0.0,7,19,36.8,17,0,88.2,49.5,5,80.0,51.8,12,1,8.3,1,18.3,25,2020-2021
Jasper Cillessen,nl NED,31-311,90,4,3,1,25.0,1.2,10,25,40.0,25,6,60.0,44.0,10,100.0,61.8,16,1,6.3,1,19.0,25,2020-2021
Rubén Blanco,es ESP,25-218,90,3,1,2,66.7,0.4,7,13,53.8,21,5,47.6,38.0,9,33.3,30.6,7,1,14.3,2,25.0,25,2020-2021
Roberto,es ESP,35-018,90,2,1,1,50.0,0.8,8,22,36.4,28,3,71.4,47.8,4,50.0,39.8,12,0,0.0,0,12.0,25,2020-2021
Jeremías Ledesma,ar ARG,28-015,90,4,1,3,75.0,0.6,7,19,36.8,12,1,58.3,48.0,12,100.0,69.3,16,1,6.3,0,5.0,25,2020-2021
Joel Robles,es ESP,30-256,90,3,0,3,100.0,0.5,0,4,0.0,22,7,18.2,25.7,1,0.0,9.0,11,1,9.1,3,21.2,25,2020-2021
Rui Silva,pt POR,27-021,90,4,1,3,75.0,1.7,13,27,48.1,18,1,83.3,54.5,13,92.3,59.2,16,0,0.0,1,16.5,25,2020-2021
Édgar Badía,es ESP,29-016,90,4,2,2,50.0,1.3,8,24,33.3,23,2,65.2,41.3,11,81.8,50.2,14,0,0.0,0,19.0,25,2020-2021
Sergio Asenjo,es ESP,31-245,90,5,2,4,60.0,1.8,2,6,33.3,22,1,27.3,30.5,2,0.0,22.0,8,1,12.5,4,24.0,25,2020-2021
Jan Oblak,si SVN,28-052,90,6,0,6,100.0,1.3,7,24,29.2,22,3,81.8,52.6,6,100.0,58.8,20,2,10.0,0,4.0,25,2020-2021
Thibaut Courtois,be BEL,28-294,90,2,1,1,50.0,0.6,2,7,28.6,30,5,23.3,30.5,4,0.0,21.5,7,2,28.6,0,8.0,25,2020-2021
Álex Remiro,es ESP,25-342,90,2,1,1,50.0,0.7,9,22,40.9,21,1,42.9,38.9,13,100.0,66.8,20,0,0.0,0,,25,2020-2021
Jasper Cillessen,nl NED,31-317,90,5,1,4,100.0,2.1,8,18,44.4,22,4,68.2,40.7,7,42.9,32.4,9,0,0.0,3,26.3,26,2020-2021
Sergio Asenjo,es ESP,31-250,90,4,2,2,75.0,2.1,6,22,27.3,19,2,63.2,44.3,16,62.5,47.3,19,0,0.0,1,12.5,26,2020-2021
Roberto,es ESP,35-024,90,2,1,1,50.0,0.1,8,26,30.8,26,2,73.1,52.8,8,87.5,61.0,21,0,0.0,1,15.7,26,2020-2021
David Soria,es ESP,27-336,90,3,2,1,33.3,2.3,11,25,44.0,22,0,95.5,55.2,4,100.0,62.0,10,0,0.0,1,14.0,26,2020-2021
