player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Santi Mina,22,es ESP,FW,25-023,90,21,31,67.7,196,20,16,20,80.0,2,6,33.3,0,0,,0,0.1,0.0,1,1,0,0,1,16,2020-2021
Iago Aspas,10,es ESP,FW,33-151,72,37,40,92.5,611,165,17,19,89.5,14,14,100.0,3,3,100.0,1,0.4,0.4,3,4,4,0,9,16,2020-2021
   Fran Beltrán,8,es ESP,"CM,FW",21-331,18,6,6,100.0,95,21,4,4,100.0,2,2,100.0,0,0,,0,0.1,0.0,1,0,1,0,1,16,2020-2021
Nolito,9,es ESP,LM,34-076,82,22,28,78.6,346,116,11,13,84.6,9,12,75.0,1,2,50.0,0,0.2,0.1,2,2,1,0,4,16,2020-2021
   Miguel Baeza,27,es ESP,LM,20-278,8,2,4,50.0,22,14,2,3,66.7,0,0,,0,0,,0,0.3,0.1,1,0,0,0,1,16,2020-2021
Renato Tapia,14,pe PER,CM,25-155,82,43,55,78.2,646,189,25,28,89.3,13,14,92.9,3,6,50.0,0,0.1,0.1,1,2,1,0,3,16,2020-2021
   José Fontán,29,es ESP,"CB,LB",20-323,8,2,2,100.0,42,35,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,16,2020-2021
Denis Suárez,6,es ESP,CM,26-359,72,53,56,94.6,748,264,27,29,93.1,20,21,95.2,2,2,100.0,0,0.1,0.1,1,6,0,0,8,16,2020-2021
   Okay Yokuşlu,5,tr TUR,CM,26-296,18,15,18,83.3,186,31,10,10,100.0,3,3,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,16,2020-2021
Brais Méndez,23,es ESP,RM,23-358,90,38,43,88.4,567,107,23,24,95.8,7,9,77.8,4,4,100.0,0,0.0,0.1,0,4,3,0,5,16,2020-2021
Lucas Olaza,15,uy URU,LB,26-162,89,41,48,85.4,564,164,24,28,85.7,14,14,100.0,1,4,25.0,0,0.4,0.2,1,3,1,1,1,16,2020-2021
   Joseph Aidoo,18,gh GHA,"CB,LB",25-092,1,1,1,100.0,21,18,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,16,2020-2021
Jeison Murillo,24,co COL,CB,28-217,90,62,67,92.5,1346,293,11,13,84.6,45,47,95.7,6,6,100.0,0,0.0,0.0,0,0,0,0,2,16,2020-2021
Néstor Araujo,4,mx MEX,CB,29-123,90,73,81,90.1,1548,468,15,16,93.8,47,49,95.9,11,16,68.8,0,0.0,0.0,0,2,0,0,1,16,2020-2021
Hugo Mallo,2,es ESP,RB,29-191,90,68,81,84.0,1015,435,40,45,88.9,20,22,90.9,5,8,62.5,0,0.1,0.2,2,1,3,2,2,16,2020-2021
Rubén Blanco,13,es ESP,GK,25-158,90,28,35,80.0,785,538,4,5,80.0,15,15,100.0,9,15,60.0,0,0.0,0.0,0,0,0,0,0,16,2020-2021
Shinji Okazaki,12,jp JPN,FW,34-258,90,8,10,80.0,122,17,3,4,75.0,4,4,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,16,2020-2021
Javier Ontiveros,15,es ESP,LW,23-112,66,17,23,73.9,276,80,9,11,81.8,7,9,77.8,1,1,100.0,0,0.0,0.0,0,2,0,0,2,16,2020-2021
