Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Yassine Bounou,ma MAR,29-258,90,5,1,4,80.0,1.3,6,13,46.2,26,2,38.5,39.0,5,60.0,37.0,12,0,0.0,3,33.0,14,2020-2021
Jordi Masip,es ESP,31-351,90,3,1,2,100.0,1.1,9,16,56.3,20,5,45.0,37.6,7,100.0,69.3,20,0,0.0,2,24.5,14,2020-2021
Rubén Blanco,es ESP,25-148,90,2,0,2,100.0,0.2,2,23,8.7,34,2,55.9,41.5,8,50.0,34.0,13,0,0.0,0,,14,2020-2021
Fernando Pacheco,es ESP,28-216,90,3,2,1,33.3,1.4,7,13,53.8,28,2,32.1,31.6,6,66.7,39.8,7,0,0.0,2,13.3,14,2020-2021
Rui Silva,pt POR,26-317,90,1,0,1,100.0,0.1,9,28,32.1,29,2,69.0,46.4,10,80.0,59.8,22,0,0.0,0,,14,2020-2021
Joel Robles,es ESP,30-186,90,3,2,1,66.7,1.7,4,9,44.4,20,4,35.0,34.8,8,25.0,32.6,7,0,0.0,1,29.0,14,2020-2021
Jeremías Ledesma,ar ARG,27-311,90,4,2,2,50.0,1.2,5,10,50.0,23,9,39.1,32.4,4,25.0,36.5,9,0,0.0,0,10.0,14,2020-2021
Rubén Yáñez,es ESP,27-069,90,1,0,1,100.0,0.0,4,18,22.2,16,0,81.3,49.2,6,83.3,51.7,13,2,15.4,1,9.3,14,2020-2021
Marko Dmitrović,rs SRB,28-331,90,4,3,1,25.0,1.4,11,30,36.7,34,2,70.6,49.7,6,100.0,74.0,9,1,11.1,1,15.6,14,2020-2021
Thibaut Courtois,be BEL,28-223,90,3,1,2,66.7,0.8,3,19,15.8,48,7,31.3,34.0,9,44.4,46.3,22,3,13.6,0,9.0,14,2020-2021
Jaume Doménech,es ESP,30-047,90,3,1,2,66.7,0.1,19,30,63.3,24,3,58.3,39.5,16,100.0,57.9,18,0,0.0,5,16.8,15,2020-2021
Yassine Bounou,ma MAR,29-261,90,4,0,4,100.0,0.5,13,17,76.5,27,1,48.1,37.8,5,80.0,47.6,9,0,0.0,2,21.7,15,2020-2021
Édgar Badía,es ESP,28-314,90,6,2,4,66.7,1.6,1,4,25.0,40,5,7.5,22.4,10,10.0,15.8,11,0,0.0,2,15.0,15,2020-2021
Rubén,es ESP,36-183,90,2,2,0,0.0,1.6,10,18,55.6,18,1,66.7,42.9,6,100.0,57.7,17,1,5.9,1,17.0,15,2020-2021
Álvaro Fernández,es ESP,22-253,90,1,1,0,0.0,0.2,3,7,42.9,15,3,33.3,35.5,7,28.6,36.9,15,0,0.0,1,28.0,15,2020-2021
Aitor Fernández,es ESP,29-233,90,2,1,1,100.0,1.0,6,15,40.0,28,4,39.3,36.0,9,44.4,36.1,25,0,0.0,3,15.3,15,2020-2021
Álex Remiro,es ESP,25-273,90,3,2,1,33.3,0.3,4,7,57.1,21,4,28.6,33.9,3,33.3,46.3,17,0,0.0,0,3.0,15,2020-2021
Jan Oblak,si SVN,27-350,90,1,0,1,100.0,0.2,9,24,37.5,19,2,84.2,50.5,9,88.9,54.8,16,0,0.0,1,22.5,15,2020-2021
Jordi Masip,es ESP,31-354,90,10,3,7,70.0,3.1,1,13,7.7,18,6,44.4,40.2,10,50.0,43.7,7,1,14.3,1,10.7,15,2020-2021
Marc-André ter Stegen,de GER,28-236,90,5,0,5,100.0,0.3,7,12,58.3,32,5,25.0,30.1,11,36.4,43.7,12,1,8.3,0,9.8,15,2020-2021
