player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Manu Vallejo,7,es ESP,"FW,RW",25-033,77,35,1,3,13,19,4,35,1,0,0.0,1,100.0,17,65,30,3,0,0,1,0,21,5,29,2021-2022
   Jason,25,es ESP,RW,27-256,13,9,0,1,3,5,0,9,1,0,0.0,1,100.0,4,9,2,0,0,0,0,0,5,1,29,2021-2022
Joselu,9,es ESP,FW,31-357,66,23,0,1,12,10,5,22,0,0,,0,,13,32,12,0,0,0,0,0,19,5,29,2021-2022
   Toni Moya,15,es ESP,DM,23-364,24,10,1,3,4,3,0,10,0,0,,0,,4,8,6,0,0,0,1,0,3,0,29,2021-2022
Luis Rioja,11,es ESP,"LM,LW,LB",28-154,90,52,0,8,10,34,2,52,1,1,100.0,0,0.0,25,207,95,3,2,1,2,2,33,9,29,2021-2022
Mamadou N'Diaye,6,,CM,25-079,77,,,,,,,,,,,,,,,,,,,,,,,29,2021-2022
   Pere Pons,20,es ESP,AM,29-027,13,8,0,2,6,0,0,8,0,0,,0,,3,15,0,0,0,0,1,0,3,1,29,2021-2022
Gonzalo Escalante,16,ar ARG,"CM,DM",28-357,90,45,0,9,29,7,2,45,1,1,100.0,0,0.0,13,76,34,1,0,0,1,1,18,0,29,2021-2022
Édgar Méndez,17,es ESP,"RM,FW,LW",32-076,90,46,0,2,18,27,5,46,3,3,100.0,0,0.0,22,121,38,1,1,0,3,0,30,10,29,2021-2022
Rubén Duarte,3,es ESP,LB,26-152,86,58,2,16,16,26,1,58,1,1,100.0,0,0.0,28,92,39,1,0,0,2,2,30,3,29,2021-2022
   Miguel,24,es ESP,FW,22-197,4,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,29,2021-2022
Florian Lejeune,22,fr FRA,CB,30-303,90,40,5,29,10,1,1,40,0,0,,0,,6,43,38,1,0,0,0,0,8,0,29,2021-2022
Víctor Laguardia,5,es ESP,CB,32-134,90,36,6,23,13,1,0,36,0,0,,0,,9,18,10,0,0,0,0,0,4,0,29,2021-2022
Nahuel Tenaglia,2,ar ARG,RB,26-026,90,63,4,19,34,10,0,63,1,1,100.0,0,0.0,26,180,94,4,1,0,2,0,22,0,29,2021-2022
Fernando Pacheco,1,es ESP,GK,29-305,90,26,20,25,1,0,0,26,0,0,,0,,12,66,47,0,0,0,0,0,5,0,29,2021-2022
Myrto Uzuni,24,al ALB,FW,26-292,61,19,0,0,8,11,1,19,2,0,0.0,2,100.0,8,35,1,0,0,0,2,0,11,3,29,2021-2022
   Luis Javier Suárez,9,co COL,FW,24-107,29,13,0,0,4,9,4,13,1,0,0.0,1,100.0,8,52,15,1,0,1,0,0,12,5,29,2021-2022
Jorge Molina,23,es ESP,FW,39-331,83,42,2,7,16,19,2,42,0,0,,0,,17,47,9,0,0,0,1,1,28,2,29,2021-2022
   Darwin Machís,11,ve VEN,FW,29-040,7,7,0,0,2,5,1,7,1,1,100.0,0,0.0,6,22,7,0,0,0,1,0,6,2,29,2021-2022
Luis Milla,5,es ESP,CM,27-163,90,57,1,12,36,11,2,57,5,3,60.0,2,40.0,26,205,118,4,1,0,5,0,28,2,29,2021-2022
