player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Youssef En-Nesyri,15,ma MAR,FW,24-332,90,9,7,2,0,0,0,1,0,0,0,0,0,6,0,0,34,2021-2022
Lucas Ocampos,5,ar ARG,"LW,RW,WB",27-292,90,39,36,3,0,0,0,3,3,0,0,0,0,30,0,0,34,2021-2022
Érik Lamela,17,ar ARG,RW,30-056,56,28,27,1,0,0,0,1,0,1,1,0,0,23,0,0,34,2021-2022
   Jesús Corona,9,mx MEX,"LW,WB",29-113,34,19,16,3,0,0,0,1,3,0,0,0,0,16,0,1,34,2021-2022
Papu Gómez,24,ar ARG,AM,34-073,90,54,49,5,4,0,0,4,1,0,0,0,0,42,0,1,34,2021-2022
Ivan Rakitić,10,hr CRO,DM,34-050,56,51,48,3,1,0,2,1,1,1,0,1,0,47,0,2,34,2021-2022
   Thomas Delaney,18,dk DEN,"DM,CM",30-238,34,23,23,0,0,0,1,0,0,0,0,0,0,16,0,1,34,2021-2022
Joan Jordán,8,es ESP,DM,27-297,70,40,39,1,1,0,0,2,0,0,0,0,0,29,0,0,34,2021-2022
   Óliver Torres,21,es ESP,"DM,CM",27-170,20,19,18,1,0,0,0,1,0,1,0,1,0,15,0,0,34,2021-2022
Marcos Acuña,19,ar ARG,"LB,CB",30-183,90,85,70,15,2,0,2,3,11,2,0,1,0,73,0,1,34,2021-2022
Diego Carlos,20,br BRA,CB,29-045,90,50,49,1,1,0,0,0,0,0,0,0,0,43,0,0,34,2021-2022
Jules Koundé,23,fr FRA,CB,23-168,90,61,60,1,1,0,2,1,0,0,0,0,0,56,0,0,34,2021-2022
Jesús Navas,16,es ESP,RB,36-159,82,72,64,8,0,0,0,5,8,0,0,0,0,58,0,0,34,2021-2022
   Iván Romero,36,es ESP,AM,21-019,8,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,34,2021-2022
Yassine Bounou,13,ma MAR,GK,31-024,90,23,12,11,2,0,0,0,0,0,0,0,0,20,0,0,34,2021-2022
Lucas Pérez,25,es ESP,"FW,AM",33-231,83,35,26,8,1,0,1,8,0,6,3,2,0,26,1,0,34,2021-2022
   Salvi,7,es ESP,LW,31-030,7,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,34,2021-2022
Rubén Sobrino,21,es ESP,LW,29-332,83,35,35,0,0,0,0,0,0,0,0,0,0,25,0,1,34,2021-2022
   Santiago Arzamendia,19,py PAR,AM,23-359,7,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,34,2021-2022
Iván Alejo,14,es ESP,RW,27-078,84,15,13,2,0,0,0,6,2,0,0,0,0,10,0,2,34,2021-2022
   Tomás Alarcón,12,cl CHI,RW,23-100,6,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,34,2021-2022
Álex Fernández,8,es ESP,"AM,DM",29-196,90,47,43,4,2,0,4,2,1,0,0,0,0,43,0,0,34,2021-2022
José Mari,6,es ESP,DM,34-144,68,36,34,2,1,0,1,0,1,0,0,0,0,32,0,0,34,2021-2022
   Fede San Emeterio,24,es ESP,DM,25-044,22,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,34,2021-2022
Jens Jønsson,2,dk DEN,DM,29-109,78,24,22,2,2,0,0,0,0,0,0,0,0,22,0,0,34,2021-2022
   Álvaro Negredo,18,es ESP,FW,36-252,12,4,4,0,0,0,1,0,0,0,0,0,0,3,0,0,34,2021-2022
Alfonso Espino,22,uy URU,LB,30-114,90,52,45,7,1,0,1,2,6,0,0,0,0,40,0,2,34,2021-2022
Fali,3,es ESP,CB,28-260,90,42,39,3,3,0,0,0,0,0,0,0,0,36,0,0,34,2021-2022
Luis Hernández,23,es ESP,CB,33-015,90,47,42,5,1,0,0,0,4,0,0,0,0,36,0,0,34,2021-2022
Carlos Akapo,15,gq EQG,RB,29-048,90,38,33,5,1,0,1,2,4,0,0,0,0,29,0,0,34,2021-2022
Jeremías Ledesma,1,ar ARG,GK,29-075,90,34,29,5,2,0,0,0,0,0,0,0,0,15,0,0,34,2021-2022
Joselu,9,es ESP,FW,32-034,90,26,25,1,0,0,0,0,0,0,0,0,0,16,0,1,34,2021-2022
Luis Rioja,11,es ESP,LW,28-196,86,21,21,0,0,0,0,6,0,0,0,0,0,10,0,2,34,2021-2022
