player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Deyverson,14,br BRA,FW,29-240,74,0,0,0,2,1,0,0,3,0,0,0,0,2,2,1,66.7,17,2020-2021
   Joselu,9,es ESP,FW,30-282,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0.0,17,2020-2021
Borja Sainz,29,es ESP,LW,19-337,67,0,0,0,2,2,1,0,1,0,0,0,0,6,0,2,0.0,17,2020-2021
   Luis Rioja,11,es ESP,LM,27-079,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,17,2020-2021
Édgar Méndez,16,es ESP,"RW,RM",31-001,74,0,0,0,4,0,1,3,1,1,0,0,0,4,0,2,0.0,17,2020-2021
   Lucas Pérez,7,es ESP,RM,32-115,16,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,,17,2020-2021
Manu García,19,es ESP,CM,34-252,67,0,0,0,2,3,0,0,0,0,0,0,0,3,1,0,100.0,17,2020-2021
   Tachi,2,es ESP,CB,23-115,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,2020-2021
Rodrigo Battaglia,6,ar ARG,CM,29-175,90,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,100.0,17,2020-2021
Jota,24,es ESP,CM,29-201,90,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0.0,17,2020-2021
Javi López,26,es ESP,LB,19-002,87,0,0,0,0,0,0,1,1,3,0,0,0,3,0,2,0.0,17,2020-2021
   Adrián Marín,17,es ESP,LB,23-360,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,100.0,17,2020-2021
Florian Lejeune,22,fr FRA,CB,29-228,90,0,0,0,2,0,0,0,3,1,0,0,0,7,3,0,100.0,17,2020-2021
Víctor Laguardia,5,es ESP,CB,31-059,62,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,17,2020-2021
Martin Agirregabiria,21,es ESP,RB,24-238,90,0,0,0,0,1,0,0,4,1,0,0,0,5,0,0,,17,2020-2021
Fernando Pacheco,1,es ESP,GK,28-230,90,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,17,2020-2021
Luis Suárez,9,uy URU,FW,33-345,90,1,0,0,1,2,1,0,1,1,0,0,0,2,0,1,0.0,17,2020-2021
Ángel Correa,10,ar ARG,FW,25-300,61,0,0,0,2,1,0,0,2,1,0,0,0,5,0,2,0.0,17,2020-2021
   João Félix,7,pt POR,FW,21-054,29,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,100.0,17,2020-2021
Thomas Lemar,11,fr FRA,"CM,LM",25-052,90,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,,17,2020-2021
Koke,6,es ESP,"CM,CB",28-361,90,0,0,0,1,0,0,0,2,4,0,0,0,11,2,0,100.0,17,2020-2021
Marcos Llorente,14,es ESP,"CM,RM",25-339,90,0,0,0,3,1,2,1,0,1,0,0,0,4,0,1,0.0,17,2020-2021
Yannick Carrasco,21,be BEL,WB,27-121,81,1,0,0,2,1,0,6,2,0,0,0,0,4,0,0,,17,2020-2021
   Saúl Ñíguez,8,es ESP,CM,26-043,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,2020-2021
Šime Vrsaljko,24,hr CRO,"WB,RB",28-359,90,0,0,0,1,1,1,5,1,3,0,0,0,4,1,0,100.0,17,2020-2021
Mario Hermoso,22,es ESP,"CB,WB",25-199,90,0,0,0,0,3,0,1,0,0,0,0,0,5,1,0,100.0,17,2020-2021
Felipe,18,br BRA,CB,31-232,87,0,0,0,1,0,0,0,0,0,0,0,1,4,1,1,50.0,17,2020-2021
   Renan Lodi,12,br BRA,"LB,CB",22-270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,2020-2021
José María Giménez,2,uy URU,CB,25-349,90,0,0,0,1,2,0,0,1,0,0,0,0,4,5,3,62.5,17,2020-2021
Jan Oblak,13,si SVN,GK,27-362,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,17,2020-2021
