player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Deyverson,14,br BRA,FW,29-240,74,26,1,2,17,7,0,26,2,1,50.0,1,50.0,13,48,22,0,0,0,2,1,17,3,17,2020-2021
   Joselu,9,es ESP,FW,30-282,16,9,0,1,2,6,0,9,0,0,,0,,6,32,11,0,0,0,1,0,8,1,17,2020-2021
Borja Sainz,29,es ESP,LW,19-337,67,25,0,5,14,7,0,25,2,0,0.0,2,100.0,16,94,9,0,0,0,4,1,16,3,17,2020-2021
   Luis Rioja,11,es ESP,LM,27-079,23,9,0,1,4,4,0,9,0,0,,0,,4,11,8,0,0,0,1,1,6,3,17,2020-2021
Édgar Méndez,16,es ESP,"RW,RM",31-001,74,24,0,2,12,10,1,24,4,1,25.0,3,75.0,16,118,41,3,0,1,0,0,14,5,17,2020-2021
   Lucas Pérez,7,es ESP,RM,32-115,16,12,0,1,4,7,0,12,0,0,,0,,6,44,27,1,0,0,1,0,5,2,17,2020-2021
Manu García,19,es ESP,CM,34-252,67,32,0,6,24,2,0,32,3,3,100.0,0,0.0,13,44,11,0,0,0,1,2,22,1,17,2020-2021
   Tachi,2,es ESP,CB,23-115,23,5,0,3,1,1,1,5,0,0,,0,,3,10,3,0,0,0,0,0,3,0,17,2020-2021
Rodrigo Battaglia,6,ar ARG,CM,29-175,90,57,2,16,38,3,0,57,2,1,50.0,1,50.0,29,171,111,1,0,0,0,0,36,1,17,2020-2021
Jota,24,es ESP,CM,29-201,90,48,2,10,35,3,0,48,2,1,50.0,1,50.0,24,134,52,1,1,0,3,0,29,0,17,2020-2021
Javi López,26,es ESP,LB,19-002,87,63,1,23,35,6,1,63,5,3,60.0,2,40.0,29,130,55,2,1,0,1,1,34,2,17,2020-2021
   Adrián Marín,17,es ESP,LB,23-360,3,10,0,1,6,3,0,10,0,0,,0,,3,5,3,0,0,0,0,0,4,0,17,2020-2021
Florian Lejeune,22,fr FRA,CB,29-228,90,64,11,45,17,3,2,64,0,0,,0,,30,119,53,0,0,0,0,0,38,0,17,2020-2021
Víctor Laguardia,5,es ESP,CB,31-059,62,36,8,25,11,0,0,36,0,0,,0,,23,104,73,0,0,0,1,0,24,0,17,2020-2021
Martin Agirregabiria,21,es ESP,RB,24-238,90,46,3,17,23,7,0,46,1,1,100.0,0,0.0,22,142,83,1,1,1,0,1,22,1,17,2020-2021
Fernando Pacheco,1,es ESP,GK,28-230,90,37,33,37,0,0,0,37,0,0,,0,,19,70,47,0,0,0,0,0,17,0,17,2020-2021
