player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Lionel Messi,10,ar ARG,FW,33-234,90,77,68,6,1,0,0,3,0,3,1,1,0,59,3,1,23,2020-2021
Antoine Griezmann,7,fr FRA,LW,29-329,80,50,48,2,1,0,1,0,0,1,0,0,0,45,0,1,23,2020-2021
   Ousmane Dembélé,11,fr FRA,LW,23-274,10,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,23,2020-2021
Francisco Trincão,17,pt POR,RW,21-046,90,39,39,0,0,0,0,0,0,0,0,0,0,32,0,2,23,2020-2021
Riqui Puig,12,es ESP,LM,21-184,90,113,110,2,1,0,1,0,0,1,0,0,0,105,1,1,23,2020-2021
Sergio Busquets,5,es ESP,CM,32-212,45,63,59,3,3,0,0,0,0,0,0,0,0,57,1,4,23,2020-2021
   Samuel Umtiti,23,fr FRA,CB,27-091,45,41,41,0,0,0,0,0,0,0,0,0,0,38,0,0,23,2020-2021
Ilaix Moriba,27,gn GUI,RM,18-025,63,51,51,0,0,0,0,0,0,0,0,0,0,46,0,0,23,2020-2021
   Pedri,16,es ESP,RM,18-080,27,33,33,0,0,1,0,0,0,0,0,0,0,28,0,0,23,2020-2021
Junior Firpo,24,es ESP,LB,24-175,90,63,56,7,1,0,0,0,6,0,0,0,0,59,0,0,23,2020-2021
Clément Lenglet,15,fr FRA,CB,25-241,90,112,111,1,1,0,1,0,0,0,0,0,0,106,0,0,23,2020-2021
Frenkie de Jong,21,nl NED,"CB,CM",23-277,71,101,98,3,2,0,0,0,1,0,0,0,0,96,0,1,23,2020-2021
   Miralem Pjanić,8,ba BIH,CM,30-317,19,26,26,0,0,0,0,0,0,0,0,0,0,24,0,0,23,2020-2021
Óscar Mingueza,28,es ESP,RB,21-276,71,75,68,7,1,0,0,2,6,0,0,0,0,68,0,2,23,2020-2021
   Sergiño Dest,2,us USA,RB,20-102,19,16,12,4,0,0,0,0,4,0,0,0,0,15,0,0,23,2020-2021
Marc-André ter Stegen,1,de GER,GK,28-289,90,29,25,4,1,0,0,0,0,0,0,0,0,26,0,0,23,2020-2021
Lucas Pérez,7,es ESP,FW,32-156,80,31,20,11,2,0,1,6,0,4,1,3,0,22,0,0,23,2020-2021
   Borja Sainz,29,es ESP,FW,20-012,10,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0,23,2020-2021
Joselu,9,es ESP,FW,30-323,80,31,31,0,0,0,1,0,0,0,0,0,0,18,0,1,23,2020-2021
   Deyverson,14,br BRA,FW,29-281,10,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,23,2020-2021
Iñigo Córdoba,17,es ESP,LM,23-337,45,16,16,0,0,0,0,3,0,0,0,0,0,6,0,2,23,2020-2021
   Luis Rioja,11,es ESP,LM,27-120,45,12,12,0,0,0,0,0,0,0,0,0,0,6,0,1,23,2020-2021
Tomás Pina Isla,8,es ESP,CM,33-122,71,15,15,0,0,0,0,0,0,0,0,0,0,13,0,0,23,2020-2021
   Pere Pons,20,es ESP,CM,27-359,19,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0,23,2020-2021
Rodrigo Battaglia,6,ar ARG,CM,29-216,90,34,30,4,4,0,1,0,0,0,0,0,0,30,0,0,23,2020-2021
Édgar Méndez,16,es ESP,RM,31-042,90,16,15,1,0,0,1,5,1,0,0,0,0,10,0,1,23,2020-2021
Rubén Duarte,3,es ESP,LB,25-118,90,43,35,8,2,0,1,3,6,0,0,0,0,31,0,1,23,2020-2021
Florian Lejeune,22,fr FRA,CB,29-269,90,30,30,0,0,0,0,1,0,0,0,0,0,20,0,0,23,2020-2021
Tachi,2,es ESP,"RB,CB",23-156,90,29,27,2,1,0,0,0,1,0,0,0,0,25,0,0,23,2020-2021
Martin Agirregabiria,21,es ESP,RB,24-279,45,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0,23,2020-2021
   Víctor Laguardia,5,es ESP,CB,31-100,45,16,14,2,2,0,0,0,0,0,0,0,0,12,0,0,23,2020-2021
Fernando Pacheco,1,es ESP,GK,28-271,90,26,17,9,4,0,0,0,0,0,0,0,0,22,0,0,23,2020-2021
Cucho,23,co COL,FW,21-300,72,17,17,0,0,0,0,0,0,0,0,0,0,9,0,0,23,2020-2021
   Francisco Portillo,8,es ESP,LM,30-246,18,14,13,1,0,0,0,1,1,0,0,0,0,10,0,2,23,2020-2021
Jaime Mata,7,es ESP,FW,32-113,77,18,17,1,0,0,0,1,1,0,0,0,0,10,0,0,23,2020-2021
   Ángel Rodríguez,9,es ESP,FW,33-294,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2020-2021
Marc Cucurella,15,es ESP,"LM,LB",22-207,90,35,30,5,0,0,0,1,4,1,0,0,0,21,0,0,23,2020-2021
Mauro Arambarri,18,uy URU,CM,25-137,90,35,34,1,1,0,1,2,0,0,0,0,0,29,0,0,23,2020-2021
Nemanja Maksimović,20,rs SRB,CM,26-019,57,12,10,2,0,0,0,0,0,0,0,0,0,5,0,1,23,2020-2021
   Carles Aleñá,11,es ESP,CM,23-040,33,16,14,2,2,0,0,0,0,0,0,0,0,12,0,0,23,2020-2021
Allan Nyom,12,cm CMR,"RM,RB",32-280,90,31,23,7,1,0,0,3,6,0,0,0,0,17,1,0,23,2020-2021
Mathías Olivera,17,uy URU,LB,23-106,72,33,21,12,3,0,1,2,9,0,0,0,0,22,0,2,23,2020-2021
   Enes Ünal,10,tr TUR,FW,23-280,18,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,23,2020-2021
Erick Cabaco,3,uy URU,CB,25-301,90,39,37,2,2,0,1,0,0,0,0,0,0,26,0,0,23,2020-2021
Sofian Chakla,21,ma MAR,CB,27-165,90,44,41,3,3,0,0,0,0,0,0,0,0,28,0,0,23,2020-2021
