player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Borja Iglesias,9,es ESP,FW,28-094,65,11,14,78.6,143,31,7,9,77.8,1,1,100.0,1,1,100.0,0,0.0,0.0,1,1,1,1,0,31,2020-2021
   Loren Morón,16,es ESP,"FW,LW",27-112,25,2,3,66.7,22,0,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.1,0,0,0,0,0,31,2020-2021
Cristian Tello,11,es ESP,LW,29-253,65,22,25,88.0,371,45,12,13,92.3,9,10,90.0,1,2,50.0,0,0.0,0.1,0,1,1,0,2,31,2020-2021
   Diego Lainez,20,mx MEX,"RW,LW",20-316,25,5,5,100.0,60,21,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,1,0,2,31,2020-2021
Aitor Ruibal,24,es ESP,RW,25-030,77,19,24,79.2,197,91,14,14,100.0,5,5,100.0,0,2,0.0,0,0.0,0.1,0,0,1,0,4,31,2020-2021
   Andrés Guardado,18,mx MEX,"DM,LW",34-205,13,6,9,66.7,96,55,2,4,50.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0,2,0,0,1,31,2020-2021
Nabil Fekir,8,fr FRA,AM,27-277,10,2,2,100.0,15,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,31,2020-2021
Sergio Canales,10,es ESP,"DM,FW",30-064,86,41,48,85.4,870,209,19,20,95.0,8,8,100.0,13,18,72.2,0,0.0,0.1,1,3,2,0,5,31,2020-2021
   Paul Akouokou,4,ci CIV,DM,23-122,4,1,1,100.0,17,1,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,31,2020-2021
Guido Rodríguez,21,ar ARG,DM,27-009,90,36,47,76.6,627,173,17,23,73.9,14,15,93.3,4,6,66.7,0,0.1,0.0,2,4,0,0,2,31,2020-2021
Juan Miranda,33,es ESP,LB,21-092,90,34,45,75.6,581,344,17,19,89.5,10,16,62.5,5,7,71.4,0,0.0,0.2,1,6,1,1,4,31,2020-2021
Marc Bartra,5,es ESP,CB,30-096,90,24,29,82.8,520,180,6,7,85.7,15,15,100.0,3,6,50.0,0,0.1,0.0,1,1,0,0,1,31,2020-2021
Aïssa Mandi,23,dz ALG,CB,29-181,90,16,21,76.2,348,161,5,6,83.3,8,9,88.9,3,6,50.0,0,0.0,0.0,0,0,0,0,0,31,2020-2021
Emerson,22,br BRA,RB,22-097,90,36,46,78.3,539,92,17,23,73.9,17,18,94.4,1,1,100.0,0,0.0,0.4,0,0,0,0,1,31,2020-2021
Claudio Bravo,25,cl CHI,GK,38-008,90,21,41,51.2,933,781,3,3,100.0,2,2,100.0,16,36,44.4,0,0.0,0.0,0,0,0,0,0,31,2020-2021
Asier Villalibre,20,es ESP,FW,23-203,90,12,18,66.7,202,24,5,8,62.5,5,5,100.0,1,1,100.0,0,0.2,0.4,2,1,1,0,2,31,2020-2021
Oihan Sancet,16,es ESP,FW,20-361,61,7,13,53.8,63,20,7,9,77.8,0,2,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,31,2020-2021
   Raúl García,22,es ESP,FW,34-284,29,8,9,88.9,89,35,6,6,100.0,2,3,66.7,0,0,,0,0.1,0.0,1,1,0,0,2,31,2020-2021
Jon Morcillo,2,es ESP,LM,22-218,67,13,19,68.4,169,42,9,10,90.0,3,4,75.0,1,1,100.0,0,0.1,0.1,1,0,1,1,0,31,2020-2021
   Ibai Gómez,7,es ESP,LM,31-161,23,14,17,82.4,159,34,12,12,100.0,2,3,66.7,0,2,0.0,0,0.1,0.2,3,0,1,1,1,31,2020-2021
Mikel Vesga,6,es ESP,CM,27-335,61,22,23,95.7,411,92,11,11,100.0,9,9,100.0,2,3,66.7,0,0.0,0.0,0,3,0,0,4,31,2020-2021
   Unai López,8,es ESP,CM,25-173,29,35,42,83.3,729,145,10,10,100.0,18,20,90.0,6,9,66.7,0,0.1,0.1,1,6,2,0,11,31,2020-2021
Unai Vencedor Paris,27,es ESP,CM,20-157,90,75,84,89.3,1553,447,27,31,87.1,34,37,91.9,13,15,86.7,0,0.0,0.1,2,19,1,0,19,31,2020-2021
Álex Berenguer,12,es ESP,RM,25-291,81,15,26,57.7,160,32,11,13,84.6,3,6,50.0,0,3,0.0,0,0.0,0.1,0,1,2,0,4,31,2020-2021
   Iñaki Williams,9,gh GHA,RM,26-310,9,2,4,50.0,46,16,0,1,0.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,31,2020-2021
Iñigo Lekue,15,es ESP,LB,27-352,90,52,62,83.9,708,153,34,38,89.5,17,19,89.5,1,4,25.0,0,0.0,0.0,0,3,0,0,1,31,2020-2021
Mikel Balenziaga,24,es ESP,CB,33-051,90,60,63,95.2,1108,269,15,18,83.3,43,43,100.0,2,2,100.0,0,0.0,0.0,0,6,0,0,4,31,2020-2021
Unai Núñez,3,es ESP,CB,24-081,90,59,66,89.4,1302,443,13,15,86.7,38,40,95.0,8,11,72.7,0,0.0,0.0,0,5,0,0,4,31,2020-2021
Óscar de Marcos,18,es ESP,RB,32-007,90,46,60,76.7,808,216,18,26,69.2,24,28,85.7,4,6,66.7,0,0.0,0.1,0,3,2,0,6,31,2020-2021
Unai Simón,1,es ESP,GK,23-314,90,19,20,95.0,359,296,5,5,100.0,14,15,93.3,0,0,,0,0.0,0.0,0,0,0,0,0,31,2020-2021
Lucas Pérez,7,es ESP,FW,32-223,57,10,15,66.7,149,58,7,7,100.0,2,3,66.7,1,2,50.0,0,0.2,0.1,2,2,0,0,1,31,2020-2021
   Édgar Méndez,16,es ESP,"FW,LM",31-109,33,5,8,62.5,106,9,2,3,66.7,2,3,66.7,1,2,50.0,0,0.0,0.0,0,1,0,0,1,31,2020-2021
Joselu,9,es ESP,FW,31-025,89,17,34,50.0,216,70,11,17,64.7,2,7,28.6,2,5,40.0,1,0.6,0.3,1,1,1,1,2,31,2020-2021
   Deyverson,14,br BRA,FW,29-348,1,1,2,50.0,6,7,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,31,2020-2021
Luis Rioja,11,es ESP,LM,27-187,57,11,16,68.8,179,93,7,8,87.5,1,3,33.3,2,3,66.7,0,0.1,0.0,1,1,1,1,0,31,2020-2021
   Pere Pons,20,es ESP,"RM,FW",28-060,33,3,6,50.0,50,16,2,4,50.0,0,1,0.0,1,1,100.0,0,0.0,0.0,1,0,0,0,1,31,2020-2021
Tomás Pina Isla,8,es ESP,CM,33-189,90,22,26,84.6,397,119,11,13,84.6,10,10,100.0,1,3,33.3,0,0.0,0.0,0,2,0,0,2,31,2020-2021
Rodrigo Battaglia,6,ar ARG,CM,29-283,90,21,25,84.0,334,84,11,11,100.0,8,9,88.9,1,3,33.3,0,0.1,0.0,1,1,0,0,4,31,2020-2021
Jota,24,es ESP,"RM,LM",29-309,78,15,22,68.2,313,103,7,8,87.5,5,7,71.4,3,5,60.0,1,0.8,0.2,2,1,0,0,2,31,2020-2021
   Facundo Pellistri,37,uy URU,RM,19-122,12,1,2,50.0,14,6,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,1,31,2020-2021
Martin Agirregabiria,21,es ESP,LB,24-346,90,32,40,80.0,612,229,12,12,100.0,13,16,81.3,5,9,55.6,0,0.0,0.0,0,2,0,0,2,31,2020-2021
Florian Lejeune,22,fr FRA,CB,29-336,90,28,33,84.8,746,368,6,7,85.7,16,17,94.1,6,9,66.7,0,0.0,0.0,0,1,0,0,1,31,2020-2021
Víctor Laguardia,5,es ESP,CB,31-167,90,21,29,72.4,483,156,3,3,100.0,15,18,83.3,3,8,37.5,0,0.0,0.0,0,0,0,0,0,31,2020-2021
Ximo Navarro,23,es ESP,RB,31-088,90,28,35,80.0,490,202,13,13,100.0,12,17,70.6,3,3,100.0,0,0.0,0.0,0,3,0,0,3,31,2020-2021
Fernando Pacheco,1,es ESP,GK,28-338,90,21,31,67.7,744,540,1,1,100.0,10,10,100.0,10,20,50.0,0,0.0,0.0,0,1,0,0,0,31,2020-2021
Paco Alcácer,17,es ESP,FW,27-234,83,13,17,76.5,154,17,5,7,71.4,5,5,100.0,0,0,,0,0.0,0.4,1,0,0,0,1,31,2020-2021
   Yeremi Pino,30,es ESP,LM,18-183,7,3,4,75.0,31,0,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,31,2020-2021
Gerard Moreno,7,es ESP,FW,29-014,90,28,35,80.0,462,108,14,16,87.5,7,10,70.0,5,6,83.3,0,0.0,0.1,0,3,2,0,5,31,2020-2021
Manu Trigueros,14,es ESP,"LM,RM",29-186,90,60,71,84.5,916,313,34,34,100.0,14,19,73.7,7,9,77.8,0,0.3,0.4,1,12,6,0,15,31,2020-2021
Daniel Parejo,5,es ESP,CM,32-005,69,63,72,87.5,1216,481,27,30,90.0,26,27,96.3,10,15,66.7,0,0.1,0.1,2,9,3,0,14,31,2020-2021
   Francis Coquelin,19,fr FRA,CM,29-343,21,21,24,87.5,309,68,11,11,100.0,10,10,100.0,0,0,,0,0.0,0.0,0,2,0,0,3,31,2020-2021
Étienne Capoue,25,fr FRA,CM,32-284,83,55,62,88.7,852,186,33,34,97.1,22,24,91.7,0,3,0.0,0,0.0,0.0,0,10,0,0,3,31,2020-2021
   Fernando Niño,34,es ESP,FW,20-179,7,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,31,2020-2021
