player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Raphael Dwamena,20,gh GHA,FW,23-248,90,16,15,1,1,0,0,1,0,0,0,0,0,12,0,0,38,2018-2019
Roger Martí,9,es ESP,FW,28-135,90,23,21,2,0,0,1,1,0,0,0,0,0,13,0,5,38,2018-2019
Enis Bardhi,10,mk MKD,CM,23-320,90,34,32,2,0,0,0,2,0,1,0,1,0,27,0,1,38,2018-2019
José Campaña,24,es ESP,CM,25-352,90,63,59,4,0,0,3,6,0,4,1,3,0,53,0,0,38,2018-2019
Rubén Rochina,16,es ESP,CM,28-056,32,18,17,1,0,0,1,1,0,1,1,0,0,14,0,0,38,2018-2019
   Fran Manzanara,27,es ESP,CM,22-248,58,35,34,1,1,0,0,0,0,0,0,0,0,32,0,0,38,2018-2019
Antonio Luna,22,es ESP,WB,28-062,72,38,31,7,1,0,0,3,6,0,0,0,0,31,0,0,38,2018-2019
   Moses Simon,7,ng NGA,WB,23-310,18,8,7,1,0,0,0,1,1,0,0,0,0,6,0,0,38,2018-2019
Pedro López Muñoz,19,es ESP,WB,35-198,77,47,43,4,0,0,0,3,4,0,0,0,0,40,0,1,38,2018-2019
   José Luis Morales,11,es ESP,WB,31-299,13,8,6,2,0,0,0,1,2,0,0,0,0,6,0,0,38,2018-2019
Chema,6,es ESP,CB,27-076,90,41,40,1,0,0,2,0,1,0,0,0,0,33,0,1,38,2018-2019
Rúben Vezo,14,pt POR,CB,25-023,90,55,54,1,0,0,1,0,1,0,0,0,0,49,0,0,38,2018-2019
Erick Cabaco,18,uy URU,CB,24-029,90,52,51,1,0,0,2,0,1,0,0,0,0,45,0,0,38,2018-2019
Koke Vegas,1,es ESP,GK,23-233,90,24,15,9,1,0,0,0,0,0,0,0,0,19,0,0,38,2018-2019
Antoine Griezmann,7,fr FRA,FW,28-058,90,37,32,5,0,0,0,0,2,0,0,0,0,32,0,0,38,2018-2019
Ángel Correa,10,ar ARG,"FW,RM",24-070,50,15,14,1,1,0,0,1,0,0,0,0,0,11,0,0,38,2018-2019
Koke,6,es ESP,"CM,LM",27-130,90,86,78,8,4,0,2,5,1,3,1,2,0,75,0,0,38,2018-2019
Rodri,14,es ESP,CM,22-330,90,73,73,0,0,0,0,0,0,0,0,0,0,68,0,0,38,2018-2019
Thomas Partey,5,gh GHA,CM,25-339,45,32,30,2,1,0,0,0,1,0,0,0,0,28,0,0,38,2018-2019
   Sergio Camello,55,es ESP,FW,18-097,45,10,10,0,0,0,0,1,0,0,0,0,0,8,0,1,38,2018-2019
Thomas Lemar,11,fr FRA,"RM,LM",23-187,62,47,46,1,0,1,1,1,0,1,0,1,0,40,0,0,38,2018-2019
   Vitolo,23,es ESP,LM,29-197,28,17,14,3,0,0,0,0,3,0,0,0,0,15,0,0,38,2018-2019
Filipe Luís,3,br BRA,LB,33-282,90,73,69,4,0,0,1,3,4,0,0,0,0,65,0,0,38,2018-2019
Francisco Montero,35,es ESP,CB,20-124,74,29,28,1,1,0,0,0,0,0,0,0,0,22,0,0,38,2018-2019
   Victor Mollejo,40,es ESP,CB,18-117,16,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,38,2018-2019
Diego Godín,2,uy URU,CB,33-091,90,33,33,0,0,0,0,0,0,0,0,0,0,26,0,0,38,2018-2019
Juanfran,20,es ESP,RB,34-129,90,47,44,3,0,0,0,2,3,0,0,0,0,41,0,1,38,2018-2019
Antonio Adán,1,es ESP,GK,32-005,90,24,13,11,0,0,0,0,0,0,0,0,0,13,0,0,38,2018-2019
Jaime Mata,7,es ESP,"FW,LM",30-206,67,17,16,1,1,0,0,0,0,0,0,0,0,13,0,0,38,2018-2019
   Samuel Sáiz,11,es ESP,LM,28-116,23,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,38,2018-2019
Jorge Molina,19,es ESP,FW,37-026,90,36,34,0,0,1,0,2,0,0,0,0,0,26,2,2,38,2018-2019
Hugo Duro,27,es ESP,LM,19-189,55,11,10,1,0,0,0,1,0,1,0,0,0,9,0,0,38,2018-2019
   Ángel Rodríguez,9,es ESP,FW,32-022,35,8,8,0,0,0,1,1,0,0,0,0,0,6,0,0,38,2018-2019
Mauro Arambarri,18,uy URU,CM,23-230,90,23,22,1,1,0,0,0,0,0,0,0,0,20,0,0,38,2018-2019
Nemanja Maksimović,20,rs SRB,CM,24-112,90,23,19,3,0,0,0,0,0,0,0,0,0,14,1,0,38,2018-2019
Francisco Portillo,8,es ESP,RM,28-339,83,35,34,0,0,1,0,0,0,0,0,0,0,22,1,2,38,2018-2019
   Gaku Shibasaki,10,jp JPN,RM,26-355,7,8,7,1,0,0,0,4,0,1,0,1,0,4,0,0,38,2018-2019
Dimitri Foulquier,24,fr FRA,LB,26-056,90,34,24,10,0,0,0,2,10,0,0,0,0,28,0,1,38,2018-2019
Leandro Cabrera,6,uy URU,CB,27-335,90,24,20,4,4,0,1,0,0,0,0,0,0,14,0,1,38,2018-2019
Bruno González,4,es ESP,CB,28-359,90,33,28,4,4,0,0,0,0,0,0,0,0,21,1,0,38,2018-2019
Damián Suárez,22,uy URU,RB,31-021,90,57,38,19,7,0,3,10,8,4,1,3,0,37,0,1,38,2018-2019
David Soria,13,es ESP,GK,26-044,90,27,16,10,5,0,0,0,0,0,0,0,0,10,1,0,38,2018-2019
Carlos Bacca,9,co COL,FW,32-252,60,11,9,2,0,1,0,0,0,0,0,0,0,8,0,0,38,2018-2019
   Gerard Moreno,7,es ESP,FW,27-041,30,10,9,1,0,0,0,0,0,0,0,0,0,7,0,0,38,2018-2019
Alfonso Pedraza,16,es ESP,LW,23-039,90,37,36,1,0,0,0,2,1,0,0,0,0,26,0,1,38,2018-2019
Dani Raba,22,es ESP,RW,23-201,90,40,37,3,0,0,1,3,0,3,2,1,0,30,0,1,38,2018-2019
Vicente Iborra,10,es ESP,CM,31-122,90,41,41,0,0,0,0,0,0,0,0,0,0,27,0,1,38,2018-2019
Javi Fuego,18,es ESP,CM,35-134,70,38,32,6,6,0,0,0,0,0,0,0,0,28,0,1,38,2018-2019
   Santi Cazorla,19,es ESP,CM,34-156,20,14,11,1,1,1,2,0,0,0,0,0,0,9,2,0,38,2018-2019
Manu Trigueros,14,es ESP,CM,27-213,81,52,48,3,2,0,0,1,0,1,1,0,0,39,1,2,38,2018-2019
   Manu Morlanes,28,es ESP,CM,20-126,9,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0,38,2018-2019
Xavi Quintillà,39,es ESP,LB,22-268,90,75,53,22,3,0,0,3,19,0,0,0,0,54,0,1,38,2018-2019
Ramiro Funes Mori,4,ar ARG,CB,28-074,90,35,34,0,0,0,0,0,0,0,0,0,0,27,1,0,38,2018-2019
Álvaro González,3,es ESP,CB,29-130,90,50,48,2,2,0,0,0,0,0,0,0,0,39,0,0,38,2018-2019
Jaume Costa,11,es ESP,RB,31-061,90,38,34,4,1,0,0,0,3,0,0,0,0,30,0,0,38,2018-2019
Andrés Fernández,13,es ESP,GK,32-152,90,42,26,16,7,0,1,0,0,0,0,0,0,32,0,0,38,2018-2019
Borja Iglesias,7,es ESP,FW,26-121,90,21,20,1,0,0,0,0,0,0,0,0,0,15,0,2,38,2018-2019
Wu Lei,24,cn CHN,LW,27-180,80,10,10,0,0,1,0,0,0,0,0,0,0,6,0,0,38,2018-2019
   Sergio García,9,es ESP,LW,35-343,10,5,4,1,1,0,1,0,0,0,0,0,0,4,0,0,38,2018-2019
Óscar Melendo,14,es ESP,RW,21-268,88,25,25,0,0,0,0,0,0,0,0,0,0,20,0,0,38,2018-2019
   Javi Puado,20,es ESP,RW,20-358,2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,38,2018-2019
Sergi Darder,10,es ESP,LM,25-147,53,15,14,0,0,1,0,2,0,0,0,0,0,7,1,1,38,2018-2019
   Víctor Sánchez,4,es ESP,LM,31-252,37,11,11,0,0,0,0,1,0,0,0,0,0,5,0,1,38,2018-2019
Marc Roca,21,es ESP,CM,22-173,90,35,32,3,3,1,0,0,0,0,0,0,0,26,0,0,38,2018-2019
Esteban Granero,23,es ESP,RM,31-320,90,30,21,8,4,0,0,3,0,4,1,0,0,23,1,1,38,2018-2019
Adrià Pedrosa,28,es ESP,LB,21-005,90,34,24,10,0,1,0,3,10,0,0,0,0,24,0,1,38,2018-2019
Mario Hermoso,22,es ESP,CB,23-334,90,27,24,3,3,0,3,0,0,0,0,0,0,24,0,0,38,2018-2019
Naldo,5,br BRA,CB,30-266,90,13,11,1,1,0,0,0,0,0,0,0,0,9,1,0,38,2018-2019
Roberto Rosales,8,ve VEN,RB,30-179,90,47,40,7,0,0,0,0,7,0,0,0,0,33,0,0,38,2018-2019
Diego López,13,es ESP,GK,37-196,90,30,16,14,2,0,0,0,0,0,0,0,0,19,0,0,38,2018-2019
Willian José,12,br BRA,FW,27-176,90,16,13,3,0,1,0,0,0,0,0,0,0,14,0,0,38,2018-2019
Ander Barrenetxea,34,es ESP,LW,17-142,73,17,17,0,0,0,0,0,0,0,0,0,0,15,0,0,38,2018-2019
   Juanmi,7,es ESP,LW,25-363,17,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,38,2018-2019
Mikel Oyarzabal,10,es ESP,"RW,AM",22-027,90,24,23,1,1,0,0,1,0,0,0,0,0,18,0,0,38,2018-2019
Mikel Merino,8,es ESP,"AM,DM",22-330,90,58,56,2,1,1,1,1,1,0,0,0,0,41,0,3,38,2018-2019
Igor Zubeldia,5,es ESP,"DM,CB",22-049,90,38,38,0,0,0,0,0,0,0,0,0,0,33,0,0,38,2018-2019
Rubén Pardo,14,es ESP,DM,26-208,64,42,33,9,3,0,0,8,1,5,1,4,0,36,0,0,38,2018-2019
   Adnan Januzaj,11,be BEL,RW,24-102,26,7,7,0,0,0,0,3,0,0,0,0,0,3,0,0,38,2018-2019
Aihen Muñoz,29,es ESP,LB,21-275,90,53,44,9,1,0,0,6,8,0,0,0,0,39,0,1,38,2018-2019
Héctor Moreno,6,mx MEX,CB,31-121,90,82,79,2,1,0,1,1,1,0,0,0,0,65,1,1,38,2018-2019
Diego Llorente,3,es ESP,CB,25-275,64,40,37,3,3,0,0,0,0,0,0,0,0,33,0,0,38,2018-2019
