player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Diego Costa,19,es ESP,FW,29-343,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,4,2018-2019
Thomas Lemar,11,fr FRA,LM,22-307,58,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,4,2018-2019
   Ángel Correa,10,ar ARG,"RM,LM",23-190,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,2018-2019
Saúl Ñíguez,8,es ESP,CM,23-298,90,0,0,0,0,0,0,0,,0,1,0,1,2,2,2,0,4,2018-2019
Koke,6,es ESP,"CM,RM",26-250,90,1,1,0,1,0,0,0,,0,1,0,1,2,3,0,0,4,2018-2019
Antoine Griezmann,7,fr FRA,"RM,FW,LM",27-178,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,4,2018-2019
Rodri,14,es ESP,"DM,CM",22-085,70,5,5,2,3,0,0,0,,0,0,0,0,1,6,2,0,4,2018-2019
   Borja Garcés,32,es ESP,"FW,CM",19-040,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,2018-2019
Filipe Luís,3,br BRA,LB,33-037,90,0,0,0,0,0,0,0,,0,2,2,0,2,2,1,0,4,2018-2019
Diego Godín,2,uy URU,CB,32-211,90,2,1,1,1,0,0,0,,0,0,0,0,1,3,7,0,4,2018-2019
José María Giménez,24,uy URU,CB,23-238,90,1,1,0,1,0,0,1,0.0,1,1,1,0,6,7,4,0,4,2018-2019
Juanfran,20,es ESP,RB,33-249,90,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,1,0,4,2018-2019
Jan Oblak,13,si SVN,GK,25-251,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,4,2018-2019
Charles,19,br BRA,FW,34-164,56,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,4,2018-2019
   Sergi Enrich,9,es ESP,FW,28-201,34,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,4,2018-2019
Pere Milla,22,es ESP,LW,25-357,56,2,2,0,2,0,0,2,0.0,2,1,0,1,2,4,0,0,4,2018-2019
   Gonzalo Escalante,5,ar ARG,AM,25-172,34,3,3,2,1,0,0,0,,0,0,0,0,1,4,3,0,4,2018-2019
Pablo de Blasis,16,ar ARG,"RW,LW",30-223,90,3,2,3,0,0,1,4,25.0,3,0,0,0,0,3,1,0,4,2018-2019
Joan Jordán,24,es ESP,"AM,RW",24-071,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,4,2018-2019
Sergio Álvarez,6,es ESP,DM,26-235,90,3,3,0,3,0,0,2,0.0,2,0,0,0,4,7,5,0,4,2018-2019
Papakouli Diop,8,sn SEN,DM,32-180,79,5,5,1,3,1,0,2,0.0,2,1,0,1,0,5,0,0,4,2018-2019
   Marc Cardona,7,es ESP,DM,23-069,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,4,2018-2019
José Ángel,15,es ESP,LB,29-010,90,5,3,5,0,0,2,2,100.0,0,4,0,4,1,6,10,1,4,2018-2019
Anaitz Arbilla,23,es ESP,CB,31-123,90,2,2,1,1,0,1,2,50.0,1,4,4,0,1,3,8,0,4,2018-2019
Paulo Oliveira,12,pt POR,CB,26-250,90,1,1,1,0,0,1,2,50.0,1,3,0,3,0,1,14,0,4,2018-2019
Rubén Peña,11,es ESP,RB,27-059,90,2,2,1,1,0,0,0,,0,2,0,2,3,5,5,0,4,2018-2019
Marko Dmitrović,1,rs SRB,GK,26-234,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,4,2018-2019
Juanmi,7,es ESP,FW,25-118,90,1,1,0,1,0,1,1,100.0,0,0,0,0,5,6,0,0,4,2018-2019
Mikel Oyarzabal,10,es ESP,"FW,RM",21-147,90,3,1,3,0,0,1,2,50.0,1,0,0,0,1,4,0,0,4,2018-2019
Rubén Pardo,14,es ESP,AM,25-328,81,2,1,0,2,0,0,1,0.0,1,1,0,1,3,5,0,0,4,2018-2019
   Luca Sangalli,23,es ESP,AM,23-217,9,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,4,2018-2019
David Zurutuza,17,es ESP,LM,32-058,72,2,1,0,2,0,1,4,25.0,3,1,0,1,3,5,1,1,4,2018-2019
   Jon Bautista,21,es ESP,FW,23-074,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,2018-2019
Asier Illarramendi,4,es ESP,"RM,LM",28-191,81,4,3,2,1,1,2,5,40.0,3,2,0,2,4,8,1,0,4,2018-2019
   Mikel Merino,8,es ESP,LM,22-085,9,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,4,2018-2019
Igor Zubeldia,5,es ESP,DM,21-169,90,2,1,0,2,0,2,2,100.0,0,3,0,3,3,5,0,0,4,2018-2019
Theo Hernández,19,fr FRA,LB,20-344,90,2,1,2,0,0,0,0,,0,2,0,2,1,3,3,1,4,2018-2019
Héctor Moreno,6,mx MEX,CB,30-241,90,1,0,1,0,0,0,1,0.0,1,0,0,0,3,4,2,0,4,2018-2019
Aritz Elustondo,15,es ESP,CB,24-171,90,2,1,2,0,0,1,1,100.0,0,1,1,0,1,3,5,0,4,2018-2019
Joseba Zaldúa,2,es ESP,RB,26-083,90,2,2,1,1,0,0,3,0.0,3,0,0,0,1,3,5,0,4,2018-2019
Gerónimo Rulli,1,ar ARG,GK,26-118,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,4,2018-2019
Luis Suárez,9,uy URU,FW,31-234,90,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,4,2018-2019
Ousmane Dembélé,11,fr FRA,LW,21-123,76,3,2,0,1,2,1,1,100.0,0,2,0,2,1,4,0,0,4,2018-2019
   Arturo Vidal,22,cl CHI,"LM,LW",31-116,14,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,4,2018-2019
Lionel Messi,10,ar ARG,RW,31-083,90,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,4,2018-2019
Rafinha,12,br BRA,"LM,RM",25-215,56,2,2,0,1,1,0,0,,0,0,0,0,1,3,0,0,4,2018-2019
   Sergio Busquets,5,es ESP,RM,30-061,34,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,4,2018-2019
Ivan Rakitić,4,hr CRO,CM,30-189,90,0,0,0,0,0,0,1,0.0,1,1,1,0,3,3,0,0,4,2018-2019
Sergi Roberto,20,es ESP,"RB,RM",26-220,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,2018-2019
Jordi Alba,18,es ESP,LB,29-178,90,1,1,0,1,0,1,2,50.0,1,0,0,0,4,5,2,0,4,2018-2019
Samuel Umtiti,23,fr FRA,CB,24-305,90,2,2,1,1,0,1,2,50.0,1,0,0,0,3,5,1,0,4,2018-2019
Gerard Piqué,3,es ESP,CB,31-225,90,4,3,3,1,0,2,2,100.0,0,0,0,0,0,4,3,0,4,2018-2019
Nélson Semedo,2,pt POR,RB,24-303,45,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,4,2018-2019
   Philippe Coutinho,7,br BRA,"LM,LW",26-095,45,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,4,2018-2019
