player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Cristhian Stuani,7,uy URU,FW,32-070,90,11,19,57.9,171,21,7,10,70.0,4,6,66.7,0,0,,0,0.0,0.0,0,0,0,0,1,17,2018-2019
Borja García,10,es ESP,AM,28-049,90,61,70,87.1,896,171,36,38,94.7,21,24,87.5,1,4,25.0,0,0.4,0.2,2,5,0,0,6,17,2018-2019
Portu,9,es ESP,AM,26-214,90,15,21,71.4,216,65,8,12,66.7,7,8,87.5,0,1,0.0,0,0.0,0.0,0,0,0,0,4,17,2018-2019
Aleix García,23,es ESP,CM,21-176,71,45,53,84.9,738,208,24,26,92.3,15,16,93.8,5,8,62.5,0,0.1,0.1,1,2,0,0,6,17,2018-2019
   Anthony Lozano,19,hn HON,CM,25-240,19,5,10,50.0,103,18,2,4,50.0,2,3,66.7,1,3,33.3,0,0.0,0.0,1,1,1,0,1,17,2018-2019
Pere Pons,8,es ESP,CM,25-304,90,47,60,78.3,830,215,19,23,82.6,25,29,86.2,2,6,33.3,0,0.0,0.0,0,3,0,0,5,17,2018-2019
Álex Granell,6,es ESP,WB,30-141,90,73,100,73.0,1407,686,34,38,89.5,28,38,73.7,11,21,52.4,1,0.5,0.6,3,7,2,1,7,17,2018-2019
Pedro Porro,29,es ESP,WB,19-099,71,42,65,64.6,694,224,24,28,85.7,15,24,62.5,2,8,25.0,0,0.1,0.5,1,3,0,0,2,17,2018-2019
   Valery Fernández,34,es ESP,WB,19-028,19,9,14,64.3,155,38,4,5,80.0,5,7,71.4,0,1,0.0,0,0.0,0.0,0,0,0,0,0,17,2018-2019
Juanpe,15,es ESP,CB,27-235,90,69,81,85.2,1400,561,19,21,90.5,41,46,89.1,8,12,66.7,0,0.0,0.0,0,1,0,0,3,17,2018-2019
Bernardo Espinosa,2,co COL,CB,29-163,90,59,65,90.8,1356,455,11,11,100.0,39,41,95.1,9,13,69.2,0,0.0,0.0,0,1,0,0,3,17,2018-2019
Jonás Ramalho,4,es ESP,CB,25-194,90,49,56,87.5,987,332,17,20,85.0,25,26,96.2,6,9,66.7,0,0.0,0.1,0,4,1,0,6,17,2018-2019
Yassine Bounou,13,ma MAR,GK,27-260,90,26,37,70.3,712,391,2,2,100.0,16,16,100.0,8,19,42.1,0,0.0,0.0,0,0,0,0,0,17,2018-2019
Jorge Molina,19,es ESP,FW,36-243,90,15,24,62.5,231,42,7,11,63.6,7,8,87.5,0,1,0.0,0,0.0,0.1,0,1,1,0,1,17,2018-2019
Ángel Rodríguez,9,es ESP,FW,31-239,82,12,13,92.3,209,53,4,5,80.0,3,3,100.0,3,3,100.0,0,0.0,0.0,0,0,1,0,2,17,2018-2019
   Mathieu Flamini,16,fr FRA,FW,34-289,8,1,2,50.0,19,0,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,17,2018-2019
Jaime Mata,7,es ESP,LM,30-058,90,22,36,61.1,362,68,11,19,57.9,9,11,81.8,2,4,50.0,0,0.0,0.0,0,2,1,0,2,17,2018-2019
Nemanja Maksimović,20,rs SRB,CM,23-329,90,14,22,63.6,235,64,4,6,66.7,9,12,75.0,0,2,0.0,0,0.0,0.0,0,2,0,0,4,17,2018-2019
Mauro Arambarri,18,uy URU,CM,23-082,89,11,24,45.8,174,83,4,7,57.1,7,12,58.3,0,3,0.0,0,0.0,0.0,1,1,0,0,4,17,2018-2019
   Robert Ibáñez,17,es ESP,CM,25-274,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,17,2018-2019
Dimitri Foulquier,24,fr FRA,RM,25-273,90,21,23,91.3,305,111,12,13,92.3,8,8,100.0,0,0,,0,0.1,0.4,1,1,0,0,1,17,2018-2019
Vitorino Antunes,3,pt POR,LB,31-264,90,28,50,56.0,573,342,12,15,80.0,12,18,66.7,4,15,26.7,1,0.3,0.1,1,1,2,2,3,17,2018-2019
Leandro Cabrera,6,uy URU,CB,27-187,90,17,40,42.5,491,288,1,5,20.0,10,14,71.4,6,17,35.3,0,0.0,0.0,0,0,0,0,2,17,2018-2019
Djené,2,tg TOG,CB,26-355,52,14,17,82.4,309,102,6,8,75.0,4,4,100.0,4,5,80.0,0,0.0,0.0,0,0,0,0,1,17,2018-2019
   Bruno González,4,es ESP,CB,28-211,38,7,11,63.6,127,65,3,3,100.0,4,4,100.0,0,3,0.0,0,0.0,0.0,0,0,0,0,0,17,2018-2019
Damián Suárez,22,uy URU,RB,30-238,90,28,42,66.7,540,238,15,19,78.9,7,11,63.6,4,10,40.0,0,0.1,0.1,1,2,1,1,2,17,2018-2019
David Soria,13,es ESP,GK,25-261,90,13,27,48.1,642,553,0,0,,0,0,,13,27,48.1,0,0.0,0.0,0,0,0,0,0,17,2018-2019
Juanmi,7,es ESP,FW,25-215,84,16,18,88.9,305,17,7,7,100.0,6,7,85.7,3,4,75.0,0,0.0,0.0,1,0,1,0,1,17,2018-2019
   Ander Barrenetxea,34,es ESP,FW,16-359,6,4,5,80.0,62,0,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,17,2018-2019
Willian José,12,br BRA,FW,27-028,90,26,33,78.8,467,59,10,12,83.3,7,10,70.0,6,6,100.0,0,0.0,0.1,1,2,1,0,4,17,2018-2019
