player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Jørgen Strand Larsen,18,no NOR,FW,23-106,80,27,2,3,10,14,3,27,0,0,,0,,15,75,53,3,0,2,1,0,17,4,36,2022-2023
   Haris Seferović,22,ch SUI,FW,31-090,10,6,0,0,3,3,0,6,0,0,,0,,3,6,2,0,0,0,0,0,3,0,36,2022-2023
Miguel Rodríguez,29,es ESP,LW,20-024,70,30,0,3,13,14,1,30,2,1,50.0,0,0.0,23,182,127,6,2,1,2,0,24,3,36,2022-2023
   Franco Cervi,11,ar ARG,LW,28-362,20,16,0,1,5,10,1,16,0,0,,0,,8,22,13,0,1,0,0,0,9,3,36,2022-2023
Carles Pérez,7,es ESP,RW,25-096,90,46,0,3,13,33,3,46,4,0,0.0,3,75.0,31,281,155,5,4,1,2,0,30,9,36,2022-2023
Óscar Rodríguez Arnaiz,5,es ESP,"LM,DM",24-329,90,61,2,10,30,21,0,61,1,0,0.0,1,100.0,30,148,45,1,0,0,1,2,33,1,36,2022-2023
Renato Tapia,14,pe PER,"CM,DM",27-299,90,47,2,7,33,7,1,47,0,0,,0,,22,71,30,0,0,0,1,0,23,0,36,2022-2023
Gabriel Veiga,24,es ESP,RM,20-361,80,22,1,1,13,8,1,22,4,3,75.0,0,0.0,17,164,80,3,2,0,1,1,16,4,36,2022-2023
   Iago Aspas,10,es ESP,AM,35-295,10,4,0,0,1,3,0,4,1,1,100.0,0,0.0,3,14,1,0,0,0,0,0,4,1,36,2022-2023
Javi Galán,17,es ESP,LB,28-185,90,59,2,12,33,17,1,59,3,1,33.3,1,33.3,44,267,205,6,5,1,0,0,44,1,36,2022-2023
Unai Núñez,4,es ESP,CB,26-113,90,56,9,31,24,1,1,56,0,0,,0,,36,151,90,0,0,0,0,0,43,0,36,2022-2023
Joseph Aidoo,15,gh GHA,CB,27-236,90,54,7,25,30,2,1,54,0,0,,0,,31,148,66,0,1,0,0,0,34,0,36,2022-2023
Hugo Mallo,2,es ESP,RB,31-335,90,41,1,14,14,13,4,41,0,0,,0,,18,50,29,0,1,0,1,0,22,1,36,2022-2023
Iván Villar,13,es ESP,GK,25-318,90,27,22,25,2,0,0,27,0,0,,0,,13,41,22,0,0,0,0,0,10,0,36,2022-2023
Cristhian Stuani,7,uy URU,FW,36-223,73,9,0,0,6,3,1,8,0,0,,0,,2,9,0,0,0,0,0,1,4,1,36,2022-2023
   Valentín Castellanos,9,ar ARG,FW,24-232,17,6,0,0,3,3,1,6,1,0,0.0,1,100.0,3,17,0,0,1,0,1,0,5,2,36,2022-2023
Viktor Tsyhankov,8,ua UKR,"FW,RM",25-189,90,35,2,6,17,13,3,35,5,3,60.0,1,20.0,20,141,72,3,1,2,0,2,26,7,36,2022-2023
Valery Fernández,11,es ESP,LM,23-181,73,31,0,4,13,14,1,31,7,5,71.4,1,14.3,23,125,74,1,0,0,0,0,22,9,36,2022-2023
   Joel Roca,33,es ESP,LM,17-350,17,13,0,2,3,9,2,13,5,2,40.0,2,40.0,9,59,40,2,1,1,0,0,9,2,36,2022-2023
Iván Martín,23,es ESP,CM,24-098,33,17,1,4,11,4,0,17,2,1,50.0,0,0.0,12,78,29,0,0,0,1,0,12,0,36,2022-2023
   Ricard Artero,36,es ESP,CM,20-107,57,27,1,2,16,9,2,27,0,0,,0,,21,105,55,2,1,0,2,2,26,5,36,2022-2023
Oriol Romeu,18,es ESP,"CM,DM",31-241,90,76,4,19,40,17,1,76,1,1,100.0,0,0.0,55,204,94,0,3,0,1,2,61,1,36,2022-2023
Yan Couto,20,br BRA,RM,20-354,53,31,0,4,16,12,0,31,1,0,0.0,1,100.0,18,107,43,2,0,0,2,0,24,6,36,2022-2023
   Yangel Herrera,21,ve VEN,CM,25-129,37,20,1,1,13,6,1,20,1,0,0.0,0,0.0,17,62,23,0,0,0,0,2,18,5,36,2022-2023
Miguel Gutiérrez,3,es ESP,LB,21-300,90,90,3,25,52,13,0,90,5,2,40.0,3,60.0,51,216,107,3,1,0,2,2,59,2,36,2022-2023
