player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Luis Javier Suárez,16,co COL,FW,25-151,90,39,3,5,24,10,5,39,2,1,50.0,1,50.0,24,148,24,0,1,1,5,2,31,3,33,2022-2023
Adri Embarba,10,es ESP,LW,30-360,76,32,0,4,9,20,2,32,8,5,62.5,3,37.5,23,202,86,3,2,1,3,2,23,3,33,2022-2023
   Largie Ramazani,7,be BEL,"LW,RB",22-064,14,8,2,2,4,3,0,8,0,0,,0,,6,89,37,1,1,1,0,1,5,1,33,2022-2023
Léo Baptistão,12,br BRA,RW,30-249,68,40,1,9,18,15,2,40,3,1,33.3,2,66.7,24,107,63,1,1,0,6,1,29,3,33,2022-2023
   Juan Brandáriz,21,es ESP,"RW,RB",24-061,22,16,0,4,9,3,0,16,0,0,,0,,6,40,26,0,0,0,0,0,11,0,33,2022-2023
Gonzalo Melero,3,es ESP,LM,29-120,83,46,2,12,22,12,0,46,4,3,75.0,1,25.0,30,142,58,1,0,0,3,0,33,2,33,2022-2023
   Íñigo Eguaras,4,es ESP,LM,31-056,7,3,0,1,2,0,0,3,0,0,,0,,1,1,0,0,0,0,0,0,3,0,33,2022-2023
César de la Hoz,6,es ESP,CM,31-033,90,42,6,15,25,2,0,42,0,0,,0,,10,32,9,0,0,0,0,0,19,1,33,2022-2023
Lucas Robertone,5,ar ARG,RM,26-045,83,47,3,14,23,11,1,47,1,1,100.0,0,0.0,24,115,39,1,0,0,1,1,29,3,33,2022-2023
   Samu Costa,23,pt POR,RM,22-156,7,5,1,3,1,1,0,5,1,0,0.0,1,100.0,3,6,1,0,0,0,0,0,4,0,33,2022-2023
Álex Centelles,20,es ESP,LB,25-175,90,47,7,22,11,15,1,47,2,0,0.0,2,100.0,24,108,18,1,0,0,1,0,25,5,33,2022-2023
Srđan Babić,22,rs SRB,CB,27-010,90,56,10,35,20,2,0,56,1,0,0.0,1,100.0,27,143,76,1,1,0,0,0,29,0,33,2022-2023
Rodrigo Ely,19,br BRA,CB,29-180,90,55,11,32,20,3,2,55,0,0,,0,,25,85,50,0,0,0,0,0,27,0,33,2022-2023
Alejandro Pozo Pozo,17,es ESP,RB,24-069,76,43,3,19,14,11,1,43,0,0,,0,,18,75,44,2,0,1,1,0,21,1,33,2022-2023
   Francisco Portillo,8,es ESP,"RW,LW",32-323,14,11,0,4,6,1,0,11,2,2,100.0,0,0.0,9,52,17,1,1,0,0,1,9,0,33,2022-2023
Fernando,13,es ESP,GK,32-326,90,41,37,41,0,0,0,41,0,0,,0,,21,113,46,0,0,0,0,0,19,0,33,2022-2023
Pere Milla,10,es ESP,FW,30-221,67,22,1,3,11,8,5,22,2,1,50.0,1,50.0,15,51,24,0,1,0,1,0,15,3,33,2022-2023
   Randy Ntekja,18,fr FRA,FW,25-147,23,8,0,0,4,4,3,8,2,1,50.0,0,0.0,4,34,21,1,0,1,0,0,4,1,33,2022-2023
Lucas Boyé,9,ar ARG,FW,27-063,66,19,2,2,9,9,4,19,5,3,60.0,2,40.0,12,69,35,2,1,1,1,1,14,4,33,2022-2023
   Ezequiel Ponce,19,ar ARG,FW,26-034,24,3,0,0,2,1,1,3,0,0,,0,,2,6,1,0,0,0,0,0,2,0,33,2022-2023
Gerard Gumbau,20,es ESP,LM,28-135,90,88,0,13,52,23,4,88,0,0,,0,,57,259,113,0,1,0,0,0,57,3,33,2022-2023
John Donald,26,es ESP,CM,22-245,45,16,0,2,13,1,0,16,1,1,100.0,0,0.0,9,67,33,0,0,0,0,0,8,0,33,2022-2023
   Álex Collado,15,es ESP,CM,24-010,45,35,1,4,15,16,1,35,4,2,50.0,2,50.0,27,290,114,5,3,1,2,0,29,2,33,2022-2023
Fidel,16,es ESP,CM,33-187,66,38,1,4,24,10,2,38,2,0,0.0,2,100.0,24,153,54,1,1,0,2,0,25,4,33,2022-2023
   Raúl Guti,8,es ESP,CM,26-123,24,12,0,0,9,3,1,12,1,0,0.0,1,100.0,8,29,11,0,1,0,0,1,10,0,33,2022-2023
Tete Morente,11,es ESP,RM,26-149,90,37,0,1,15,21,2,37,1,0,0.0,1,100.0,24,126,59,1,1,0,0,1,27,11,33,2022-2023
Lautaro Blanco,2,ar ARG,LB,24-072,76,44,0,7,15,22,1,44,2,1,50.0,1,50.0,25,178,105,6,3,0,1,1,26,12,33,2022-2023
   Nicolás Ezequiel Fernández,22,ar ARG,LB,23-111,14,13,1,3,4,6,0,13,0,0,,0,,7,63,44,1,0,0,0,1,6,4,33,2022-2023
Carlos Clerc,23,es ESP,CB,31-070,90,81,5,39,37,7,1,81,1,1,100.0,0,0.0,42,248,112,0,3,0,2,0,43,1,33,2022-2023
Lisandro Magallán,7,ar ARG,CB,29-217,90,53,5,33,19,2,2,53,0,0,,0,,31,222,42,0,0,0,0,0,30,0,33,2022-2023
Josan,17,es ESP,RB,33-150,90,60,2,25,26,9,0,60,2,1,50.0,1,50.0,37,210,116,2,0,0,0,0,34,0,33,2022-2023
Axel Werner,1,ar ARG,GK,27-063,90,37,26,35,2,0,0,37,0,0,,0,,21,107,60,0,0,0,0,0,19,0,33,2022-2023
Robert Lewandowski,9,pl POL,FW,34-254,90,27,0,1,8,18,9,27,1,1,100.0,0,0.0,17,73,23,1,3,0,2,2,25,10,33,2022-2023
Gavi,30,es ESP,LW,18-270,35,24,1,2,13,9,1,24,2,0,0.0,2,100.0,19,116,80,3,5,0,1,1,18,1,33,2022-2023
   Ansu Fati,10,es ESP,LW,20-183,55,49,0,2,10,38,16,49,1,1,100.0,0,0.0,37,220,162,8,2,6,0,0,39,12,33,2022-2023
Raphinha,22,br BRA,RW,26-139,51,43,0,2,13,28,1,43,0,0,,0,,26,124,76,2,1,0,0,0,30,9,33,2022-2023
   Ousmane Dembélé,7,fr FRA,RW,25-352,39,30,0,0,2,28,7,30,1,1,100.0,0,0.0,19,182,149,6,2,4,0,0,20,7,33,2022-2023
Pedri,8,es ESP,"AM,DM",20-158,90,69,0,3,28,38,3,69,4,1,25.0,3,75.0,58,372,188,6,3,1,0,1,58,7,33,2022-2023
Frenkie de Jong,21,nl NED,DM,25-355,90,120,3,10,55,56,7,120,1,0,0.0,0,0.0,100,663,456,10,9,2,1,0,107,7,33,2022-2023
Sergio Busquets,5,es ESP,DM,34-290,75,76,0,6,46,24,0,76,1,1,100.0,0,0.0,60,271,151,3,3,0,0,0,62,3,33,2022-2023
   Ferrán Torres,11,es ESP,AM,23-062,15,8,0,2,2,4,1,8,0,0,,0,,4,8,0,0,0,0,0,0,6,1,33,2022-2023
Alejandro Balde,28,es ESP,LB,19-196,75,55,2,8,13,34,4,55,3,3,100.0,0,0.0,39,300,152,3,0,3,0,3,37,15,33,2022-2023
   Jordi Alba,18,es ESP,LB,34-042,15,22,1,6,3,13,3,22,0,0,,0,,14,56,35,2,1,0,0,0,17,6,33,2022-2023
Andreas Christensen,15,dk DEN,CB,27-022,51,55,5,18,32,5,0,55,0,0,,0,,46,312,186,1,1,0,0,0,44,2,33,2022-2023
   Eric García,24,es ESP,CB,22-113,39,27,1,12,8,7,0,27,0,0,,0,,19,66,50,1,0,0,0,0,15,0,33,2022-2023
Ronald Araújo,4,uy URU,CB,24-056,90,78,6,25,44,9,1,78,1,1,100.0,0,0.0,58,342,186,0,1,0,1,0,56,0,33,2022-2023
Jules Koundé,23,fr FRA,RB,24-171,90,69,0,8,35,26,2,69,0,0,,0,,47,202,150,2,2,0,0,0,46,2,33,2022-2023
Marc-André ter Stegen,1,de GER,GK,31-002,90,29,25,28,1,0,0,29,0,0,,0,,18,79,51,0,0,0,0,0,15,0,33,2022-2023
Ezequiel Ávila,9,ar ARG,FW,29-085,58,15,0,7,7,2,0,15,2,2,100.0,0,0.0,6,24,1,0,0,0,0,0,8,1,33,2022-2023
   Kiké,18,es ESP,FW,33-158,32,18,0,3,7,8,2,18,1,0,0.0,0,0.0,8,10,0,0,0,0,5,0,14,0,33,2022-2023
Iker Benito,33,es ESP,LW,20-265,69,22,3,9,5,8,0,22,2,0,0.0,2,100.0,11,104,80,3,3,0,0,1,11,5,33,2022-2023
   Aridane Hernández,23,es ESP,LW,34-040,21,6,2,3,3,0,0,6,0,0,,0,,0,0,0,0,0,0,0,0,1,0,33,2022-2023
Rubén García,14,es ESP,RW,29-292,45,19,2,8,4,7,0,19,0,0,,0,,9,41,7,0,0,0,1,0,14,0,33,2022-2023
   Kike Barja,11,es ESP,RW,26-031,45,16,1,3,8,5,2,16,6,5,83.3,1,16.7,10,119,27,2,1,1,2,2,10,1,33,2022-2023
Aimar Oroz,22,es ESP,AM,21-156,45,18,0,6,8,4,0,18,0,0,,0,,7,43,12,0,0,0,2,2,12,0,33,2022-2023
   Iker Muñoz,34,es ESP,AM,20-178,45,16,1,4,9,3,0,16,0,0,,0,,6,47,17,0,0,0,0,1,7,1,33,2022-2023
Lucas Torró,6,es ESP,DM,28-287,58,24,4,11,12,1,0,24,0,0,,0,,6,32,6,0,0,0,0,0,10,0,33,2022-2023
   Juan Cruz Armada,3,es ESP,DM,30-278,32,13,4,5,7,1,0,13,0,0,,0,,4,19,13,0,0,0,1,0,2,0,33,2022-2023
Pablo Ibáñez,19,es ESP,DM,24-224,90,28,3,13,12,3,2,28,1,1,100.0,0,0.0,10,45,22,1,0,0,1,1,14,2,33,2022-2023
Manu Sánchez,20,es ESP,LB,22-251,90,22,4,9,11,2,1,22,1,0,0.0,1,100.0,9,40,21,0,0,0,1,0,10,1,33,2022-2023
Jorge Herrando,31,es ESP,CB,22-063,25,9,4,7,2,0,0,9,0,0,,0,,1,2,0,0,0,0,0,0,3,0,33,2022-2023
Unai García,4,es ESP,CB,31-088,90,24,9,18,7,0,0,24,0,0,,0,,10,86,46,0,0,0,0,0,9,0,33,2022-2023
Diego Moreno,35,es ESP,RB,21-315,90,36,10,22,12,2,0,36,1,0,0.0,1,100.0,13,103,49,1,0,0,1,0,12,0,33,2022-2023
Aitor Fernández,25,es ESP,GK,31-364,90,52,46,51,1,0,0,52,0,0,,0,,17,172,149,0,0,0,0,0,8,0,33,2022-2023
Alexander Sørloth,19,no NOR,FW,27-148,73,24,0,0,11,14,5,24,4,3,75.0,1,25.0,13,86,34,1,1,1,3,1,17,4,33,2022-2023
   Carlos Fernández,9,es ESP,FW,26-345,17,2,0,0,1,1,1,2,0,0,,0,,2,19,8,0,0,0,0,1,2,1,33,2022-2023
Mikel Oyarzabal,10,es ESP,LM,26-011,90,47,1,2,24,21,3,47,2,2,100.0,0,0.0,29,135,53,1,1,1,1,0,29,2,33,2022-2023
David Silva,21,es ESP,CM,37-114,88,82,1,12,44,26,7,82,1,1,100.0,0,0.0,53,234,105,2,2,0,0,0,58,6,33,2022-2023
   Asier Illarramendi,4,es ESP,CM,33-055,2,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,33,2022-2023
Mikel Merino,8,es ESP,CM,26-314,90,52,2,9,37,6,1,52,0,0,,0,,35,123,39,0,2,0,1,1,38,2,33,2022-2023
Takefusa Kubo,14,jp JPN,RM,21-332,73,39,0,2,12,26,1,39,4,1,25.0,3,75.0,31,187,104,2,2,1,3,0,29,2,33,2022-2023
   Ander Barrenetxea,7,es ESP,RM,21-126,17,20,0,0,9,12,2,20,0,0,,0,,17,75,20,1,0,1,3,1,18,6,33,2022-2023
Martín Zubimendi,3,es ESP,DM,24-089,90,78,3,16,52,12,1,78,1,0,0.0,1,100.0,62,271,103,0,1,0,0,0,60,2,33,2022-2023
Aihen Muñoz,12,es ESP,LB,25-259,90,57,0,11,23,23,0,57,2,0,0.0,0,0.0,36,240,91,3,3,0,1,3,35,2,33,2022-2023
Robin Le Normand,24,es ESP,CB,26-172,90,66,11,39,27,0,0,66,0,0,,0,,48,198,75,0,0,0,1,0,47,0,33,2022-2023
Igor Zubeldia,5,es ESP,CB,26-033,63,35,6,17,18,0,0,35,0,0,,0,,27,172,93,0,0,0,0,0,26,0,33,2022-2023
   Jon Pacheco,20,es ESP,CB,22-114,27,20,3,14,6,0,0,20,0,0,,0,,18,59,18,0,0,0,0,0,18,0,33,2022-2023
