player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Kiké,18,es ESP,FW,33-154,59,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,32,2022-2023
   Ante Budimir,17,hr CRO,FW,31-280,31,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,32,2022-2023
Moi Gómez,16,es ESP,"DM,LW",28-309,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,32,2022-2023
Kike Barja,11,es ESP,"RW,LW",26-027,68,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,32,2022-2023
   Ezequiel Ávila,9,ar ARG,"RW,LW",29-081,22,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,32,2022-2023
Aimar Oroz,22,es ESP,AM,21-152,73,1,1,0,0,1,0,0,,0,0,0,0,1,2,0,0,32,2022-2023
   Pablo Ibáñez,19,es ESP,AM,24-220,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,32,2022-2023
Iker Muñoz,34,es ESP,DM,20-174,73,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,32,2022-2023
   Lucas Torró,6,es ESP,DM,28-283,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,32,2022-2023
Jon Moncayola,7,es ESP,"RB,DM",24-350,90,2,2,0,2,0,1,6,16.7,5,1,0,1,1,3,1,0,32,2022-2023
Manu Sánchez,20,es ESP,LB,22-247,90,2,1,2,0,0,2,4,50.0,2,0,0,0,1,3,3,0,32,2022-2023
Juan Cruz Armada,3,es ESP,CB,30-274,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,32,2022-2023
Aridane Hernández,23,es ESP,CB,34-036,90,0,0,0,0,0,0,0,,0,2,0,2,1,1,2,0,32,2022-2023
Rubén Peña,15,es ESP,"RB,RW",31-284,68,2,1,2,0,0,1,3,33.3,2,2,1,1,1,3,0,0,32,2022-2023
   Rubén García,14,es ESP,"LW,RW",29-288,22,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,32,2022-2023
Sergio Herrera,1,es ESP,GK,29-327,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,32,2022-2023
Carlos Fernández,9,es ESP,FW,26-341,62,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,1,0,32,2022-2023
   Alexander Sørloth,19,no NOR,FW,27-144,28,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,32,2022-2023
Ander Barrenetxea,7,es ESP,LW,21-122,62,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,32,2022-2023
   Takefusa Kubo,14,jp JPN,LW,21-328,28,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,32,2022-2023
Mohamed Ali Cho,11,fr FRA,RW,19-099,45,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,32,2022-2023
   Mikel Oyarzabal,10,es ESP,RW,26-007,45,1,1,0,0,1,0,0,,0,3,1,2,1,2,0,0,32,2022-2023
David Silva,21,es ESP,LM,37-110,76,3,2,2,1,0,1,2,50.0,1,1,0,1,0,3,1,0,32,2022-2023
   Brais Méndez,23,es ESP,LM,26-111,14,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,32,2022-2023
Martín Zubimendi,3,es ESP,CM,24-085,90,2,2,1,0,1,0,1,0.0,1,2,1,1,3,5,4,0,32,2022-2023
Mikel Merino,8,es ESP,RM,26-310,90,1,1,1,0,0,0,0,,0,1,0,1,1,2,5,0,32,2022-2023
Aihen Muñoz,12,es ESP,LB,25-255,90,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,5,0,32,2022-2023
Robin Le Normand,24,es ESP,CB,26-168,90,1,1,1,0,0,1,4,25.0,3,0,0,0,0,1,6,0,32,2022-2023
Igor Zubeldia,5,es ESP,CB,26-029,90,1,0,1,0,0,0,0,,0,2,2,0,0,1,2,0,32,2022-2023
Aritz Elustondo,6,es ESP,RB,29-031,76,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,4,0,32,2022-2023
   Andoni Gorosabel,18,es ESP,RB,26-267,14,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,32,2022-2023
Álex Remiro,1,es ESP,GK,28-035,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,32,2022-2023
Lucas Boyé,9,ar ARG,FW,27-060,73,0,0,0,0,0,0,0,,0,2,0,2,1,1,2,0,32,2022-2023
   Ezequiel Ponce,19,ar ARG,FW,26-031,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,32,2022-2023
Pere Milla,10,es ESP,LW,30-218,72,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,32,2022-2023
   Nicolás Ezequiel Fernández,22,ar ARG,LW,23-108,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,32,2022-2023
Tete Morente,11,es ESP,RW,26-146,90,1,1,0,1,0,0,2,0.0,2,3,1,2,0,1,0,0,32,2022-2023
Fidel,16,es ESP,AM,33-184,69,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,32,2022-2023
   Álex Collado,15,es ESP,AM,24-007,21,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,32,2022-2023
Gerard Gumbau,20,es ESP,DM,28-132,72,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,32,2022-2023
   Raúl Guti,8,es ESP,DM,26-120,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,32,2022-2023
