player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Vedat Muriqi,7,xk KVX,FW,29-018,90,0,0,0,2,2,0,0,0,0,0,0,0,2,11,2,84.6,34,2022-2023
Lee Kang-in,19,kr KOR,LW,22-082,90,1,0,0,1,1,1,4,0,0,0,0,0,5,2,5,28.6,34,2022-2023
Amath,23,sn SEN,RW,26-300,62,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0.0,34,2022-2023
   Dani Rodríguez,14,es ESP,RW,34-340,28,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,,34,2022-2023
Jaume Costa,18,es ESP,LM,35-055,62,1,0,0,1,0,0,1,2,0,0,0,0,4,2,2,50.0,34,2022-2023
   Antonio Sánchez,10,es ESP,RM,26-131,28,0,0,0,0,0,0,3,1,0,0,0,0,2,0,1,0.0,34,2022-2023
Iñigo Ruiz de Galarreta,4,es ESP,CM,29-279,90,1,0,0,3,3,0,0,1,2,0,0,0,11,0,2,0.0,34,2022-2023
Manu Morlanes,11,es ESP,CM,24-120,82,1,0,0,1,1,0,0,0,0,0,0,0,2,1,4,20.0,34,2022-2023
   Clément Grenier,8,fr FRA,CM,32-125,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,34,2022-2023
Pablo Maffeo,15,es ESP,"RM,LM",25-304,90,1,0,0,2,0,0,5,3,1,0,0,0,4,3,0,100.0,34,2022-2023
Copete,6,es ESP,CB,23-214,90,0,0,0,4,2,0,1,1,0,0,0,0,1,3,2,60.0,34,2022-2023
Iddrisu Baba,12,gh GHA,CB,27-110,90,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,54.5,34,2022-2023
Martin Valjent,24,sk SVK,CB,27-152,90,0,0,0,0,2,0,0,3,1,0,0,0,5,2,3,40.0,34,2022-2023
Predrag Rajković,1,rs SRB,GK,27-193,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,34,2022-2023
Chris Ramos,16,es ESP,"FW,LM",26-114,90,1,0,0,2,0,0,0,0,1,0,0,0,2,8,8,50.0,34,2022-2023
Sergi Guardiola,19,es ESP,FW,31-348,65,0,0,0,0,2,0,1,0,0,0,0,0,1,2,2,50.0,34,2022-2023
   Theo Bongonda,10,cd COD,RM,27-173,25,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,34,2022-2023
Rubén Sobrino,7,es ESP,LM,30-345,79,0,0,0,0,1,1,2,0,1,0,0,0,4,0,4,0.0,34,2022-2023
   Anthony Lozano,9,hn HON,FW,30-017,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,33.3,34,2022-2023
Fede San Emeterio,24,es ESP,CM,26-057,66,0,0,0,2,1,0,0,1,1,0,0,0,4,2,2,50.0,34,2022-2023
   Álvaro Negredo,18,es ESP,FW,37-265,24,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,100.0,34,2022-2023
Gonzalo Escalante,17,ar ARG,CM,30-046,90,1,0,0,2,1,0,0,1,2,0,0,0,2,5,2,71.4,34,2022-2023
Iván Alejo,11,es ESP,RM,28-091,65,1,0,0,2,4,1,9,0,0,0,0,0,2,3,0,100.0,34,2022-2023
   Rubén Alcaraz,4,es ESP,CM,32-011,25,0,0,0,1,1,0,0,0,1,0,0,0,5,0,0,,34,2022-2023
Alfonso Espino,22,uy URU,LB,31-127,90,0,0,0,2,0,0,6,0,1,0,0,0,5,0,4,0.0,34,2022-2023
Fali,3,es ESP,CB,29-273,89,0,0,0,1,0,0,0,2,1,0,0,0,6,1,3,25.0,34,2022-2023
   Santiago Arzamendia,21,py PAR,CB,25-007,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,100.0,34,2022-2023
Luis Hernández,23,es ESP,CB,34-028,90,0,0,0,1,1,0,2,1,0,0,0,0,4,1,1,50.0,34,2022-2023
Isaac Carcelen,20,es ESP,RB,30-019,90,0,0,0,0,2,0,9,0,0,0,0,0,3,2,2,50.0,34,2022-2023
Jeremías Ledesma,1,ar ARG,GK,30-088,90,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0,34,2022-2023
Alexander Sørloth,19,no NOR,FW,27-159,80,0,0,0,1,3,0,1,0,0,0,0,0,0,2,1,66.7,34,2022-2023
   Carlos Fernández,9,es ESP,FW,26-356,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0,34,2022-2023
David Silva,21,es ESP,FW,37-125,90,0,0,0,3,2,0,1,2,0,0,0,0,9,0,0,,34,2022-2023
Mikel Oyarzabal,10,es ESP,LM,26-022,62,1,0,0,5,1,0,8,0,0,0,0,0,3,0,0,,34,2022-2023
   Jon Pacheco,20,es ESP,LM,22-125,28,0,0,0,1,1,0,0,1,0,0,0,0,3,1,0,100.0,34,2022-2023
Mikel Merino,8,es ESP,CM,26-325,90,0,0,0,3,1,0,2,1,1,0,0,0,7,3,1,75.0,34,2022-2023
Martín Zubimendi,3,es ESP,CM,24-100,90,1,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0.0,34,2022-2023
Takefusa Kubo,14,jp JPN,RM,21-343,90,0,0,0,1,2,1,8,0,1,1,0,0,3,0,0,,34,2022-2023
Aihen Muñoz,12,es ESP,LB,25-270,90,0,0,0,1,1,0,2,0,1,0,0,0,6,0,1,0.0,34,2022-2023
Robin Le Normand,24,es ESP,CB,26-183,90,1,0,0,2,0,0,0,1,1,0,0,0,6,4,3,57.1,34,2022-2023
Igor Zubeldia,5,es ESP,CB,26-044,62,1,0,0,3,0,0,0,1,0,0,0,0,2,0,0,,34,2022-2023
   Ander Barrenetxea,7,es ESP,CB,21-137,28,1,0,0,1,1,0,2,0,0,0,0,0,3,0,0,,34,2022-2023
Andoni Gorosabel,18,es ESP,RB,26-282,90,0,0,0,1,0,0,2,2,2,0,0,0,6,1,1,50.0,34,2022-2023
Álex Remiro,1,es ESP,GK,28-050,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,34,2022-2023
Cristhian Stuani,7,uy URU,FW,36-213,70,0,0,0,1,3,1,0,0,0,0,0,0,2,5,1,83.3,34,2022-2023
   Reinier,19,br BRA,"CM,FW",21-114,20,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,,34,2022-2023
Rodrigo Riquelme,17,es ESP,LM,23-041,89,0,0,0,2,2,0,5,0,1,0,1,0,4,0,1,0.0,34,2022-2023
   Alexander Callens,25,pe PER,LM,31-009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,34,2022-2023
Iván Martín,23,es ESP,CM,24-088,89,0,0,0,1,0,0,0,1,0,0,0,0,4,1,0,100.0,34,2022-2023
   Juanpe,15,es ESP,CM,32-013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,34,2022-2023
Viktor Tsyhankov,8,ua UKR,"CM,RM",25-179,90,0,0,0,0,3,0,4,0,0,0,0,0,2,0,0,,34,2022-2023
Yan Couto,20,br BRA,RM,20-344,70,0,0,0,0,1,0,3,0,1,0,0,0,2,0,0,,34,2022-2023
   Ricard Artero,36,es ESP,"FW,RM",20-097,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,34,2022-2023
Oriol Romeu,18,es ESP,DM,31-231,86,2,1,1,2,1,0,1,4,2,0,0,0,4,0,1,0.0,34,2022-2023
Javi Hernández ,16,es ESP,LB,25-011,58,0,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0.0,34,2022-2023
