player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Valentín Castellanos,9,ar ARG,FW,24-032,61,17,0,2,9,7,4,17,2,2,100.0,0,0.0,10,140,113,3,0,1,1,0,13,3,13,2022-2023
   Cristhian Stuani,7,uy URU,FW,36-023,29,11,0,1,8,2,1,11,0,0,,0,,5,30,22,0,0,0,0,2,7,1,13,2022-2023
Valery Fernández,11,es ESP,LM,22-346,61,33,2,6,7,20,2,33,0,0,,0,,23,169,74,1,1,0,4,0,26,10,13,2022-2023
   Rodrigo Riquelme,17,es ESP,LM,22-216,29,11,0,8,0,3,1,11,1,0,0.0,1,100.0,4,72,0,0,2,1,2,1,5,0,13,2022-2023
Aleix García,14,es ESP,CM,25-129,90,65,7,15,29,22,3,65,1,0,0.0,0,0.0,32,169,76,3,1,0,0,0,43,4,13,2022-2023
Yangel Herrera,21,ve VEN,CM,24-294,84,41,0,7,15,20,3,41,2,1,50.0,1,50.0,23,113,64,3,2,1,1,1,27,7,13,2022-2023
   Ramón Terrats,8,es ESP,CM,22-017,6,5,0,2,3,0,0,5,0,0,,0,,0,0,0,0,0,0,0,0,1,0,13,2022-2023
Toni Villa,12,es ESP,RM,27-301,65,46,0,12,19,16,3,46,8,2,25.0,6,75.0,29,215,148,4,2,2,0,3,31,6,13,2022-2023
   Iván Martín,23,es ESP,RM,23-263,25,7,0,2,1,4,1,7,0,0,,0,,5,26,19,1,0,1,1,0,4,1,13,2022-2023
Oriol Romeu,18,es ESP,DM,31-041,90,54,4,31,19,4,0,54,0,0,,0,,25,126,34,0,1,0,0,1,27,0,13,2022-2023
Miguel Gutiérrez,3,es ESP,LB,21-100,84,52,3,23,21,9,3,52,2,1,50.0,1,50.0,27,136,69,2,1,1,0,0,28,3,13,2022-2023
   Javi Hernández ,16,es ESP,LB,24-186,6,3,0,1,1,1,0,3,0,0,,0,,1,11,4,0,0,0,0,0,1,0,13,2022-2023
David López,5,es ESP,CB,33-026,90,54,16,37,12,5,2,54,0,0,,0,,24,136,75,1,0,0,0,0,27,0,13,2022-2023
Santiago Bueno,22,uy URU,CB,23-360,90,33,8,26,7,0,0,33,0,0,,0,,16,71,25,0,0,0,0,0,19,0,13,2022-2023
Arnau Martinez,4,es ESP,RB,19-193,90,62,3,29,15,18,3,62,0,0,,0,,30,123,61,1,0,1,4,1,40,4,13,2022-2023
Paulo Gazzaniga,13,ar ARG,GK,30-306,90,32,27,32,0,0,0,32,0,0,,0,,18,113,98,0,0,0,0,0,7,0,13,2022-2023
Iñaki Williams,9,gh GHA,FW,28-142,90,41,4,5,13,24,6,41,3,1,33.3,1,33.3,20,148,59,3,3,0,1,2,28,11,13,2022-2023
Álex Berenguer,7,es ESP,LW,27-123,90,55,5,12,13,32,6,55,5,2,40.0,3,60.0,24,180,70,4,2,3,1,1,35,12,13,2022-2023
Nico Williams,11,es ESP,RW,20-115,90,52,0,1,17,35,4,52,4,2,50.0,1,25.0,26,243,113,4,1,1,1,2,37,14,13,2022-2023
Raúl García,22,es ESP,AM,36-116,68,28,1,5,11,12,3,28,1,0,0.0,1,100.0,12,44,19,1,0,1,0,0,20,4,13,2022-2023
   Gorka Guruzeta,12,es ESP,AM,26-053,22,13,0,1,4,8,3,13,0,0,,0,,8,29,5,0,1,0,0,1,10,1,13,2022-2023
Mikel Vesga,6,es ESP,DM,29-167,54,37,1,4,28,5,1,37,0,0,,0,,17,81,21,0,0,0,1,0,26,2,13,2022-2023
   Unai Vencedor Paris,16,es ESP,DM,21-354,36,47,0,5,33,9,0,47,0,0,,0,,25,133,75,0,1,0,2,2,36,0,13,2022-2023
Oihan Sancet,8,es ESP,DM,22-193,68,28,0,2,16,10,0,28,0,0,,0,,14,90,43,1,1,0,3,2,21,4,13,2022-2023
   Oier Zarraga,19,es ESP,DM,23-304,22,22,0,3,13,7,1,22,0,0,,0,,15,152,97,1,1,0,0,0,18,0,13,2022-2023
Yuri Berchiche,17,es ESP,LB,32-267,45,37,1,7,22,8,0,37,1,0,0.0,1,100.0,14,68,31,2,0,0,1,0,24,3,13,2022-2023
   Mikel Balenziaga,24,es ESP,LB,34-248,45,40,1,7,16,18,0,40,1,1,100.0,0,0.0,17,78,37,0,2,0,0,1,23,6,13,2022-2023
Iñigo Martínez,4,es ESP,CB,31-171,90,80,7,28,49,3,0,80,0,0,,0,,49,373,293,1,2,0,1,0,57,0,13,2022-2023
Yeray Álvarez,5,es ESP,CB,27-284,90,88,6,31,52,7,0,88,2,1,50.0,0,0.0,51,411,341,7,2,0,0,0,58,0,13,2022-2023
Iñigo Lekue,15,es ESP,RB,29-184,54,32,1,8,14,12,0,32,0,0,,0,,21,127,79,2,2,0,0,0,23,6,13,2022-2023
   Óscar de Marcos,18,es ESP,RB,33-204,36,39,4,4,19,16,3,39,0,0,,0,,13,45,20,1,2,1,0,0,26,4,13,2022-2023
Unai Simón,1,es ESP,GK,25-146,90,34,30,33,1,0,0,34,0,0,,0,,18,99,76,0,0,0,0,0,11,0,13,2022-2023
Enes Ünal,10,tr TUR,FW,25-179,90,31,0,0,13,18,3,31,0,0,,0,,19,52,20,1,1,0,3,0,31,4,13,2022-2023
Borja Mayoral,19,es ESP,FW,25-214,74,28,0,2,15,11,1,28,0,0,,0,,22,77,16,1,0,0,2,1,25,5,13,2022-2023
   Ángel Algobia,16,es ESP,CM,23-135,16,15,0,2,9,4,1,15,1,0,0.0,1,100.0,9,58,13,1,0,1,0,0,9,0,13,2022-2023
Carles Aleñá,11,es ESP,CM,24-304,84,57,3,8,33,16,1,57,0,0,,0,,28,103,48,0,1,0,4,0,43,3,13,2022-2023
   Juanmi Latasa,14,es ESP,FW,21-227,6,4,0,0,1,3,2,4,1,0,0.0,1,100.0,0,0,0,0,0,0,0,0,1,0,13,2022-2023
Luis Milla,5,es ESP,CM,28-029,90,69,1,8,45,16,1,69,1,1,100.0,0,0.0,37,119,44,0,0,0,2,0,46,0,13,2022-2023
Nemanja Maksimović,20,rs SRB,CM,27-283,66,34,2,8,19,7,1,34,1,0,0.0,1,100.0,16,62,27,0,0,0,1,0,19,4,13,2022-2023
   Munir El Haddadi,17,ma MAR,"CM,FW",27-065,24,16,0,1,6,9,2,16,2,0,0.0,2,100.0,12,57,22,2,1,1,0,0,14,2,13,2022-2023
Iglesias,21,es ESP,LB,24-125,90,62,2,16,23,23,3,62,1,0,0.0,1,100.0,29,144,65,1,1,0,0,0,28,8,13,2022-2023
Domingos Duarte,6,pt POR,CB,27-240,45,26,2,12,14,0,0,26,0,0,,0,,15,56,36,0,0,0,0,0,17,0,13,2022-2023
   Omar Alderete,15,py PAR,CB,25-314,45,39,6,14,22,3,0,39,1,0,0.0,1,100.0,20,101,80,0,1,0,0,0,18,0,13,2022-2023
Stefan Mitrović,23,rs SRB,CB,32-167,90,60,11,39,20,1,0,60,0,0,,0,,36,152,79,0,0,0,1,0,41,0,13,2022-2023
Djené,2,tg TOG,CB,30-309,74,41,2,16,24,2,0,41,2,1,50.0,0,0.0,28,113,55,0,0,0,2,3,31,3,13,2022-2023
   Gastón Álvarez,4,uy URU,CB,22-226,15,6,0,2,4,0,0,6,0,0,,0,,4,4,0,0,0,0,0,0,4,0,13,2022-2023
Portu,9,es ESP,RB,30-168,89,69,2,9,29,31,4,69,1,0,0.0,0,0.0,38,259,193,6,3,1,3,1,43,12,13,2022-2023
David Soria,13,es ESP,GK,29-215,90,35,32,35,0,0,0,35,0,0,,0,,8,56,47,0,0,0,0,0,5,0,13,2022-2023
Anthony Lozano,9,hn HON,FW,29-194,81,27,0,1,14,12,4,27,4,1,25.0,2,50.0,16,85,36,1,1,0,5,2,21,4,13,2022-2023
   Lucas Pérez,15,es ESP,FW,34-056,9,9,0,0,4,5,1,9,0,0,,0,,5,11,3,0,0,0,0,0,6,1,13,2022-2023
Rubén Sobrino,7,es ESP,"FW,LW",30-157,90,34,2,8,16,11,5,34,6,3,50.0,2,33.3,16,95,49,3,1,2,3,1,17,1,13,2022-2023
Brian Ocampo,14,uy URU,LM,23-133,63,28,0,6,12,12,1,28,5,3,60.0,2,40.0,21,202,164,4,3,1,0,0,20,3,13,2022-2023
   Rubén Alcaraz,4,es ESP,CM,31-188,27,18,0,3,14,1,0,18,0,0,,0,,14,62,21,1,0,0,0,1,15,0,13,2022-2023
Álex Fernández,8,es ESP,"CM,RM",30-021,90,57,3,14,29,14,3,57,0,0,,0,,24,95,42,0,0,0,0,1,39,0,13,2022-2023
Fede San Emeterio,24,es ESP,"CM,LM",25-234,90,41,4,15,22,4,2,41,0,0,,0,,20,56,6,0,0,0,0,0,24,0,13,2022-2023
Theo Bongonda,10,cd COD,RM,26-350,63,28,0,4,14,11,2,28,3,2,66.7,0,0.0,18,99,54,4,1,1,1,1,19,3,13,2022-2023
   Iván Alejo,11,es ESP,RW,27-268,27,10,0,2,4,4,0,10,0,0,,0,,6,14,7,0,1,0,0,0,6,2,13,2022-2023
Alfonso Espino,22,uy URU,LB,30-304,90,63,2,27,26,10,0,63,2,0,0.0,2,100.0,36,87,42,0,1,0,1,0,34,3,13,2022-2023
Víctor Chust,32,es ESP,CB,22-245,25,20,2,13,8,0,0,20,1,0,0.0,1,100.0,10,64,22,0,0,0,0,0,12,0,13,2022-2023
   Isaac Carcelen,20,es ESP,RB,29-196,65,44,5,17,23,4,0,44,0,0,,0,,16,84,57,2,1,0,0,0,21,0,13,2022-2023
Fali,3,es ESP,CB,29-085,45,31,2,16,15,0,0,31,0,0,,0,,20,81,34,0,0,0,0,0,18,0,13,2022-2023
   Cala,16,es ESP,CB,32-344,45,26,6,17,8,1,1,26,0,0,,0,,9,30,5,0,0,0,0,0,10,0,13,2022-2023
Luis Hernández,23,es ESP,"CB,RB",33-205,89,67,9,38,22,9,0,67,1,1,100.0,0,0.0,33,126,70,0,1,0,0,0,33,0,13,2022-2023
Jeremías Ledesma,1,ar ARG,GK,29-265,90,37,28,37,0,0,0,37,0,0,,0,,22,128,105,0,0,0,0,0,16,0,13,2022-2023
Sergio León,7,es ESP,FW,33-303,68,20,2,2,8,10,4,20,2,0,0.0,1,50.0,10,57,41,2,1,1,3,1,14,3,13,2022-2023
   Shon Weissman,9,il ISR,FW,26-264,22,8,0,0,7,1,1,8,0,0,,0,,4,9,3,0,1,0,2,1,7,1,13,2022-2023
Óscar Plano,10,es ESP,LW,31-267,90,42,2,10,18,15,5,42,1,1,100.0,0,0.0,26,120,40,1,2,0,1,1,30,4,13,2022-2023
Gonzalo Plata,11,ec ECU,RW,22-004,79,39,0,6,13,20,7,39,1,0,0.0,1,100.0,24,173,87,5,1,3,0,2,29,12,13,2022-2023
   Monchu,8,es ESP,RW,23-053,11,7,0,2,2,3,0,7,0,0,,0,,2,2,0,0,0,0,0,0,4,1,13,2022-2023
Álvaro Aguado,6,es ESP,LM,26-188,90,56,2,20,25,11,1,56,0,0,,0,,38,162,56,0,1,0,1,0,41,2,13,2022-2023
Roque Mesa,17,es ESP,CM,33-151,90,64,0,15,35,16,3,64,0,0,,0,,36,167,108,2,3,0,1,0,39,1,13,2022-2023
Iván Sánchez,21,es ESP,RM,30-043,66,55,0,8,34,14,1,55,3,2,66.7,0,0.0,45,333,181,3,2,0,1,1,50,2,13,2022-2023
   Kike Pérez,4,es ESP,RM,25-264,24,14,0,4,6,6,0,14,1,0,0.0,1,100.0,11,132,70,1,0,0,1,1,10,2,13,2022-2023
Sergio Escudero,18,es ESP,LB,33-064,45,29,3,10,10,9,1,29,1,0,0.0,1,100.0,12,82,32,1,0,0,1,0,12,2,13,2022-2023
   Lucas Olaza,12,uy URU,LB,28-107,45,34,1,8,9,17,1,34,0,0,,0,,11,66,51,1,1,0,1,0,14,3,13,2022-2023
Javi Sánchez,5,es ESP,CB,25-236,66,51,8,36,14,1,1,51,0,0,,0,,31,230,185,0,0,0,0,0,42,0,13,2022-2023
   Jawad El Yamiq,15,ma MAR,CB,30-249,24,11,0,5,5,1,0,11,0,0,,0,,2,19,13,1,0,0,0,0,6,0,13,2022-2023
Joaquín Fernández,24,es ESP,CB,26-158,90,68,11,45,20,3,0,68,0,0,,0,,42,208,133,1,1,0,0,0,46,0,13,2022-2023
Lucas Oliveira Rosa,39,br BRA,RB,22-216,90,52,0,15,16,21,2,52,1,0,0.0,1,100.0,16,69,30,2,0,1,1,0,18,5,13,2022-2023
Jordi Masip,1,es ESP,GK,33-306,90,24,24,24,0,0,0,24,0,0,,0,,15,66,29,0,0,0,0,0,15,0,13,2022-2023
Lucas Boyé,9,ar ARG,FW,26-250,61,32,4,4,14,14,1,32,2,0,0.0,2,100.0,13,42,6,1,0,1,1,1,16,3,13,2022-2023
   Raúl Guti,8,es ESP,CM,25-310,29,20,0,8,11,1,0,20,1,0,0.0,1,100.0,10,43,13,0,0,0,1,0,14,0,13,2022-2023
Pere Milla,10,es ESP,FW,30-043,90,30,1,9,11,11,0,30,4,2,50.0,1,25.0,20,92,56,1,0,0,0,0,24,3,13,2022-2023
Tete Morente,11,es ESP,LM,25-336,90,42,0,4,18,20,0,42,3,0,0.0,3,100.0,27,116,47,2,3,0,1,0,34,9,13,2022-2023
Gerard Gumbau,20,es ESP,CM,27-322,60,41,0,3,28,10,0,41,0,0,,0,,22,78,35,0,0,0,0,0,30,1,13,2022-2023
   Ezequiel Ponce,19,ar ARG,FW,25-221,30,12,1,3,7,2,1,12,1,1,100.0,0,0.0,9,33,2,0,0,0,1,1,10,0,13,2022-2023
Omar Mascarell,21,es ESP,CM,29-276,90,45,4,12,29,4,1,45,0,0,,0,,28,192,66,0,1,0,0,0,32,0,13,2022-2023
