Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Jeremías Ledesma,ar ARG,30-025,90,10,2,8,100.0,3.8,12,29,41.4,32,1,84.4,54.7,2,100.0,67.5,27,2,7.4,1,12.5,25,2022-2023
David Soria,es ESP,29-340,90,4,2,2,75.0,1.9,14,24,58.3,20,3,70.0,47.0,10,100.0,61.0,18,1,5.6,3,17.0,25,2022-2023
Thibaut Courtois,be BEL,30-304,90,3,1,2,66.7,1.1,1,7,14.3,23,6,26.1,30.5,4,25.0,28.0,10,1,10.0,2,19.0,25,2022-2023
Fernando Pacheco,es ESP,30-297,90,7,3,4,57.1,1.3,10,18,55.6,24,4,37.5,37.6,12,75.0,51.7,12,0,0.0,0,5.0,25,2022-2023
Édgar Badía,es ESP,31-027,90,1,1,0,0.0,0.1,3,6,50.0,11,2,9.1,21.5,8,62.5,43.6,8,0,0.0,0,20.0,25,2022-2023
Sergio Asenjo,es ESP,33-256,90,10,1,9,90.0,1.3,11,23,47.8,28,4,60.7,41.2,8,75.0,55.9,30,0,0.0,0,8.5,25,2022-2023
Iván Villar,es ESP,25-245,90,3,0,3,100.0,0.3,6,16,37.5,17,5,52.9,40.1,11,63.6,49.2,18,0,0.0,0,3.0,25,2022-2023
Stole Dimitrievski,mk MKD,29-076,90,6,3,4,50.0,1.0,1,2,50.0,14,5,7.1,25.6,5,20.0,29.8,11,0,0.0,1,13.0,25,2022-2023
Giorgi Mamardashvili,ge GEO,22-163,90,0,0,0,,0.0,10,22,45.5,22,1,50.0,35.9,12,91.7,63.8,10,0,0.0,2,31.0,25,2022-2023
Sergio Herrera,es ESP,29-279,90,4,1,2,75.0,2.1,4,10,40.0,17,3,47.1,40.4,6,33.3,35.0,17,2,11.8,3,21.6,25,2022-2023
Predrag Rajković,rs SRB,27-132,90,2,1,1,50.0,0.5,6,30,20.0,30,0,73.3,49.8,9,88.9,63.0,9,0,0.0,2,20.8,25,2022-2023
Álex Remiro,es ESP,27-353,90,2,1,1,50.0,1.2,9,20,45.0,35,8,48.6,36.5,5,60.0,48.6,11,0,0.0,2,16.8,25,2022-2023
Yassine Bounou,ma MAR,31-341,36,1,1,,0.0,0.1,,,,,1,,,,,,3,,,1,18.0,25,2022-2023
Marko Dmitrović,rs SRB,31-047,54,3,0,3,100.0,1.5,1,11,9.1,20,4,35.0,33.3,6,66.7,62.8,10,2,20.0,3,16.0,25,2022-2023
Fernando,es ESP,32-275,90,5,2,3,80.0,1.9,4,14,28.6,27,9,37.0,34.3,15,26.7,27.8,21,0,0.0,0,10.3,25,2022-2023
Pepe Reina,es ESP,40-193,90,3,1,2,66.7,1.0,0,2,0.0,32,9,6.3,20.6,5,0.0,17.6,14,1,7.1,3,16.0,25,2022-2023
Rui Silva,pt POR,29-033,90,4,1,3,75.0,1.3,6,13,46.2,24,6,33.3,37.5,10,50.0,46.2,8,0,0.0,4,27.0,25,2022-2023
Julen Agirrezabala,es ESP,22-076,90,2,1,1,50.0,1.2,5,15,33.3,20,4,40.0,36.5,10,70.0,52.3,15,1,6.7,0,8.8,25,2022-2023
Marc-André ter Stegen,de GER,30-316,90,3,0,3,100.0,0.7,8,15,53.3,41,10,29.3,31.1,10,30.0,31.7,16,3,18.8,1,11.6,25,2022-2023
Paulo Gazzaniga,ar ARG,31-070,90,4,1,3,75.0,1.5,3,17,17.6,34,7,41.2,36.2,7,42.9,43.0,13,0,0.0,1,26.0,25,2022-2023
Jan Oblak,si SVN,30-065,90,4,0,4,100.0,0.4,6,9,66.7,19,2,36.8,39.6,6,33.3,32.8,11,3,27.3,0,5.4,25,2022-2023
