Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Sergio Herrera,es ESP,29-124,90,7,2,5,71.4,1.7,17,31,54.8,37,4,64.9,44.4,9,77.8,51.3,15,1,6.7,4,23.0,8,2022-2023
Giorgi Mamardashvili,ge GEO,22-008,90,2,1,1,50.0,0.2,4,13,30.8,22,3,45.5,39.1,7,42.9,36.1,12,2,16.7,0,4.7,8,2022-2023
Fernando,es ESP,32-120,90,4,1,3,75.0,0.4,4,20,20.0,20,3,75.0,53.8,10,50.0,46.0,24,1,4.2,0,11.8,8,2022-2023
Diego López,es ESP,40-339,90,4,3,1,25.0,1.0,2,8,25.0,21,5,28.6,30.3,8,25.0,35.3,12,0,0.0,2,17.0,8,2022-2023
Jan Oblak,si SVN,29-274,90,4,1,3,75.0,0.5,4,18,22.2,21,3,66.7,44.2,8,50.0,40.5,21,1,4.8,0,8.7,8,2022-2023
Juan Carlos,es ESP,34-261,90,7,2,5,71.4,3.2,3,3,100.0,24,7,8.3,25.3,8,12.5,26.4,11,0,0.0,1,18.7,8,2022-2023
Marko Dmitrović,rs SRB,30-257,90,4,1,3,75.0,0.6,9,23,39.1,36,7,44.4,40.8,9,77.8,63.1,18,3,16.7,1,8.2,8,2022-2023
Unai Simón,es ESP,25-119,90,3,1,2,66.7,1.6,2,6,33.3,23,5,26.1,31.0,6,0.0,16.8,11,1,9.1,2,15.8,8,2022-2023
David Soria,es ESP,29-187,90,4,1,3,75.0,0.8,11,27,40.7,21,2,76.2,50.6,13,84.6,60.8,9,2,22.2,0,6.3,8,2022-2023
Andriy Lunin,ua UKR,23-239,90,2,0,2,100.0,0.2,2,3,66.7,31,8,3.2,22.8,4,50.0,49.5,10,0,0.0,2,21.2,8,2022-2023
Jordi Masip,es ESP,33-279,90,1,0,1,100.0,0.5,0,3,0.0,24,5,8.3,26.5,5,20.0,26.0,6,0,0.0,0,10.0,8,2022-2023
Rui Silva,pt POR,28-244,90,3,0,3,100.0,0.2,9,21,42.9,21,5,47.6,36.7,15,73.3,51.5,15,1,6.7,1,16.3,8,2022-2023
Jeremías Ledesma,ar ARG,29-238,90,6,2,4,66.7,1.5,4,12,33.3,19,7,36.8,38.4,6,83.3,67.5,9,1,11.1,1,13.5,8,2022-2023
Benjamin Lecomte,fr FRA,31-166,90,3,2,1,33.3,1.5,8,23,34.8,28,0,67.9,49.0,7,57.1,42.6,24,0,0.0,1,14.4,8,2022-2023
Álex Remiro,es ESP,27-199,90,1,0,1,100.0,0.2,9,13,69.2,27,1,37.0,37.7,4,75.0,58.3,7,0,0.0,2,23.8,8,2022-2023
Gerónimo Rulli,ar ARG,30-142,90,5,1,4,80.0,1.1,2,9,22.2,37,7,24.3,34.8,5,0.0,24.2,12,1,8.3,1,14.7,8,2022-2023
Marc-André ter Stegen,de GER,30-162,90,3,0,3,100.0,0.5,4,10,40.0,33,4,21.2,30.3,5,60.0,39.2,14,0,0.0,1,15.3,8,2022-2023
Agustín Marchesín,ar ARG,34-207,90,5,1,4,80.0,1.3,8,20,40.0,28,2,50.0,37.8,10,60.0,43.2,14,0,0.0,2,20.0,8,2022-2023
Édgar Badía,es ESP,30-240,90,4,1,2,100.0,2.5,7,12,58.3,23,6,39.1,36.6,5,60.0,45.6,24,1,4.2,0,6.0,8,2022-2023
Predrag Rajković,rs SRB,26-344,90,2,1,1,50.0,0.6,2,13,15.4,23,4,39.1,31.7,7,57.1,47.0,11,1,9.1,0,3.5,8,2022-2023
