player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Iago Aspas,10,es ESP,FW,35-032,90,31,0,0,17,15,3,31,2,0,0.0,2,100.0,27,183,124,6,4,2,0,2,33,8,4,2022-2023
Carles Pérez,7,es ESP,FW,24-198,45,14,0,0,8,6,0,14,1,0,0.0,1,100.0,6,13,0,0,0,0,0,2,11,0,4,2022-2023
   Jørgen Strand Larsen,18,no NOR,FW,22-208,45,16,1,2,5,9,2,16,0,0,,0,,9,28,1,0,0,0,1,2,13,2,4,2022-2023
Óscar Rodríguez Arnaiz,5,es ESP,LM,24-066,66,43,0,8,21,14,2,43,3,2,66.7,1,33.3,26,105,41,1,0,0,2,0,32,1,4,2022-2023
   Augusto Solari,21,ar ARG,"LM,RM",30-242,24,16,0,3,10,4,0,16,0,0,,0,,10,29,10,0,0,0,0,1,13,0,4,2022-2023
Fran Beltrán,8,es ESP,"CM,DM",23-211,82,73,1,19,45,10,1,73,2,1,50.0,1,50.0,46,291,164,3,4,1,2,0,57,0,4,2022-2023
   Luca de la Torre,23,us USA,CM,24-102,8,7,0,2,6,0,0,7,0,0,,0,,4,51,31,1,0,0,1,0,6,1,4,2022-2023
Franco Cervi,11,ar ARG,"RM,LM",28-099,90,55,2,12,31,12,1,55,4,1,25.0,2,50.0,30,85,45,0,0,0,4,0,35,3,4,2022-2023
Renato Tapia,14,pe PER,DM,27-036,45,36,3,8,24,4,0,36,3,1,33.3,1,33.3,20,86,50,0,1,0,0,0,28,1,4,2022-2023
   Gabriel Veiga,28,es ESP,"CM,DM",20-098,45,32,1,3,23,6,2,32,1,1,100.0,0,0.0,16,55,29,1,0,1,0,0,20,2,4,2022-2023
Javi Galán,17,es ESP,LB,27-287,90,72,2,26,35,11,1,72,2,1,50.0,1,50.0,37,251,109,0,1,1,1,2,41,6,4,2022-2023
Unai Núñez,4,es ESP,CB,25-215,90,80,8,37,40,3,1,80,1,1,100.0,0,0.0,49,266,173,1,1,0,0,0,57,0,4,2022-2023
Joseph Aidoo,15,gh GHA,CB,26-338,90,80,9,44,36,0,0,80,0,0,,0,,49,269,151,1,0,0,0,0,59,0,4,2022-2023
Hugo Mallo,2,es ESP,RB,31-072,82,57,3,14,28,16,0,57,0,0,,0,,28,90,45,1,0,0,0,0,39,4,4,2022-2023
   Óscar Mingueza,3,es ESP,RB,23-112,8,6,0,2,4,0,0,6,0,0,,0,,0,0,0,0,0,0,0,0,1,0,4,2022-2023
Agustín Marchesín,1,ar ARG,GK,34-170,90,43,34,42,1,0,0,43,0,0,,0,,29,111,88,0,0,0,0,0,23,0,4,2022-2023
Anthony Lozano,9,hn HON,FW,29-130,62,21,0,0,12,9,5,21,0,0,,0,,13,35,5,0,0,0,5,2,19,1,4,2022-2023
   Lucas Pérez,15,es ESP,FW,33-357,28,10,0,0,4,6,0,10,0,0,,0,,3,7,3,0,0,0,0,1,8,1,4,2022-2023
Blanco,36,,AM,22-041,73,,,,,,,,,,,,,,,,,,,,,,,4,2022-2023
   Álvaro Giménez,19,es ESP,FW,31-106,17,5,0,0,2,3,0,5,1,0,0.0,1,100.0,3,6,0,0,0,0,1,0,3,2,4,2022-2023
Brian Ocampo,14,uy URU,LM,23-069,73,29,1,6,10,14,1,29,4,2,50.0,2,50.0,22,130,58,3,2,1,2,3,24,5,4,2022-2023
   Álex Fernández,8,es ESP,CM,29-322,17,19,0,2,15,3,0,19,0,0,,0,,14,56,12,0,0,0,1,0,15,0,4,2022-2023
Tomás Alarcón,12,cl CHI,CM,23-226,90,46,2,6,27,13,0,46,0,0,,0,,25,106,32,1,0,0,0,2,29,4,4,2022-2023
Iván Alejo,11,es ESP,RM,27-204,62,28,1,4,14,10,1,28,0,0,,0,,20,96,19,0,1,1,4,2,21,6,4,2022-2023
   Rubén Sobrino,7,es ESP,RM,30-093,28,13,0,0,10,3,1,13,1,1,100.0,0,0.0,8,36,12,1,0,0,0,1,10,1,4,2022-2023
Fede San Emeterio,24,es ESP,DM,25-170,62,39,0,7,30,2,0,39,0,0,,0,,22,109,47,0,0,0,1,0,25,1,4,2022-2023
   Theo Bongonda,10,cd COD,"LM,DM",26-286,28,16,0,0,7,9,0,16,2,0,0.0,2,100.0,9,43,25,0,1,0,4,0,13,3,4,2022-2023
Alfonso Espino,22,uy URU,LB,30-240,90,61,2,13,34,15,1,61,1,0,0.0,1,100.0,22,99,33,1,1,0,2,0,30,4,4,2022-2023
Víctor Chust,32,es ESP,CB,22-181,90,47,2,20,26,1,1,47,0,0,,0,,25,151,73,1,0,0,0,0,30,0,4,2022-2023
Luis Hernández,23,es ESP,CB,33-141,90,62,4,21,33,8,1,62,0,0,,0,,24,95,34,0,0,0,0,0,31,0,4,2022-2023
Joseba Zaldúa,2,es ESP,RB,30-070,90,63,3,8,35,20,0,63,4,1,25.0,3,75.0,29,173,96,2,3,0,2,0,34,5,4,2022-2023
Jeremías Ledesma,1,ar ARG,GK,29-201,90,18,15,18,0,0,0,18,0,0,,0,,8,48,37,0,0,0,0,0,6,0,4,2022-2023
Vedat Muriqi,7,xk KVX,FW,28-132,90,30,2,2,11,17,3,30,1,0,0.0,0,0.0,12,61,33,0,1,0,1,1,23,8,4,2022-2023
Lee Kang-in,19,kr KOR,FW,21-196,90,53,0,2,24,28,2,53,1,1,100.0,0,0.0,18,106,37,1,2,0,1,1,36,6,4,2022-2023
Dani Rodríguez,14,es ESP,CM,34-089,72,33,1,3,17,13,2,33,1,1,100.0,0,0.0,19,143,110,4,2,0,0,1,27,5,4,2022-2023
