Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Juan Carlos,es ESP,34-232,90,4,1,3,75.0,0.6,2,7,28.6,24,4,29.2,31.9,4,0.0,15.5,25,0,0.0,2,20.0,5,2022-2023
Sergio Asenjo,es ESP,33-073,90,5,2,3,60.0,2.5,5,17,29.4,21,0,47.6,41.1,7,100.0,72.1,11,0,0.0,1,14.0,5,2022-2023
Stole Dimitrievski,mk MKD,28-259,90,4,1,3,75.0,1.8,6,27,22.2,20,1,90.0,57.7,10,90.0,58.3,21,0,0.0,0,8.3,5,2022-2023
Giorgi Mamardashvili,ge GEO,21-346,90,6,2,5,66.7,1.5,5,10,50.0,24,5,33.3,29.0,6,33.3,31.8,20,1,5.0,3,18.9,5,2022-2023
Álvaro Fernández,es ESP,24-150,90,7,3,4,57.1,2.5,3,6,50.0,19,5,21.1,31.1,3,66.7,47.0,8,0,0.0,3,20.3,5,2022-2023
Yassine Bounou,ma MAR,31-158,90,5,2,3,80.0,2.1,7,18,38.9,19,3,68.4,46.4,9,55.6,49.9,28,2,7.1,0,7.0,5,2022-2023
Jeremías Ledesma,ar ARG,29-209,90,8,4,4,50.0,3.0,10,27,37.0,30,9,63.3,44.3,8,100.0,66.1,7,0,0.0,2,10.3,5,2022-2023
Marc-André ter Stegen,de GER,30-133,90,0,0,0,,0.0,5,8,62.5,30,4,20.0,25.1,5,40.0,36.4,12,1,8.3,0,7.0,5,2022-2023
Ivo Grbić,hr CRO,26-235,90,3,1,2,66.7,0.5,6,20,30.0,25,6,40.0,38.1,10,100.0,68.6,15,3,20.0,0,5.2,5,2022-2023
Agustín Marchesín,ar ARG,34-178,90,4,4,1,0.0,0.7,3,5,60.0,21,2,23.8,29.1,2,0.0,24.5,6,0,0.0,6,27.2,5,2022-2023
Thibaut Courtois,be BEL,30-123,90,2,1,1,50.0,0.3,1,2,50.0,15,5,13.3,25.0,2,0.0,28.5,10,1,10.0,2,20.8,5,2022-2023
Predrag Rajković,rs SRB,26-315,90,7,4,3,42.9,3.0,12,23,52.2,19,3,68.4,46.4,10,100.0,67.4,5,0,0.0,0,5.0,5,2022-2023
Édgar Badía,es ESP,30-211,90,8,4,5,62.5,3.7,7,10,70.0,21,8,38.1,30.7,7,28.6,37.6,11,1,9.1,0,2.0,5,2022-2023
Unai Simón,es ESP,25-092,90,2,1,1,50.0,0.7,5,13,38.5,28,6,28.6,35.1,6,83.3,60.2,17,0,0.0,0,3.0,5,2022-2023
David Soria,es ESP,29-160,90,6,1,5,83.3,0.9,10,22,45.5,13,1,84.6,53.1,12,91.7,59.0,21,2,9.5,0,7.7,5,2022-2023
Álex Remiro,es ESP,27-171,90,3,2,0,33.3,1.5,10,14,71.4,23,5,47.8,37.9,5,60.0,59.8,11,1,9.1,4,20.0,5,2022-2023
Rui Silva,pt POR,28-216,90,2,0,2,100.0,0.8,7,14,50.0,16,1,50.0,36.6,7,85.7,59.4,15,0,0.0,0,13.5,5,2022-2023
Gerónimo Rulli,ar ARG,30-114,90,5,1,4,80.0,1.1,4,7,57.1,30,5,16.7,31.1,4,50.0,41.8,16,0,0.0,1,38.0,5,2022-2023
Fernando,es ESP,32-094,90,4,1,3,75.0,1.3,1,5,20.0,34,6,11.8,25.9,11,9.1,22.9,23,2,8.7,4,19.4,5,2022-2023
Sergio Herrera,es ESP,29-099,90,2,0,2,100.0,0.2,8,24,33.3,24,2,75.0,49.9,7,85.7,57.3,17,1,5.9,0,14.0,5,2022-2023
