Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Álvaro Fernández,es ESP,24-283,90,3,0,3,100.0,0.5,7,18,38.9,26,2,53.8,44.1,6,66.7,53.2,12,0,0.0,0,11.7,18,2022-2023
Claudio Bravo,cl CHI,39-283,90,2,1,1,50.0,1.4,4,10,40.0,24,5,33.3,32.8,6,33.3,34.7,14,0,0.0,0,4.0,18,2022-2023
Jan Oblak,si SVN,30-014,90,1,0,1,100.0,0.1,7,15,46.7,16,1,37.5,40.4,11,81.8,56.6,17,0,0.0,0,19.0,18,2022-2023
Jordi Masip,es ESP,34-018,90,8,3,5,62.5,3.5,3,13,23.1,35,5,31.4,31.7,7,28.6,31.4,6,0,0.0,0,,18,2022-2023
Yassine Bounou,ma MAR,31-291,90,1,0,1,100.0,0.2,5,5,100.0,26,5,11.5,23.3,5,40.0,30.4,3,1,33.3,0,13.0,18,2022-2023
Jeremías Ledesma,ar ARG,29-342,90,8,1,7,100.0,1.8,5,31,16.1,29,2,72.4,50.7,11,90.9,65.1,23,2,8.7,0,5.0,18,2022-2023
Pepe Reina,es ESP,40-144,90,1,0,1,100.0,0.2,0,4,0.0,34,2,11.8,25.1,5,0.0,18.6,9,0,0.0,1,14.0,18,2022-2023
Paulo Gazzaniga,ar ARG,31-020,90,9,1,7,100.0,3.9,9,18,50.0,29,4,37.9,36.7,13,53.8,43.1,16,2,12.5,0,9.3,18,2022-2023
Édgar Badía,es ESP,30-344,90,4,1,3,75.0,0.9,3,9,33.3,14,7,21.4,34.0,9,66.7,41.1,20,4,20.0,0,8.4,18,2022-2023
Aitor Fernández,es ESP,31-264,90,4,1,3,75.0,1.0,12,30,40.0,40,5,57.5,42.5,8,87.5,56.5,20,0,0.0,0,4.0,18,2022-2023
Marc-André ter Stegen,de GER,30-267,90,3,0,3,100.0,0.4,2,6,33.3,28,5,21.4,27.7,2,0.0,17.5,8,0,0.0,2,18.2,18,2022-2023
David Soria,es ESP,29-293,90,4,1,3,75.0,0.7,14,28,50.0,27,1,85.2,50.3,7,71.4,44.9,13,0,0.0,0,10.3,18,2022-2023
Unai Simón,es ESP,25-225,90,4,2,2,50.0,0.8,5,8,62.5,20,5,25.0,30.8,4,75.0,49.3,6,1,16.7,0,13.0,18,2022-2023
Thibaut Courtois,be BEL,30-256,90,3,0,3,100.0,0.5,4,17,23.5,39,4,35.9,34.4,7,42.9,37.7,28,1,3.6,0,7.0,18,2022-2023
Giorgi Mamardashvili,ge GEO,22-116,90,3,2,1,33.3,0.7,6,12,50.0,27,6,37.0,33.1,4,50.0,40.8,8,1,12.5,0,11.0,18,2022-2023
Fernando,es ESP,32-227,90,6,2,4,66.7,2.0,7,19,36.8,23,5,47.8,39.3,11,72.7,52.6,17,1,5.9,0,9.7,18,2022-2023
Fernando,es ESP,32-231,90,3,1,2,66.7,1.2,8,20,40.0,18,4,66.7,49.1,12,66.7,50.3,6,0,0.0,0,15.0,19,2022-2023
Álvaro Fernández,es ESP,24-289,90,7,3,4,57.1,1.7,10,19,52.6,24,3,45.8,37.4,11,72.7,50.5,9,0,0.0,3,22.5,19,2022-2023
Jeremías Ledesma,ar ARG,29-349,90,2,0,2,100.0,0.3,5,35,14.3,27,1,77.8,52.7,14,100.0,67.7,16,2,12.5,0,8.9,19,2022-2023
Predrag Rajković,rs SRB,27-089,90,4,2,2,75.0,2.1,5,8,62.5,21,8,23.8,31.0,8,37.5,35.0,18,1,5.6,2,11.9,19,2022-2023
