Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Paulo Gazzaniga,ar ARG,30-361,90,4,2,2,50.0,1.2,6,10,60.0,29,3,27.6,33.3,7,28.6,33.7,7,0,0.0,4,25.8,15,2022-2023
Stole Dimitrievski,mk MKD,29-004,90,7,2,5,100.0,2.3,8,24,33.3,25,4,72.0,46.6,9,66.7,49.7,18,1,5.6,0,9.7,15,2022-2023
Rui Silva,pt POR,28-325,90,0,0,0,,0.0,4,19,21.1,45,4,35.6,32.9,10,30.0,31.3,16,2,12.5,1,11.8,15,2022-2023
Unai Simón,es ESP,25-201,90,5,0,5,100.0,1.0,3,9,33.3,16,4,25.0,35.1,6,83.3,62.5,7,0,0.0,0,,15,2022-2023
Jan Oblak,si SVN,29-356,90,1,0,1,100.0,0.8,2,7,28.6,17,1,29.4,30.7,4,50.0,36.5,14,0,0.0,1,30.0,15,2022-2023
Édgar Badía,es ESP,30-320,90,4,2,2,50.0,1.2,5,9,55.6,21,6,23.8,32.1,10,40.0,33.2,12,0,0.0,1,13.3,15,2022-2023
David Soria,es ESP,29-270,90,0,0,0,,0.0,5,13,38.5,15,2,46.7,34.5,7,85.7,50.3,8,0,0.0,1,18.5,15,2022-2023
Predrag Rajković,rs SRB,27-060,90,6,2,4,66.7,0.8,8,25,32.0,27,3,74.1,46.4,7,71.4,53.0,18,0,0.0,1,24.0,15,2022-2023
Jeremías Ledesma,ar ARG,29-320,90,10,1,9,90.0,1.7,4,19,21.1,31,9,58.1,48.6,3,33.3,33.0,7,2,28.6,0,7.0,15,2022-2023
Fernando,es ESP,32-203,90,6,1,5,83.3,2.4,7,15,46.7,34,10,29.4,31.1,9,55.6,42.4,14,0,0.0,2,22.0,15,2022-2023
Agustín Marchesín,ar ARG,34-289,90,5,1,4,80.0,0.6,5,10,50.0,21,5,28.6,30.7,10,40.0,33.7,21,0,0.0,1,23.0,15,2022-2023
Yassine Bounou,ma MAR,31-269,90,5,1,4,80.0,1.3,2,8,25.0,36,6,16.7,26.3,6,33.3,32.8,22,1,4.5,2,18.8,15,2022-2023
Jordi Masip,es ESP,33-361,90,7,2,5,85.7,2.5,6,14,42.9,29,9,31.0,35.1,11,45.5,36.6,12,1,8.3,0,13.0,15,2022-2023
Thibaut Courtois,be BEL,30-233,90,4,0,4,100.0,0.8,2,11,18.2,41,10,19.5,28.2,7,42.9,46.7,7,1,14.3,1,13.0,15,2022-2023
Marc-André ter Stegen,de GER,30-245,90,1,1,0,100.0,0.9,1,3,33.3,35,3,5.7,24.5,4,25.0,31.0,7,1,14.3,2,15.2,15,2022-2023
Álvaro Fernández,es ESP,24-262,90,6,1,5,83.3,1.0,16,28,57.1,18,1,72.2,47.8,20,75.0,54.8,19,1,5.3,0,4.0,15,2022-2023
Álex Remiro,es ESP,27-282,90,3,0,3,100.0,0.3,6,17,35.3,29,4,44.8,41.7,4,100.0,69.8,16,0,0.0,1,33.0,15,2022-2023
Aitor Fernández,es ESP,31-242,90,2,2,0,0.0,1.1,5,26,19.2,32,9,56.3,42.7,9,88.9,67.6,10,1,10.0,3,20.3,15,2022-2023
Pepe Reina,es ESP,40-122,90,4,1,3,75.0,1.2,4,6,66.7,30,5,16.7,22.6,1,100.0,60.0,14,0,0.0,0,,15,2022-2023
Giorgi Mamardashvili,ge GEO,22-093,90,8,2,6,75.0,2.1,5,15,33.3,24,2,41.7,37.6,10,50.0,43.9,6,0,0.0,0,8.0,15,2022-2023
