Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Édgar Badía,es ESP,30-328,90,7,1,6,85.7,2.1,3,12,25.0,20,4,50.0,37.5,4,50.0,34.8,11,0,0.0,0,9.0,16,2022-2023
Agustín Marchesín,ar ARG,34-296,90,5,0,5,100.0,1.1,10,27,37.0,34,5,58.8,39.3,7,100.0,63.6,24,3,12.5,2,15.2,16,2022-2023
Giorgi Mamardashvili,ge GEO,22-099,90,2,1,1,50.0,0.6,0,2,0.0,21,4,9.5,22.4,4,0.0,26.3,4,0,0.0,6,31.0,16,2022-2023
Jeremías Ledesma,ar ARG,29-327,90,2,0,2,100.0,0.2,9,30,30.0,25,0,100.0,56.7,5,100.0,69.0,37,5,13.5,0,7.8,16,2022-2023
Pepe Reina,es ESP,40-129,90,3,1,2,100.0,1.5,0,9,0.0,38,4,15.8,30.9,6,50.0,44.8,13,0,0.0,2,23.3,16,2022-2023
Thibaut Courtois,be BEL,30-241,90,5,2,3,80.0,1.7,3,8,37.5,25,1,24.0,29.2,6,33.3,30.5,12,0,0.0,2,14.3,16,2022-2023
Predrag Rajković,rs SRB,27-068,90,1,0,1,100.0,0.1,10,22,45.5,30,7,56.7,43.8,5,100.0,61.8,7,2,28.6,0,7.5,16,2022-2023
Jordi Masip,es ESP,34-004,90,4,1,3,75.0,0.8,6,20,30.0,38,4,34.2,34.7,9,77.8,54.1,23,1,4.3,0,11.7,16,2022-2023
Álvaro Fernández,es ESP,24-269,90,5,2,3,60.0,1.7,7,15,46.7,15,0,73.3,46.3,8,50.0,43.6,12,0,0.0,0,5.0,16,2022-2023
Paulo Gazzaniga,ar ARG,31-005,90,6,2,4,66.7,2.3,8,15,53.3,35,6,34.3,33.9,5,60.0,49.4,20,2,10.0,5,17.9,16,2022-2023
Fernando,es ESP,32-212,90,6,2,4,66.7,1.4,2,15,13.3,42,6,31.0,34.1,7,28.6,34.4,6,0,0.0,1,34.0,16,2022-2023
Álex Remiro,es ESP,27-290,90,1,0,1,100.0,0.1,4,15,26.7,22,4,40.9,35.4,8,75.0,56.4,12,0,0.0,0,12.0,16,2022-2023
Stole Dimitrievski,mk MKD,29-014,90,2,2,1,0.0,0.4,1,3,33.3,18,0,16.7,25.2,9,0.0,19.8,12,0,0.0,1,20.5,16,2022-2023
Rui Silva,pt POR,28-335,90,3,1,2,66.7,0.5,12,32,37.5,31,3,58.1,45.6,14,100.0,67.7,18,1,5.6,0,5.0,16,2022-2023
Yassine Bounou,ma MAR,31-278,90,2,1,1,50.0,0.5,7,16,43.8,35,1,37.1,33.5,4,75.0,49.5,14,0,0.0,2,22.0,16,2022-2023
David Soria,es ESP,29-279,90,5,2,3,60.0,2.3,7,18,38.9,26,7,50.0,39.0,7,71.4,47.3,26,0,0.0,5,21.7,16,2022-2023
Jan Oblak,si SVN,30-001,90,2,1,1,50.0,1.0,5,9,55.6,18,1,44.4,36.5,4,25.0,27.8,6,0,0.0,1,33.0,16,2022-2023
Marc-André ter Stegen,de GER,30-253,90,3,0,3,100.0,0.3,5,16,31.3,50,6,26.0,31.6,9,33.3,33.3,19,0,0.0,0,8.3,16,2022-2023
Unai Simón,es ESP,25-212,90,1,0,1,100.0,0.3,4,10,40.0,25,3,32.0,31.1,3,66.7,50.7,7,0,0.0,1,30.0,16,2022-2023
Aitor Fernández,es ESP,31-251,90,3,0,3,100.0,0.2,12,26,46.2,34,6,50.0,39.6,14,64.3,46.6,23,1,4.3,2,14.8,16,2022-2023
