player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Raúl García,22,es ESP,FW,36-207,75,16,15,1,0,0,0,1,0,0,0,0,0,12,0,0,20,2022-2023
   Dani García,14,es ESP,CM,32-255,15,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,20,2022-2023
Álex Berenguer,7,es ESP,LM,27-214,59,24,23,0,0,0,0,2,0,0,0,0,0,15,1,0,20,2022-2023
   Iñigo Lekue,15,es ESP,LB,29-275,31,7,4,3,0,0,0,0,3,0,0,0,0,7,0,0,20,2022-2023
Iker Muniain,10,es ESP,"CM,LM",30-046,83,46,43,3,2,0,0,1,0,0,0,0,0,40,0,0,20,2022-2023
   Jon Morcillo,2,es ESP,LM,24-141,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,20,2022-2023
Oihan Sancet,8,es ESP,"CM,FW",22-284,83,35,35,0,0,0,0,0,0,0,0,0,0,25,0,2,20,2022-2023
   Ander Capa,21,es ESP,RM,30-360,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,20,2022-2023
Nico Williams,11,es ESP,RM,20-206,83,23,23,0,0,0,0,2,0,0,0,0,0,20,0,0,20,2022-2023
   Gorka Guruzeta,12,es ESP,FW,26-144,7,5,5,0,0,0,0,0,0,0,0,0,0,3,0,1,20,2022-2023
Mikel Vesga,6,es ESP,"DM,CM",29-258,90,35,35,0,0,0,1,0,0,0,0,0,0,31,0,0,20,2022-2023
Yuri Berchiche,17,es ESP,LB,32-358,56,32,29,3,1,0,0,3,2,0,0,0,0,30,0,1,20,2022-2023
Yeray Álvarez,5,es ESP,CB,28-010,90,49,44,5,5,0,5,0,0,0,0,0,0,37,0,1,20,2022-2023
Daniel Vivian,3,es ESP,CB,23-203,90,50,46,4,3,0,1,0,0,0,0,0,0,43,0,1,20,2022-2023
Óscar de Marcos,18,es ESP,RB,33-295,90,32,25,7,0,0,0,3,7,0,0,0,0,26,0,0,20,2022-2023
Unai Simón,1,es ESP,GK,25-237,90,26,11,15,3,0,0,0,0,0,0,0,0,17,0,0,20,2022-2023
Roger Martí,15,es ESP,FW,32-031,69,13,9,4,0,0,0,0,0,0,0,0,0,11,0,1,20,2022-2023
   Chris Ramos,16,es ESP,LM,26-016,21,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,20,2022-2023
Brian Ocampo,14,uy URU,LM,23-223,69,38,32,6,2,0,0,3,1,3,3,0,0,31,0,0,20,2022-2023
   Sergi Guardiola,19,es ESP,FW,31-250,21,5,4,1,0,0,0,1,0,0,0,0,0,4,0,0,20,2022-2023
Álex Fernández,8,es ESP,CM,30-111,90,73,70,3,2,0,3,1,1,0,0,0,0,70,0,0,20,2022-2023
Gonzalo Escalante,17,ar ARG,CM,29-313,90,54,51,3,3,0,1,1,0,0,0,0,0,47,0,1,20,2022-2023
Theo Bongonda,10,cd COD,RM,27-075,69,17,15,2,2,0,0,4,0,0,0,0,0,9,0,1,20,2022-2023
   Rubén Sobrino,7,es ESP,RM,30-247,21,15,14,1,0,0,0,3,1,0,0,0,0,10,0,1,20,2022-2023
Fali,3,es ESP,DM,29-175,59,18,18,0,0,0,0,0,0,0,0,0,0,13,0,0,20,2022-2023
   Anthony Lozano,9,hn HON,"FW,DM",29-284,31,11,10,1,0,0,0,1,1,0,0,0,0,7,0,3,20,2022-2023
Alfonso Espino,22,uy URU,LB,31-029,90,72,63,8,1,0,2,3,7,0,0,0,0,56,1,4,20,2022-2023
Mamadou Mbaye,5,sn SEN,CB,24-220,90,53,52,0,0,0,1,0,0,0,0,0,0,43,1,2,20,2022-2023
