player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Aimar Oroz,29,es ESP,FW,20-258,80,27,0,3,14,10,2,26,0,0,,0,,19,76,14,0,0,0,0,2,19,3,1,2022-2023
   Pablo Ibáñez,19,es ESP,CM,23-326,10,6,0,2,3,1,0,6,0,0,,0,,4,12,10,0,0,0,0,0,3,0,1,2022-2023
Ezequiel Ávila,9,ar ARG,FW,28-187,80,21,0,2,5,14,3,21,3,2,66.7,1,33.3,18,67,20,0,0,0,3,0,17,2,1,2022-2023
   Kiké,18,es ESP,FW,32-260,10,8,2,2,3,3,0,8,1,1,100.0,0,0.0,4,22,12,1,0,0,2,0,5,1,1,2022-2023
Moi Gómez,16,es ESP,"LM,RM",28-050,90,45,0,5,22,21,0,45,1,0,0.0,1,100.0,28,213,63,2,3,0,1,1,23,6,1,2022-2023
Lucas Torró,6,es ESP,"CM,DM",28-024,90,24,2,4,13,7,0,24,1,0,0.0,0,0.0,11,68,19,0,1,0,1,0,12,0,1,2022-2023
Jon Moncayola,7,es ESP,CM,24-091,90,39,1,10,22,7,0,39,0,0,,0,,18,53,14,0,0,0,1,0,28,0,1,2022-2023
Kike Barja,11,es ESP,RM,25-133,55,19,0,0,12,7,1,19,3,0,0.0,3,100.0,11,61,22,1,0,0,2,2,16,5,1,2022-2023
   Nacho Vidal,2,es ESP,RB,27-200,35,17,0,2,10,5,1,17,0,0,,0,,3,20,8,1,0,1,0,0,6,0,1,2022-2023
Juan Cruz Armada,3,es ESP,"LB,CB",30-015,90,36,5,11,20,6,0,36,0,0,,0,,11,35,15,0,1,0,1,0,14,2,1,2022-2023
David García,5,es ESP,CB,28-179,90,44,5,26,17,1,0,44,0,0,,0,,22,91,38,0,1,0,3,0,23,0,1,2022-2023
Unai García,4,es ESP,CB,30-190,78,36,5,12,24,0,0,36,0,0,,0,,14,104,87,0,0,0,0,0,21,0,1,2022-2023
   Manu Sánchez,20,es ESP,"LB,CB",21-353,12,6,2,4,1,1,0,6,1,0,0.0,1,100.0,2,16,0,0,0,0,0,0,1,0,1,2022-2023
Rubén Peña,15,es ESP,"RB,RM",31-025,61,28,1,7,11,11,3,28,0,0,,0,,14,106,89,3,1,1,0,0,12,3,1,2022-2023
   Darko Brašanac,8,rs SRB,LM,30-181,29,11,2,3,4,4,0,11,2,0,0.0,1,50.0,3,17,6,0,0,0,0,0,5,1,1,2022-2023
Sergio Herrera,1,es ESP,GK,29-068,90,34,24,33,1,0,0,34,0,0,,0,,27,193,108,0,0,0,0,0,14,0,1,2022-2023
Rafa Mir,12,es ESP,FW,25-055,62,15,2,4,5,6,3,15,0,0,,0,,7,18,13,1,0,1,1,1,8,1,1,2022-2023
   Youssef En-Nesyri,15,ma MAR,FW,25-072,28,11,1,1,6,4,3,11,1,0,0.0,1,100.0,4,4,0,0,0,0,2,0,6,2,1,2022-2023
Lucas Ocampos,5,ar ARG,LW,28-032,79,35,1,4,24,8,2,35,2,2,100.0,0,0.0,31,136,25,1,0,1,2,0,28,7,1,2022-2023
   Alex Telles,3,br BRA,LW,29-240,11,5,0,1,2,2,0,5,2,2,100.0,0,0.0,3,16,8,1,0,0,0,0,3,2,1,2022-2023
Jesús Corona,9,mx MEX,RW,29-218,62,25,0,4,10,11,3,25,1,0,0.0,1,100.0,19,76,33,1,1,0,1,1,23,5,1,2022-2023
   Érik Lamela,17,ar ARG,RW,30-161,28,21,0,0,7,14,1,21,1,0,0.0,1,100.0,14,107,55,1,1,1,1,0,15,4,1,2022-2023
Papu Gómez,24,ar ARG,AM,34-178,79,47,2,10,26,12,3,47,2,1,50.0,1,50.0,36,173,69,2,3,0,2,0,39,3,1,2022-2023
   Iván Romero,36,es ESP,AM,21-124,11,5,0,0,3,2,0,5,0,0,,0,,4,19,1,0,0,0,1,1,4,0,1,2022-2023
Thomas Delaney,18,dk DEN,DM,30-343,79,49,5,21,24,4,1,49,0,0,,0,,35,110,32,0,0,0,1,1,38,1,1,2022-2023
   Ivan Rakitić,10,hr CRO,DM,34-155,11,11,0,0,7,4,0,11,0,0,,0,,9,16,6,0,0,0,0,0,11,1,1,2022-2023
Fernando,20,br BRA,DM,35-018,90,62,9,30,28,4,0,62,0,0,,0,,43,144,85,1,0,0,1,0,39,0,1,2022-2023
Marcos Acuña,19,ar ARG,LB,30-288,90,86,1,24,49,14,0,86,1,0,0.0,1,100.0,45,128,58,0,3,0,0,1,55,3,1,2022-2023
Karim Rekik,4,nl NED,CB,27-253,90,76,8,42,32,4,0,76,0,0,,0,,63,342,210,2,3,0,1,1,69,0,1,2022-2023
Nemanja Gudelj,6,rs SRB,CB,30-269,90,83,18,55,28,0,0,83,0,0,,0,,44,159,99,0,0,0,0,0,58,0,1,2022-2023
Jesús Navas,16,es ESP,RB,36-264,90,72,1,24,32,18,0,72,1,1,100.0,0,0.0,49,285,83,0,1,0,0,0,53,5,1,2022-2023
Yassine Bounou,13,ma MAR,GK,31-129,90,47,42,47,0,0,0,47,0,0,,0,,27,152,78,0,0,0,0,0,30,0,1,2022-2023
Gonçalo Paciência,9,pt POR,FW,28-012,69,30,1,2,15,14,1,30,0,0,,0,,17,33,4,0,0,0,7,2,22,4,1,2022-2023
   Carles Pérez,7,es ESP,FW,24-178,21,17,0,1,9,7,1,17,1,0,0.0,1,100.0,8,34,1,0,1,0,2,1,11,1,1,2022-2023
Iago Aspas,10,es ESP,FW,35-012,90,47,0,0,23,24,3,47,0,0,,0,,35,170,71,2,1,0,2,4,44,8,1,2022-2023
