Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Iván Villar,es ESP,25-318,90,4,1,3,100.0,1.6,4,9,44.4,17,3,35.3,30.1,5,60.0,50.0,15,0,0.0,2,23.0,36,2022-2023
Paulo Gazzaniga,ar ARG,31-141,90,7,1,6,85.7,1.9,0,1,0.0,23,4,4.3,20.3,8,0.0,23.4,19,0,0.0,0,15.0,36,2022-2023
Álex Remiro,es ESP,28-060,90,2,0,2,100.0,0.7,3,7,42.9,17,4,35.3,35.7,1,100.0,55.0,4,3,75.0,1,13.8,36,2022-2023
Fernando,es ESP,32-347,90,2,1,1,50.0,0.5,12,33,36.4,22,1,81.8,53.1,17,88.2,57.2,21,2,9.5,3,16.7,36,2022-2023
Jordi Masip,es ESP,34-140,90,6,1,5,83.3,1.3,8,20,40.0,25,1,64.0,45.4,7,57.1,43.4,14,1,7.1,1,15.3,36,2022-2023
Marc-André ter Stegen,de GER,31-023,45,2,2,1,50.0,1.0,2,3,66.7,17,3,17.6,27.9,1,0.0,13.0,5,,,1,25.5,36,2022-2023
Iñaki Peña ,es ESP,24-082,45,2,1,1,50.0,0.7,0,1,0.0,16,3,6.3,22.2,4,0.0,22.8,5,0,0.0,2,16.5,36,2022-2023
Édgar Badía,es ESP,31-101,90,3,1,2,66.7,0.9,4,4,100.0,22,9,4.5,22.2,11,27.3,32.0,13,1,7.7,0,8.3,36,2022-2023
Marko Dmitrović,rs SRB,31-120,90,7,1,6,85.7,0.7,16,32,50.0,22,2,81.8,52.5,15,93.3,61.7,21,1,4.8,0,5.5,36,2022-2023
Thibaut Courtois,be BEL,31-013,90,6,1,5,83.3,0.7,1,6,16.7,35,11,14.3,25.3,7,14.3,28.1,8,1,12.5,0,15.0,36,2022-2023
Stole Dimitrievski,mk MKD,29-150,90,3,2,1,33.3,1.4,4,11,36.4,19,4,31.6,29.2,9,55.6,48.4,12,1,8.3,1,15.4,36,2022-2023
Pepe Reina,es ESP,40-266,90,8,0,8,100.0,1.4,6,14,42.9,38,8,31.6,30.7,4,50.0,40.0,19,4,21.1,1,9.7,36,2022-2023
Jeremías Ledesma,ar ARG,30-100,90,7,2,5,71.4,2.1,6,12,50.0,24,5,41.7,38.6,3,66.7,54.7,7,0,0.0,6,22.1,36,2022-2023
Fernando Pacheco,es ESP,31-006,90,7,3,4,57.1,1.6,2,3,66.7,12,4,25.0,33.8,7,0.0,26.0,3,0,0.0,6,27.5,36,2022-2023
Ivo Grbić,hr CRO,27-126,90,13,3,10,84.6,3.7,1,14,7.1,23,6,30.4,31.4,11,63.6,42.1,35,1,2.9,0,5.0,36,2022-2023
Claudio Bravo,cl CHI,40-041,90,2,1,1,50.0,0.4,6,15,40.0,30,4,36.7,33.4,8,50.0,40.3,13,0,0.0,0,3.0,36,2022-2023
David Soria,es ESP,30-050,90,4,0,4,100.0,1.1,14,31,45.2,21,2,90.5,56.3,12,100.0,64.7,9,1,11.1,0,10.0,36,2022-2023
Predrag Rajković,rs SRB,27-206,90,5,0,5,100.0,2.2,4,18,22.2,20,4,65.0,49.6,5,100.0,68.6,20,0,0.0,0,12.5,36,2022-2023
Giorgi Mamardashvili,ge GEO,22-238,90,3,1,2,66.7,0.7,4,11,36.4,20,7,25.0,25.5,6,100.0,61.8,11,1,9.1,1,10.3,36,2022-2023
Aitor Fernández,es ESP,32-022,90,5,0,5,100.0,0.5,11,30,36.7,33,2,69.7,45.7,10,70.0,51.7,19,2,10.5,1,9.4,36,2022-2023
Julen Agirrezabala,es ESP,22-150,90,3,2,1,33.3,0.6,1,10,10.0,29,4,20.7,24.4,6,66.7,43.7,10,2,20.0,2,14.0,36,2022-2023
