Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Filip Jørgensen,dk DEN,21-049,90,3,2,1,33.3,1.6,0,0,,16,4,0.0,21.9,4,0.0,24.8,5,1,20.0,4,15.7,38,2022-2023
Ivo Grbić,hr CRO,27-137,84,6,1,5,83.3,2.8,4,11,36.4,11,2,45.5,38.3,11,54.5,43.1,10,1,10.0,,5.0,38,2022-2023
Antonio Gomis,es ESP,20-015,6,1,1,0,0.0,0.6,0,3,0.0,2,0,100.0,58.5,1,100.0,94.0,3,0,0.0,0,1.0,38,2022-2023
Álex Remiro,es ESP,28-072,90,4,1,3,75.0,0.5,7,17,41.2,41,4,34.1,32.0,4,75.0,53.8,11,0,0.0,2,17.6,38,2022-2023
Marko Dmitrović,rs SRB,31-131,90,6,2,4,66.7,1.8,6,29,20.7,33,1,63.6,47.1,8,100.0,64.8,12,1,8.3,1,14.2,38,2022-2023
Thibaut Courtois,be BEL,31-024,90,9,1,7,88.9,3.4,1,3,33.3,31,8,9.7,22.4,4,0.0,14.5,15,1,6.7,3,18.7,38,2022-2023
Unai Simón,es ESP,25-358,90,2,1,1,100.0,1.2,5,12,41.7,16,4,43.8,36.4,5,100.0,73.0,7,2,28.6,0,7.8,38,2022-2023
Aitor Fernández,es ESP,32-032,90,6,1,5,83.3,1.2,11,19,57.9,22,3,63.6,48.0,5,100.0,70.0,20,0,0.0,0,3.0,38,2022-2023
Paulo Gazzaniga,ar ARG,31-153,90,7,2,5,71.4,1.5,2,6,33.3,30,9,13.3,21.4,9,22.2,33.2,14,2,14.3,6,20.3,38,2022-2023
Leonardo Román,es ESP,22-333,90,4,0,4,100.0,0.1,9,21,42.9,30,3,40.0,35.2,12,75.0,48.8,30,1,3.3,2,17.4,38,2022-2023
Stole Dimitrievski,mk MKD,29-161,84,2,2,,0.0,1.4,4,13,30.8,14,3,28.6,30.7,9,100.0,70.7,7,,,1,21.5,38,2022-2023
Diego López,es ESP,41-213,6,1,1,0,0.0,0.6,0,0,,0,0,,,0,,,0,0,,0,,38,2022-2023
Jordi Masip,es ESP,34-152,90,1,0,1,100.0,0.5,1,4,25.0,15,1,20.0,29.5,6,16.7,19.5,2,1,50.0,1,16.0,38,2022-2023
David Soria,es ESP,30-061,90,0,0,0,,0.0,20,38,52.6,18,0,100.0,62.9,20,100.0,66.5,27,0,0.0,0,7.0,38,2022-2023
Claudio Bravo,cl CHI,40-052,90,3,1,2,66.7,1.1,6,17,35.3,33,5,42.4,36.3,7,42.9,39.9,12,0,0.0,0,10.0,38,2022-2023
Giorgi Mamardashvili,ge GEO,22-248,90,3,1,2,66.7,0.7,6,15,40.0,17,5,47.1,41.4,8,87.5,61.9,8,1,12.5,0,10.0,38,2022-2023
Édgar Badía,es ESP,31-112,90,3,1,2,66.7,0.8,1,3,33.3,22,1,9.1,26.8,12,8.3,20.7,7,0,0.0,2,21.0,38,2022-2023
Jeremías Ledesma,ar ARG,30-111,90,5,1,4,80.0,1.7,12,25,48.0,22,2,72.7,48.5,10,90.0,60.4,20,1,5.0,0,9.5,38,2022-2023
Iván Villar,es ESP,25-330,90,2,1,1,50.0,0.7,4,16,25.0,12,2,83.3,52.4,10,60.0,48.5,9,2,22.2,0,12.5,38,2022-2023
Marc-André ter Stegen,de GER,31-035,62,7,1,6,85.7,1.2,2,7,28.6,30,9,23.3,28.8,3,0.0,19.7,8,1,12.5,1,18.7,38,2022-2023
Iñaki Peña ,es ESP,24-094,28,2,1,1,50.0,0.7,1,2,50.0,7,2,28.6,32.1,0,,,2,0,0.0,0,,38,2022-2023
Joan García,es ESP,22-031,90,4,3,1,50.0,1.8,2,6,33.3,27,4,14.8,21.7,3,66.7,47.3,16,2,12.5,1,13.0,38,2022-2023
Fernando,es ESP,32-359,90,8,3,5,62.5,1.6,6,16,37.5,14,3,78.6,57.8,5,100.0,63.8,21,0,0.0,0,1.0,38,2022-2023
