Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Matchweek,Season
Vedat Muriqi,7,xk KVX,FW,28-187,90,1,0,0,0,5,2,0,0,46,0,0,0,1.1,1.1,0.0,1,0,18,32,56.3,4,21,0,2,0,12,2022-2023
Lee Kang-in,19,kr KOR,LM,21-251,86,0,0,0,0,1,1,0,0,34,0,0,2,0.0,0.0,0.1,4,0,22,27,81.5,4,20,1,1,0,12,2022-2023
   Antonio Sánchez,10,es ESP,LM,25-300,4,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,3,4,75.0,1,2,1,0,0,12,2022-2023
Iñigo Ruiz de Galarreta,4,es ESP,CM,29-083,90,0,0,0,0,0,0,1,0,74,1,1,1,0.0,0.0,0.1,4,1,52,68,76.5,8,47,0,0,0,12,2022-2023
Iddrisu Baba,12,gh GHA,CM,26-279,90,0,0,0,0,0,0,0,0,49,1,0,2,0.0,0.0,0.2,1,0,30,36,83.3,3,30,0,2,1,12,2022-2023
Dani Rodríguez,14,es ESP,RM,34-144,65,0,0,0,0,2,0,0,0,43,2,0,1,0.1,0.1,0.0,1,0,30,32,93.8,3,26,1,1,1,12,2022-2023
   Amath,23,sn SEN,RM,26-104,25,0,0,0,0,0,0,0,0,11,2,0,0,0.0,0.0,0.0,1,0,6,6,100.0,1,7,0,0,0,12,2022-2023
Jaume Costa,18,es ESP,LB,34-224,90,0,0,0,0,2,1,0,0,59,0,0,0,0.2,0.2,0.1,6,0,40,56,71.4,3,42,4,0,0,12,2022-2023
Copete,6,es ESP,CB,23-018,86,0,0,0,0,0,0,0,0,60,2,3,1,0.0,0.0,0.0,2,0,39,46,84.8,7,35,0,1,1,12,2022-2023
   Ángel Rodríguez,22,es ESP,FW,35-185,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,2,0,0,0,12,2022-2023
Antonio Raillo,21,es ESP,CB,31-020,90,0,0,0,0,1,1,1,0,58,1,1,1,0.0,0.0,0.0,0,0,37,45,82.2,4,32,1,1,0,12,2022-2023
Martin Valjent,24,sk SVK,CB,26-321,90,0,0,0,0,0,0,1,0,62,1,0,1,0.0,0.0,0.0,0,0,50,54,92.6,4,41,1,1,0,12,2022-2023
