player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Youssef En-Nesyri,15,ma MAR,FW,24-116,69,0,0,0,1,0,0,1,0,0,0,0,0,0,1,5,16.7,7,2021-2022
   Rafa Mir,12,es ESP,FW,24-099,21,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,100.0,7,2021-2022
Lucas Ocampos,5,ar ARG,LW,27-076,79,0,0,0,2,1,1,3,0,2,0,0,0,7,2,1,66.7,7,2021-2022
   Karim Rekik,4,nl NED,LB,26-297,11,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,7,2021-2022
Suso,7,es ESP,RW,27-310,55,0,0,0,0,0,1,2,0,2,0,0,0,3,0,0,,7,2021-2022
   Érik Lamela,17,ar ARG,RW,29-205,35,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,7,2021-2022
Ivan Rakitić,10,hr CRO,LM,33-199,55,1,0,0,2,1,0,1,1,1,0,0,0,2,2,1,66.7,7,2021-2022
   Fernando,25,br BRA,"LM,CM",34-062,35,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,100.0,7,2021-2022
Thomas Delaney,18,dk DEN,CM,30-022,64,2,1,1,1,1,0,2,0,1,0,0,0,2,3,0,100.0,7,2021-2022
Joan Jordán,8,es ESP,RM,27-081,90,0,0,0,1,0,0,0,2,0,0,0,0,9,1,0,100.0,7,2021-2022
Marcos Acuña,19,ar ARG,"LB,LM",29-332,90,0,0,0,1,0,0,6,0,3,0,0,0,6,0,2,0.0,7,2021-2022
Diego Carlos,20,br BRA,CB,28-194,90,0,0,0,0,0,0,0,1,1,0,0,0,6,1,1,50.0,7,2021-2022
Jules Koundé,23,fr FRA,CB,22-317,90,0,0,0,0,1,0,0,1,0,0,0,0,4,4,1,80.0,7,2021-2022
Jesús Navas,16,es ESP,RB,35-308,90,0,0,0,0,0,1,2,0,1,0,0,0,8,1,1,50.0,7,2021-2022
Yassine Bounou,13,ma MAR,GK,30-173,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,7,2021-2022
Raúl de Tomás,11,es ESP,FW,26-343,90,0,0,0,1,0,2,2,0,1,0,0,0,1,0,1,0.0,7,2021-2022
Wu Lei,7,cn CHN,LM,29-310,56,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,25.0,7,2021-2022
   Nico Ribaudo,21,es ESP,LM,20-167,34,0,0,0,0,1,0,4,0,0,0,0,0,1,1,0,100.0,7,2021-2022
Sergi Darder,10,es ESP,CM,27-277,90,0,0,0,1,0,0,1,1,0,0,0,0,4,0,0,,7,2021-2022
Fran Mérida,8,es ESP,CM,31-205,45,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0.0,7,2021-2022
   Landry Dimata,18,be BEL,CM,24-024,45,0,0,0,0,1,0,0,0,1,0,0,0,1,1,5,16.7,7,2021-2022
Adri Embarba,23,es ESP,RM,29-141,77,0,0,0,2,1,0,9,0,3,0,0,0,4,3,2,60.0,7,2021-2022
