player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Rubén Sobrino,21,es ESP,FW,29-152,60,8,7,1,0,0,0,0,0,0,0,0,0,5,0,1,12,2021-2022
   Álvaro Negredo,18,es ESP,FW,36-072,30,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0,12,2021-2022
Anthony Lozano,9,hn HON,FW,28-189,90,16,15,1,0,0,0,2,0,0,0,0,0,12,0,1,12,2021-2022
Alberto Perea,10,es ESP,LM,30-316,90,38,35,3,0,0,0,3,2,1,1,0,0,31,0,2,12,2021-2022
Álex Fernández,8,es ESP,CM,29-016,90,52,44,7,3,0,0,2,1,3,1,0,0,39,1,0,12,2021-2022
Jens Jønsson,2,dk DEN,CM,28-294,61,20,19,1,1,0,0,1,0,0,0,0,0,15,0,1,12,2021-2022
   Tomás Alarcón,12,cl CHI,CM,22-285,29,14,9,4,3,0,0,3,0,1,0,1,0,8,1,2,12,2021-2022
Chapela,27,es ESP,RM,22-163,68,12,12,0,0,0,1,2,0,0,0,0,0,10,0,0,12,2021-2022
   Santiago Arzamendia,19,py PAR,RM,23-179,22,7,5,2,0,0,0,1,1,1,1,0,0,4,0,0,12,2021-2022
Alfonso Espino,22,uy URU,LB,29-299,90,54,41,12,2,0,1,4,10,0,0,0,0,30,1,1,12,2021-2022
Fali,3,es ESP,CB,28-080,45,16,15,0,0,0,0,0,0,0,0,0,0,7,1,0,12,2021-2022
   Víctor Chust,32,es ESP,CB,21-240,45,14,14,0,0,0,0,0,0,0,0,0,0,11,0,0,12,2021-2022
Cala,16,es ESP,CB,31-339,90,30,28,2,1,0,1,0,1,0,0,0,0,21,0,0,12,2021-2022
Isaac Carcelen,20,es ESP,RB,28-191,79,35,28,7,1,0,0,2,6,0,0,0,0,26,0,1,12,2021-2022
   Milutin Osmajić,29,me MNE,RB,22-098,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2021-2022
Jeremías Ledesma,1,ar ARG,GK,28-260,90,21,10,11,5,0,0,0,0,0,0,0,0,14,0,0,12,2021-2022
Ángel Rodríguez,22,es ESP,FW,34-188,90,14,13,1,0,0,0,0,0,0,0,0,0,11,0,0,12,2021-2022
Dani Rodríguez,14,es ESP,"LW,RW",33-147,90,30,30,0,0,0,0,1,0,0,0,0,0,23,0,2,12,2021-2022
Amath,23,sn SEN,RW,25-107,62,13,13,0,0,0,0,0,0,0,0,0,0,11,0,0,12,2021-2022
   Antonio Sánchez,10,es ESP,"LW,RW",24-303,28,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,12,2021-2022
Lee Kang-in,19,kr KOR,AM,20-254,89,38,32,6,1,0,0,5,0,4,1,2,0,22,0,4,12,2021-2022
   Rodrigo Battaglia,16,ar ARG,DM,30-111,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,12,2021-2022
Salva Sevilla,8,es ESP,DM,37-227,62,61,57,4,3,1,0,2,0,1,0,1,0,54,0,0,12,2021-2022
   Iñigo Ruiz de Galarreta,4,es ESP,DM,28-086,28,9,9,0,0,0,0,1,0,0,0,0,0,7,0,1,12,2021-2022
Iddrisu Baba,12,gh GHA,"DM,CB",25-282,90,50,50,0,0,0,0,0,0,0,0,0,0,41,0,0,12,2021-2022
Brian Oliván,3,es ESP,LB,27-213,90,41,31,10,0,0,1,0,10,0,0,0,0,24,0,2,12,2021-2022
Franco Russo,5,ar ARG,CB,27-006,90,58,54,4,4,0,1,0,0,0,0,0,0,47,0,0,12,2021-2022
Martin Valjent,24,sk SVK,CB,25-324,45,32,30,2,2,0,0,0,0,0,0,0,0,26,0,0,12,2021-2022
   Aleksandar Sedlar,20,rs SRB,CB,29-322,41,8,7,1,1,0,0,0,0,0,0,0,0,7,0,0,12,2021-2022
Pablo Maffeo,15,es ESP,RB,24-111,82,37,27,10,0,0,0,0,10,0,0,0,0,29,0,1,12,2021-2022
   Joan Sastre Vanrell,2,es ESP,RB,24-184,8,4,2,2,1,0,0,0,1,0,0,0,0,3,0,0,12,2021-2022
Manolo Reina,1,es ESP,GK,36-213,90,34,19,13,5,0,0,0,0,0,0,0,0,19,2,0,12,2021-2022
Luis Suárez,9,uy URU,FW,34-280,70,22,20,1,0,0,0,1,0,0,0,0,0,13,1,0,12,2021-2022
   João Félix,7,pt POR,FW,21-355,20,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,12,2021-2022
Antoine Griezmann,8,fr FRA,AM,30-224,90,49,37,10,1,1,0,6,1,8,5,1,0,33,2,2,12,2021-2022
Ángel Correa,10,ar ARG,AM,26-236,83,31,26,5,0,0,0,4,0,5,4,0,0,28,0,0,12,2021-2022
   Héctor Herrera,16,mx MEX,"CM,AM",31-195,7,8,7,1,1,0,0,0,0,0,0,0,0,8,0,0,12,2021-2022
Koke,6,es ESP,CM,29-296,90,61,61,0,0,0,2,0,0,0,0,0,0,52,0,1,12,2021-2022
Rodrigo De Paul,5,ar ARG,CM,27-160,83,48,46,2,2,1,0,2,0,0,0,0,0,43,0,2,12,2021-2022
   Matheus Cunha,19,br BRA,AM,22-157,7,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,12,2021-2022
Yannick Carrasco,21,be BEL,WB,28-057,87,45,38,7,0,2,0,1,7,0,0,0,0,38,0,4,12,2021-2022
   Renan Lodi,12,br BRA,WB,23-206,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2021-2022
Kieran Trippier,23,eng ENG,WB,31-042,90,60,47,13,0,0,1,3,13,0,0,0,0,43,0,2,12,2021-2022
Mario Hermoso,22,es ESP,CB,26-135,90,55,47,8,2,0,1,1,6,0,0,0,0,48,0,2,12,2021-2022
José María Giménez,2,uy URU,CB,26-284,90,40,38,2,2,0,1,0,0,0,0,0,0,36,0,0,12,2021-2022
Stefan Savić,15,me MNE,CB,30-296,90,37,35,2,2,0,0,0,0,0,0,0,0,31,0,0,12,2021-2022
Jan Oblak,13,si SVN,GK,28-297,90,27,15,12,3,0,0,0,0,0,0,0,0,19,0,0,12,2021-2022
