player,nationality,age,minutes,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct,gk_psxg,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_avg_distance_def_actions,Matchweek,Season
Jeremías Ledesma,ar ARG,28-260,90,5,1,4,80.0,1.5,6,12,50.0,15,3,66.7,47.9,6,33.3,37.7,7,0,0.0,0,16.0,12,2021-2022
Manolo Reina,es ESP,36-213,90,2,1,1,100.0,1.6,4,16,25.0,24,4,54.2,39.3,8,37.5,39.5,16,2,12.5,0,5.8,12,2021-2022
Jan Oblak,si SVN,28-297,90,1,0,1,100.0,0.0,6,13,46.2,18,4,38.9,38.3,9,66.7,42.3,6,1,16.7,0,13.5,12,2021-2022
Claudio Bravo,cl CHI,38-201,90,9,3,7,66.7,3.5,1,7,14.3,24,5,29.2,33.4,7,0.0,26.0,15,2,13.3,0,6.8,12,2021-2022
David Soria,es ESP,28-210,90,3,1,2,66.7,0.6,8,13,61.5,15,3,60.0,42.7,6,66.7,48.2,25,2,8.0,0,9.2,12,2021-2022
Diego López,es ESP,39-362,90,7,2,5,71.4,1.9,4,10,40.0,28,6,25.0,31.3,7,42.9,41.3,14,0,0.0,2,24.3,12,2021-2022
Álex Remiro,es ESP,26-221,90,5,1,4,80.0,1.1,2,5,40.0,27,4,18.5,30.0,3,0.0,21.3,14,0,0.0,3,15.2,12,2021-2022
Unai Simón,es ESP,24-142,90,3,1,2,100.0,1.2,3,13,23.1,22,2,54.5,41.1,5,20.0,24.8,13,0,0.0,0,,12,2021-2022
Stole Dimitrievski,mk MKD,27-311,90,4,0,4,100.0,0.5,10,15,66.7,24,7,45.8,38.3,5,80.0,56.6,18,1,5.6,1,14.0,12,2021-2022
Matías Dituro,ar ARG,34-177,90,5,0,5,100.0,0.7,8,28,28.6,34,7,61.8,46.1,9,77.8,55.2,20,2,10.0,1,12.5,12,2021-2022
Aitor Fernández,es ESP,30-182,90,6,3,3,50.0,2.2,2,7,28.6,13,3,46.2,38.2,9,11.1,20.6,13,0,0.0,1,27.0,12,2021-2022
Luís Maximiano,pt POR,22-300,90,3,0,3,100.0,0.8,4,20,20.0,28,4,57.1,43.5,4,100.0,60.8,18,1,5.6,2,21.0,12,2021-2022
Unai Simón,es ESP,24-147,90,4,1,3,75.0,0.5,3,5,60.0,21,10,14.3,22.9,4,50.0,50.0,16,0,0.0,4,22.4,13,2021-2022
Jeremías Ledesma,ar ARG,28-265,90,4,0,4,100.0,0.2,12,26,46.2,22,4,81.8,55.4,8,100.0,69.1,20,2,10.0,0,5.7,13,2021-2022
Diego López,es ESP,40-003,90,5,0,5,100.0,1.4,3,10,30.0,25,4,28.0,33.6,8,37.5,35.9,21,3,14.3,1,10.0,13,2021-2022
Luís Maximiano,pt POR,22-305,90,6,2,4,66.7,1.8,5,9,55.6,20,7,25.0,28.6,9,44.4,44.1,12,1,8.3,2,18.8,13,2021-2022
Matías Dituro,ar ARG,34-182,90,6,3,3,50.0,2.9,3,6,50.0,24,6,25.0,28.5,7,0.0,29.1,4,0,0.0,2,25.3,13,2021-2022
Marc-André ter Stegen,de GER,29-190,90,4,3,1,25.0,1.5,8,15,53.3,34,4,23.5,30.7,13,53.8,38.8,19,0,0.0,2,13.0,13,2021-2022
Fernando Pacheco,es ESP,29-172,90,7,1,6,85.7,1.2,6,10,60.0,30,7,30.0,30.7,4,25.0,28.5,4,0,0.0,3,24.5,13,2021-2022
Cárdenas,es ESP,24-223,90,3,2,1,66.7,1.5,5,24,20.8,20,1,80.0,48.9,13,61.5,42.6,22,0,0.0,2,32.7,13,2021-2022
