player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Ezequiel Ponce,18,ar ARG,FW,25-018,90,11,20,55.0,131,16,10,14,71.4,0,2,0.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,32,2021-2022
Fidel,16,es ESP,LM,32-171,67,28,44,63.6,455,231,18,20,90.0,3,8,37.5,6,12,50.0,2,0.4,0.2,2,5,1,0,4,32,2021-2022
   Pere Milla,10,es ESP,"RM,LM",29-205,23,6,9,66.7,96,17,3,5,60.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,32,2021-2022
Omar Mascarell,21,es ESP,CM,29-073,90,45,54,83.3,789,190,22,25,88.0,16,18,88.9,6,9,66.7,0,0.0,0.0,0,4,0,0,7,32,2021-2022
Raúl Guti,8,es ESP,CM,25-107,67,19,24,79.2,270,102,12,13,92.3,6,8,75.0,0,2,0.0,0,0.0,0.0,0,4,0,0,3,32,2021-2022
   Gerard Gumbau,2,es ESP,CM,27-119,23,8,12,66.7,183,80,4,5,80.0,2,2,100.0,2,3,66.7,0,0.0,0.0,0,2,1,0,3,32,2021-2022
Kike Pérez,24,es ESP,RM,25-061,70,15,22,68.2,242,26,8,14,57.1,6,6,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1,32,2021-2022
   Pablo Piatti,20,ar ARG,LM,33-016,20,4,7,57.1,33,0,4,5,80.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,32,2021-2022
Johan Mojica,22,co COL,LB,29-238,90,44,54,81.5,670,220,27,29,93.1,14,18,77.8,2,2,100.0,0,0.1,0.3,1,2,4,1,6,32,2021-2022
Pedro Bigas,6,es ESP,CB,31-213,86,43,54,79.6,866,341,20,22,90.9,18,20,90.0,5,11,45.5,0,0.0,0.0,0,3,0,0,2,32,2021-2022
   Diego González,4,es ESP,CB,27-078,4,1,2,50.0,21,17,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,32,2021-2022
Gonzalo Verdú,5,es ESP,CB,33-177,90,48,56,85.7,963,299,12,13,92.3,33,35,94.3,3,6,50.0,0,0.0,0.0,0,2,0,0,1,32,2021-2022
Enzo Roco,3,cl CHI,CB,29-243,90,43,50,86.0,938,309,9,10,90.0,27,28,96.4,6,10,60.0,0,0.0,0.0,0,4,0,0,5,32,2021-2022
Josan,17,es ESP,RB,32-134,70,21,26,80.8,397,104,10,11,90.9,8,10,80.0,3,3,100.0,0,0.6,0.2,1,0,2,1,2,32,2021-2022
   Tete Morente,11,es ESP,RB,25-133,20,10,11,90.9,123,67,6,7,85.7,2,2,100.0,1,1,100.0,0,0.0,0.0,1,0,0,0,0,32,2021-2022
Édgar Badía,13,es ESP,GK,30-063,90,25,36,69.4,892,776,4,4,100.0,8,8,100.0,12,23,52.2,0,0.0,0.0,0,0,0,0,0,32,2021-2022
Vedat Muriqi,7,xk KVX,FW,27-357,90,15,24,62.5,122,3,8,10,80.0,2,6,33.3,0,1,0.0,0,0.0,0.0,0,0,0,0,0,32,2021-2022
Dani Rodríguez,14,es ESP,LM,33-314,45,8,9,88.9,143,49,2,2,100.0,2,3,66.7,2,2,100.0,0,0.0,0.0,0,1,0,0,2,32,2021-2022
   Takefusa Kubo,17,jp JPN,RW,20-316,45,21,27,77.8,270,78,13,14,92.9,8,12,66.7,0,0,,0,0.2,0.2,2,2,2,0,5,32,2021-2022
Iddrisu Baba,12,gh GHA,"CM,DM",26-084,55,15,17,88.2,287,169,5,6,83.3,7,7,100.0,3,3,100.0,0,0.0,0.0,0,0,0,0,1,32,2021-2022
   Salva Sevilla,8,es ESP,CM,38-029,35,28,32,87.5,560,211,10,11,90.9,11,11,100.0,5,8,62.5,0,0.0,0.0,0,9,1,0,6,32,2021-2022
Antonio Sánchez,10,es ESP,"CM,RM,DM",25-105,90,35,42,83.3,617,135,13,13,100.0,12,13,92.3,6,11,54.5,0,0.0,0.0,0,1,0,0,3,32,2021-2022
Amath,23,sn SEN,"RM,LW",25-274,55,10,12,83.3,142,47,5,6,83.3,4,4,100.0,0,0,,0,0.3,0.1,2,0,1,1,1,32,2021-2022
   Ángel Rodríguez,22,es ESP,LW,34-355,35,7,8,87.5,56,5,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,32,2021-2022
Jaume Costa,18,es ESP,LB,34-029,35,6,12,50.0,113,34,3,6,50.0,2,3,66.7,1,2,50.0,0,0.0,0.0,0,0,0,0,1,32,2021-2022
   Giovanni González,2,uy URU,RB,27-208,55,31,40,77.5,488,118,13,13,100.0,12,15,80.0,2,4,50.0,0,0.7,0.5,2,2,0,0,2,32,2021-2022
Brian Oliván,3,es ESP,"LB,CB",28-015,90,39,64,60.9,599,137,14,15,93.3,21,30,70.0,1,14,7.1,0,0.0,0.0,0,5,0,0,5,32,2021-2022
