player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Youssef En-Nesyri,15,ma MAR,FW,24-332,90,1,0,0,0,2,2,0,0,23,2,0,0,0.6,0.6,0.0,0,0,6,9,66.7,0,5,0,0,0,34,2021-2022
Lucas Ocampos,5,ar ARG,"LW,RW,WB",27-292,90,0,0,0,0,1,0,0,0,56,5,0,2,0.0,0.0,0.0,2,0,30,39,76.9,3,25,2,2,0,34,2021-2022
Érik Lamela,17,ar ARG,RW,30-056,56,0,0,0,0,2,2,0,0,38,3,0,0,0.0,0.0,0.0,2,0,23,28,82.1,3,22,0,2,0,34,2021-2022
   Jesús Corona,9,mx MEX,"LW,WB",29-113,34,0,0,0,0,1,0,0,0,23,0,0,0,0.0,0.0,0.0,1,0,16,19,84.2,2,13,1,1,0,34,2021-2022
Papu Gómez,24,ar ARG,AM,34-073,90,0,0,0,0,2,1,1,0,66,1,0,0,0.0,0.0,0.0,2,1,42,54,77.8,8,48,6,4,2,34,2021-2022
Ivan Rakitić,10,hr CRO,DM,34-050,56,0,1,0,0,0,0,0,0,57,1,1,1,0.0,0.0,0.1,3,1,47,51,92.2,4,32,0,0,0,34,2021-2022
   Thomas Delaney,18,dk DEN,"DM,CM",30-238,34,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,16,23,69.6,2,10,1,0,0,34,2021-2022
Joan Jordán,8,es ESP,DM,27-297,70,0,0,0,0,0,0,0,0,43,1,0,0,0.0,0.0,0.0,1,0,29,40,72.5,6,29,0,0,0,34,2021-2022
   Óliver Torres,21,es ESP,"DM,CM",27-170,20,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,1,0,15,19,78.9,6,15,0,0,0,34,2021-2022
Marcos Acuña,19,ar ARG,"LB,CB",30-183,90,0,0,0,0,0,0,0,0,94,0,0,0,0.0,0.0,0.0,0,0,73,85,85.9,5,56,2,3,2,34,2021-2022
Diego Carlos,20,br BRA,CB,29-045,90,0,0,0,0,2,1,0,0,60,2,0,1,0.1,0.1,0.0,0,0,43,50,86.0,3,40,0,0,0,34,2021-2022
Jules Koundé,23,fr FRA,CB,23-168,90,0,0,0,0,1,0,0,0,70,1,0,1,0.0,0.0,0.5,2,0,56,61,91.8,6,39,2,0,0,34,2021-2022
Jesús Navas,16,es ESP,RB,36-159,82,0,0,0,0,0,0,1,0,75,0,1,0,0.0,0.0,0.1,5,0,58,72,80.6,9,51,2,1,1,34,2021-2022
   Iván Romero,36,es ESP,AM,21-019,8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,2,4,0,0,0,34,2021-2022
Yassine Bounou,13,ma MAR,GK,31-024,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,20,23,87.0,0,12,0,0,0,34,2021-2022
Lucas Pérez,25,es ESP,"FW,AM",33-231,83,1,0,0,0,3,2,0,0,43,2,0,0,0.4,0.4,0.2,2,0,26,35,74.3,2,16,1,2,0,34,2021-2022
   Salvi,7,es ESP,LW,31-030,7,0,0,0,0,0,0,0,0,7,0,2,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,0,34,2021-2022
Rubén Sobrino,21,es ESP,LW,29-332,83,0,0,0,0,1,0,0,0,48,1,2,0,0.0,0.0,0.0,2,2,25,35,71.4,1,30,3,1,0,34,2021-2022
   Santiago Arzamendia,19,py PAR,AM,23-359,7,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,1,0,0,0,34,2021-2022
Iván Alejo,14,es ESP,RW,27-078,84,0,0,0,0,0,0,0,0,32,3,1,2,0.0,0.0,0.1,1,0,10,15,66.7,0,19,2,4,0,34,2021-2022
   Tomás Alarcón,12,cl CHI,RW,23-100,6,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,1,0,0,0,34,2021-2022
Álex Fernández,8,es ESP,"AM,DM",29-196,90,0,0,0,0,0,0,0,0,56,2,0,0,0.0,0.0,0.2,1,0,43,47,91.5,6,34,0,2,1,34,2021-2022
José Mari,6,es ESP,DM,34-144,68,0,0,0,0,2,0,0,0,47,4,0,1,0.1,0.1,0.0,2,0,32,36,88.9,4,25,2,0,0,34,2021-2022
   Fede San Emeterio,24,es ESP,DM,25-044,22,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,0,1,0,0,0,34,2021-2022
Jens Jønsson,2,dk DEN,DM,29-109,78,0,0,0,0,1,0,1,0,32,1,1,2,0.1,0.1,0.0,2,0,22,24,91.7,1,20,0,1,0,34,2021-2022
   Álvaro Negredo,18,es ESP,FW,36-252,12,0,0,0,0,1,1,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,4,0,0,0,34,2021-2022
Alfonso Espino,22,uy URU,LB,30-114,90,0,0,0,0,0,0,1,0,62,2,0,0,0.0,0.0,0.0,2,0,40,52,76.9,4,29,3,1,1,34,2021-2022
Fali,3,es ESP,CB,28-260,90,0,0,0,0,1,0,0,0,54,0,4,1,0.1,0.1,0.0,1,0,36,42,85.7,1,24,0,0,0,34,2021-2022
Luis Hernández,23,es ESP,CB,33-015,90,0,0,0,0,0,0,0,0,52,0,1,1,0.0,0.0,0.0,0,0,36,47,76.6,4,21,1,0,0,34,2021-2022
Carlos Akapo,15,gq EQG,RB,29-048,90,0,0,0,0,1,0,0,0,47,3,2,1,0.1,0.1,0.0,0,0,29,38,76.3,2,21,1,0,0,34,2021-2022
Jeremías Ledesma,1,ar ARG,GK,29-075,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,15,34,44.1,0,24,0,0,0,34,2021-2022
Joselu,9,es ESP,FW,32-034,90,0,1,0,0,2,1,0,0,37,1,0,1,0.1,0.1,1.0,5,2,16,26,61.5,3,18,0,3,2,34,2021-2022
Luis Rioja,11,es ESP,LW,28-196,86,0,0,0,0,0,0,0,0,30,1,1,1,0.0,0.0,0.3,1,0,10,21,47.6,1,20,4,1,0,34,2021-2022
   Jason,25,es ESP,LW,27-298,4,0,0,0,0,0,0,1,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,34,2021-2022
