player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Dimitri Foulquier,20,fr FRA,WB,28-354,90,2,2,1,1,0,0,1,0.0,1,0,0,0,0,2,0,0,28,2021-2022
Omar Alderete,15,py PAR,CB,25-076,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,28,2021-2022
Gabriel Paulista,5,br BRA,CB,31-106,90,3,2,2,1,0,2,3,66.7,1,0,0,0,3,6,10,0,28,2021-2022
Mouctar Diakhaby,12,gn GUI,CB,25-083,90,0,0,0,0,0,0,0,,0,2,2,0,2,2,7,0,28,2021-2022
Giorgi Mamardashvili,28,ge GEO,GK,21-164,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Sergi Guardiola,16,es ESP,FW,30-288,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,28,2021-2022
Randy Ntekja,9,fr FRA,LW,24-097,73,3,2,1,1,1,2,3,66.7,1,4,0,4,0,3,1,0,28,2021-2022
   Mamadou Sylla,11,sn SEN,LW,27-358,17,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,28,2021-2022
Bebé,10,cv CPV,RW,31-244,63,0,0,0,0,0,0,0,,0,3,0,3,1,1,0,0,28,2021-2022
   Mario Hernández,32,es ESP,RW,23-047,27,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,28,2021-2022
Óscar Trejo,8,ar ARG,AM,33-321,85,2,1,2,0,0,1,2,50.0,1,1,0,1,1,3,1,0,28,2021-2022
   Pathé Ciss,21,sn SEN,AM,27-362,5,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,28,2021-2022
Óscar Valentín,23,es ESP,DM,27-205,90,2,0,1,1,0,1,1,100.0,0,1,0,1,0,2,3,0,28,2021-2022
Santi Comesaña,6,es ESP,DM,25-159,90,4,4,2,2,0,1,4,25.0,3,3,0,3,1,5,2,0,28,2021-2022
Fran Garcia,33,es ESP,LB,22-211,90,1,1,1,0,0,1,4,25.0,3,3,0,3,0,1,1,0,28,2021-2022
Catena,5,es ESP,CB,27-136,90,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,5,0,28,2021-2022
Mario Suárez,4,es ESP,CB,35-017,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,28,2021-2022
Iván Balliu,20,al ALB,RB,30-071,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0,28,2021-2022
Stole Dimitrievski,13,mk MKD,GK,28-078,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,28,2021-2022
Rafa Mir,12,es ESP,"FW,RW",24-268,90,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,2,0,28,2021-2022
Munir El Haddadi,11,ma MAR,LW,26-193,53,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,28,2021-2022
   Anthony Martial,22,fr FRA,FW,26-098,37,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,28,2021-2022
Lucas Ocampos,5,ar ARG,"RW,RM,RB,WB",27-245,90,3,2,2,1,0,1,4,25.0,3,3,0,3,1,4,0,0,28,2021-2022
Óliver Torres,21,es ESP,"AM,CM",27-123,71,1,0,0,1,0,0,2,0.0,2,1,0,1,1,2,0,0,28,2021-2022
   Youssef En-Nesyri,15,ma MAR,LW,24-285,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,2021-2022
Thomas Delaney,18,dk DEN,"DM,CM",30-191,90,2,2,1,1,0,1,3,33.3,2,1,1,0,0,2,1,0,28,2021-2022
Ivan Rakitić,10,hr CRO,"DM,CM",34-003,90,1,1,1,0,0,0,1,0.0,1,2,0,2,1,2,2,0,28,2021-2022
Ludwig Augustinsson,3,se SWE,LB,27-326,53,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,3,0,28,2021-2022
