player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Franco Cervi,11,ar ARG,LM,27-349,89,43,1,8,18,17,5,43,2,2,100.0,0,0.0,22,137,67,3,0,1,1,1,24,7,36,2021-2022
   Augusto Solari,21,ar ARG,LM,30-127,1,5,0,3,1,1,0,5,0,0,,0,,1,4,3,0,0,0,0,0,2,0,36,2021-2022
Denis Suárez,6,es ESP,CM,28-124,89,81,0,8,56,17,0,81,1,0,0.0,1,100.0,45,296,177,2,4,0,2,1,59,0,36,2021-2022
   José Fontán,19,es ESP,CB,22-088,1,9,3,6,3,0,0,9,0,0,,0,,7,14,5,0,0,0,0,0,7,0,36,2021-2022
Brais Méndez,23,es ESP,RM,25-123,90,65,1,9,41,16,4,65,3,1,33.3,2,66.7,34,195,65,2,1,1,1,3,53,3,36,2021-2022
Fran Beltrán,8,es ESP,DM,23-096,89,55,1,11,39,5,0,55,0,0,,0,,20,70,25,0,0,0,0,0,40,0,36,2021-2022
   Gabriel Veiga,29,es ESP,CM,19-348,1,6,0,1,4,2,0,6,0,0,,0,,3,29,25,0,0,0,1,0,3,0,36,2021-2022
Javi Galán,17,es ESP,LB,27-172,90,59,3,16,26,18,1,59,3,2,66.7,1,33.3,23,170,100,3,2,0,2,0,41,3,36,2021-2022
Néstor Araujo,4,mx MEX,CB,30-254,90,51,7,29,21,1,1,51,0,0,,0,,32,230,128,0,0,0,0,0,38,0,36,2021-2022
Joseph Aidoo,15,gh GHA,"RB,CB",26-223,90,56,10,23,30,3,0,56,1,1,100.0,0,0.0,28,148,99,2,0,0,0,1,31,0,36,2021-2022
Kevin Vázquez,20,es ESP,RB,29-048,45,30,1,9,16,5,0,30,0,0,,0,,12,26,4,0,0,0,1,1,15,1,36,2021-2022
   Jeison Murillo,24,co COL,CB,29-348,12,1,0,0,1,0,0,1,0,0,,0,,1,1,1,0,0,0,0,0,1,0,36,2021-2022
Matías Dituro,1,ar ARG,GK,35-002,90,42,39,42,0,0,0,42,0,0,,0,,15,51,21,0,0,0,0,0,24,0,36,2021-2022
Kiké,18,es ESP,FW,32-167,70,22,0,0,15,7,1,22,2,0,0.0,2,100.0,10,35,8,0,0,0,0,3,18,4,36,2021-2022
   Ante Budimir,17,hr CRO,FW,30-293,20,6,0,0,2,5,0,6,1,1,100.0,0,0.0,4,29,9,0,1,0,0,0,6,3,36,2021-2022
Rubén García,14,es ESP,LW,28-301,80,42,1,2,22,18,3,42,0,0,,0,,18,89,48,2,1,1,0,0,30,13,36,2021-2022
   Kike Barja,11,es ESP,LW,25-040,10,14,0,0,6,8,1,14,2,2,100.0,0,0.0,8,70,37,1,1,0,0,1,11,3,36,2021-2022
Ezequiel Ávila,9,ar ARG,RW,28-094,90,45,1,7,15,23,2,45,1,1,100.0,0,0.0,18,83,37,1,0,1,1,2,29,10,36,2021-2022
Roberto Torres,10,es ESP,AM,33-065,70,32,1,5,19,8,0,32,2,0,0.0,2,100.0,18,79,19,0,0,0,0,1,23,1,36,2021-2022
   Darko Brašanac,8,rs SRB,AM,30-088,20,8,0,0,3,5,0,8,0,0,,0,,3,23,19,0,0,0,0,0,8,2,36,2021-2022
Oier Sanjurjo,6,es ESP,DM,35-351,70,32,1,6,18,8,2,32,0,0,,0,,8,47,27,1,0,0,0,1,19,1,36,2021-2022
   Jon Moncayola,7,es ESP,DM,23-363,20,18,0,2,9,7,0,18,0,0,,0,,7,21,5,0,1,0,0,0,11,0,36,2021-2022
Lucas Torró,24,es ESP,DM,27-296,89,64,4,23,34,7,2,64,1,1,100.0,0,0.0,19,73,40,0,0,0,0,1,29,0,36,2021-2022
   Barbero,20,es ESP,DM,23-267,1,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,1,36,2021-2022
Juan Cruz Armada,3,es ESP,LB,29-287,90,80,0,10,58,12,0,80,0,0,,0,,37,224,138,4,0,0,0,1,56,6,36,2021-2022
David García,5,es ESP,CB,28-086,90,82,3,34,44,4,4,82,0,0,,0,,45,280,146,1,0,0,1,0,55,0,36,2021-2022
Unai García,4,es ESP,CB,30-097,90,65,4,36,28,1,1,65,0,0,,0,,38,117,45,0,0,0,0,0,45,0,36,2021-2022
Nacho Vidal,2,es ESP,RB,27-107,90,68,3,24,36,9,0,68,0,0,,0,,32,176,106,0,0,0,0,1,38,1,36,2021-2022
Juan Pérez,13,es ESP,GK,25-300,90,19,18,19,0,0,0,19,0,0,,0,,11,67,19,0,0,0,0,0,11,0,36,2021-2022
Enes Ünal,10,tr TUR,FW,25-001,89,24,0,1,13,11,3,24,0,0,,0,,13,52,9,0,0,0,3,2,18,4,36,2021-2022
   Sandro Ramírez,12,es ESP,FW,26-306,1,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,36,2021-2022
Borja Mayoral,25,es ESP,FW,25-036,89,24,0,0,19,5,4,24,0,0,,0,,13,41,17,1,0,1,2,2,17,1,36,2021-2022
   Okay Yokuşlu,19,tr TUR,CB,28-063,1,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,36,2021-2022
Nemanja Maksimović,20,rs SRB,CM,27-105,90,26,3,8,8,10,1,26,0,0,,0,,9,32,17,0,0,0,0,0,8,2,36,2021-2022
Mauro Arambarri,18,uy URU,CM,26-223,90,42,3,8,27,7,0,42,2,1,50.0,1,50.0,16,58,8,0,0,0,1,2,17,1,36,2021-2022
Florentino Luís,5,pt POR,CM,22-265,70,21,2,3,11,7,0,21,0,0,,0,,6,11,1,0,0,0,1,0,8,1,36,2021-2022
   Óscar Rodríguez Arnaiz,24,es ESP,CM,23-317,20,5,1,2,3,0,0,5,0,0,,0,,0,0,0,0,0,0,0,0,0,0,36,2021-2022
Mathías Olivera,17,uy URU,LB,24-192,90,39,1,10,17,12,2,39,2,1,50.0,1,50.0,15,114,21,1,1,1,1,5,18,2,36,2021-2022
Jorge Cuenca,15,es ESP,CB,22-175,90,35,4,16,19,0,0,35,0,0,,0,,14,36,13,0,0,0,1,0,17,0,36,2021-2022
Stefan Mitrović,23,rs SRB,CB,31-354,88,30,5,17,13,0,0,30,0,0,,0,,9,43,4,0,0,0,0,0,9,0,36,2021-2022
Djené,2,tg TOG,CB,30-131,90,32,4,18,14,0,0,32,0,0,,0,,14,49,6,0,0,0,1,0,12,0,36,2021-2022
Iglesias,21,es ESP,RB,23-312,89,39,1,9,22,8,1,39,0,0,,0,,12,54,22,0,0,0,1,1,11,1,36,2021-2022
   Damián Suárez,22,uy URU,RB,34-014,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,36,2021-2022
David Soria,13,es ESP,GK,29-037,90,39,32,38,1,0,0,39,0,0,,0,,16,125,83,0,0,0,0,0,9,0,36,2021-2022
Joselu,9,es ESP,FW,32-045,90,41,0,0,17,24,6,41,1,0,0.0,1,100.0,15,41,23,1,1,1,2,1,35,4,36,2021-2022
Luis Rioja,11,es ESP,LW,28-207,89,43,0,2,11,30,7,43,4,2,50.0,2,50.0,26,245,149,5,5,3,1,1,27,5,36,2021-2022
   Pere Pons,20,es ESP,LW,29-080,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,36,2021-2022
Jason,25,es ESP,RW,27-309,82,53,0,0,12,42,2,53,4,2,50.0,2,50.0,14,104,20,1,2,1,1,0,22,7,36,2021-2022
   Martin Agirregabiria,21,es ESP,RW,26-001,8,5,0,1,1,3,2,5,0,0,,0,,2,2,1,0,0,0,1,0,1,0,36,2021-2022
Miguel,24,es ESP,AM,22-250,75,23,0,0,8,15,5,23,2,1,50.0,1,50.0,15,71,34,1,0,0,3,1,17,8,36,2021-2022
   Marc Tenas,40,es ESP,AM,20-346,15,5,0,0,3,3,0,5,0,0,,0,,4,61,42,0,2,0,1,1,5,1,36,2021-2022
Mamadou N'Diaye,6,,DM,25-132,90,,,,,,,,,,,,,,,,,,,,,,,36,2021-2022
Gonzalo Escalante,16,ar ARG,DM,29-045,82,25,1,1,13,12,4,25,0,0,,0,,8,40,30,1,1,0,2,0,15,2,36,2021-2022
   Tomás Pina Isla,8,es ESP,DM,34-209,8,4,0,0,4,0,0,4,0,0,,0,,0,0,0,0,0,0,0,0,3,0,36,2021-2022
Rubén Duarte,3,es ESP,LB,26-205,90,62,1,20,24,20,2,62,2,2,100.0,0,0.0,16,98,58,1,0,0,0,0,22,3,36,2021-2022
Florian Lejeune,22,fr FRA,CB,30-356,90,51,6,21,23,7,3,51,0,0,,0,,23,54,16,0,0,0,0,0,29,1,36,2021-2022
Víctor Laguardia,5,es ESP,CB,32-187,90,47,3,23,23,1,1,47,0,0,,0,,22,49,13,0,0,0,0,0,31,0,36,2021-2022
Nahuel Tenaglia,2,ar ARG,RB,26-079,90,53,4,12,24,17,0,53,2,1,50.0,1,50.0,23,129,70,3,1,0,2,2,22,4,36,2021-2022
Fernando Pacheco,1,es ESP,GK,29-358,90,19,16,19,0,0,0,19,0,0,,0,,12,71,54,0,0,0,0,0,8,0,36,2021-2022
