player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Borja Iglesias,9,es ESP,FW,28-215,68,19,0,1,4,14,2,19,2,0,0.0,2,100.0,9,31,9,0,0,0,1,0,13,5,2,2021-2022
   William Carvalho,14,pt POR,DM,29-135,22,36,0,2,28,6,0,36,0,0,,0,,23,119,80,2,0,0,0,0,28,0,2,2021-2022
Juanmi,7,es ESP,"LW,FW",28-092,86,34,0,0,16,18,3,34,3,3,100.0,0,0.0,23,109,42,2,1,1,4,0,24,7,2,2021-2022
   Loren Morón,16,es ESP,FW,27-233,4,3,0,1,2,0,0,3,0,0,,0,,1,2,0,0,0,0,1,0,1,0,2,2021-2022
Rodri,28,es ESP,RW,21-096,68,60,0,5,24,31,3,60,7,5,71.4,2,28.6,45,283,156,5,0,2,2,0,49,11,2,2021-2022
   Aitor Ruibal,24,es ESP,RB,25-151,22,14,1,4,10,1,0,14,0,0,,0,,10,41,39,0,0,0,0,0,8,0,2,2021-2022
Nabil Fekir,8,fr FRA,"AM,LW",28-033,90,77,0,2,21,54,10,77,14,7,50.0,7,50.0,50,393,177,9,6,5,1,2,58,14,2,2021-2022
Sergio Canales,10,es ESP,"DM,AM",30-185,90,113,2,11,65,39,6,113,5,2,40.0,3,60.0,87,520,354,6,5,1,1,4,99,9,2,2021-2022
Andrés Guardado,18,mx MEX,DM,34-326,81,86,2,7,71,10,0,86,0,0,,0,,73,411,329,3,4,0,0,0,77,0,2,2021-2022
   Cristian Tello,11,es ESP,DM,30-009,9,9,0,0,5,4,1,9,0,0,,0,,7,27,12,0,0,0,0,0,8,3,2,2021-2022
Juan Miranda,33,es ESP,LB,21-213,90,71,3,12,26,33,1,71,1,0,0.0,1,100.0,47,190,107,2,2,0,0,0,50,15,2,2021-2022
Víctor Ruiz,6,es ESP,CB,32-207,90,89,8,26,60,3,1,89,0,0,,0,,57,313,217,0,0,0,2,0,60,0,2,2021-2022
Édgar González,3,es ESP,CB,24-141,90,92,6,37,50,5,2,92,0,0,,0,,63,238,149,0,0,0,0,0,67,0,2,2021-2022
Martín Montoya,2,es ESP,RB,30-128,68,67,1,7,35,25,4,67,0,0,,0,,37,89,28,0,1,0,0,0,46,12,2,2021-2022
   Joaquín,17,es ESP,RW,40-030,22,14,1,1,4,10,1,14,2,0,0.0,2,100.0,9,48,29,0,1,0,0,0,10,1,2,2021-2022
Rui Silva,13,pt POR,GK,27-194,90,26,20,25,1,0,0,26,0,0,,0,,13,62,54,0,0,0,0,0,9,0,2,2021-2022
Anthony Lozano,9,hn HON,"FW,LW",28-117,75,25,1,5,11,11,1,25,2,1,50.0,1,50.0,17,219,120,4,3,0,3,3,17,5,2,2021-2022
   Álvaro Jiménez,11,es ESP,"RW,LW",26-093,15,7,0,0,1,6,0,7,1,1,100.0,0,0.0,8,61,25,2,0,0,1,0,8,0,2,2021-2022
Álvaro Negredo,18,es ESP,FW,36-000,68,23,1,3,11,9,3,22,2,2,100.0,0,0.0,9,68,28,1,1,0,2,1,14,2,2,2021-2022
   Milutin Osmajić,29,me MNE,FW,22-026,22,7,0,0,3,4,2,7,1,0,0.0,1,100.0,3,4,1,0,0,0,0,0,5,1,2,2021-2022
Alberto Perea,10,es ESP,LM,30-244,45,19,0,8,6,6,0,19,2,0,0.0,2,100.0,13,79,43,0,0,0,0,1,10,1,2,2021-2022
   Isaac Carcelen,20,es ESP,CM,28-119,45,18,1,4,6,8,3,18,0,0,,0,,12,68,20,0,1,1,1,1,10,1,2,2021-2022
Jens Jønsson,2,dk DEN,CM,28-222,45,11,1,5,2,4,0,11,0,0,,0,,4,21,2,0,0,0,1,0,4,0,2,2021-2022
   Álex Fernández,8,es ESP,CM,28-309,45,24,1,6,10,8,1,24,0,0,,0,,13,64,12,0,0,0,0,0,16,1,2,2021-2022
Tomás Alarcón,12,cl CHI,CM,22-213,87,31,5,15,13,3,2,31,0,0,,0,,10,43,33,0,0,0,0,0,9,1,2,2021-2022
   Martín,28,es ESP,CM,22-172,3,5,0,0,4,1,0,5,0,0,,0,,0,0,0,0,0,0,0,0,0,0,2,2021-2022
Salvi,7,es ESP,"RM,RW,LW",30-143,90,32,0,10,10,13,2,32,3,2,66.7,1,33.3,12,44,22,0,0,0,2,0,15,1,2,2021-2022
Alfonso Espino,22,uy URU,LB,29-227,90,58,5,31,14,15,1,58,3,1,33.3,2,66.7,24,130,106,2,2,2,1,0,17,2,2,2021-2022
Fali,3,es ESP,CB,28-008,90,22,12,20,1,1,1,22,0,0,,0,,7,27,11,0,0,0,0,0,5,0,2,2021-2022
Varazdat Haroyan,5,am ARM,CB,28-361,90,19,5,13,5,1,1,19,0,0,,0,,5,26,2,0,0,0,0,1,6,0,2,2021-2022
Carlos Akapo,15,gq EQG,RB,28-161,90,41,7,17,11,13,0,41,0,0,,0,,15,87,52,3,1,0,1,0,13,2,2,2021-2022
