player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Sergi Guardiola,16,es ESP,FW,30-141,61,0,0,0,0,1,0,0,0,22,0,1,2,0.0,0.0,0.0,1,1,9,12,75.0,1,14,1,0,0,9,2021-2022
   Randy Ntekja,9,fr FRA,FW,23-315,29,1,0,0,0,1,1,0,0,13,0,0,0,0.1,0.1,0.0,1,0,6,9,66.7,0,8,0,1,0,9,2021-2022
Óscar Trejo,8,ar ARG,FW,33-174,72,0,1,0,0,0,0,0,0,52,1,0,1,0.0,0.0,0.1,3,0,31,41,75.6,9,32,3,4,0,9,2021-2022
   Unai López,12,es ESP,FW,25-352,18,0,0,0,0,1,0,1,0,7,0,0,0,0.0,0.0,0.1,1,0,1,5,20.0,0,4,0,0,0,9,2021-2022
Álvaro García,18,es ESP,LM,28-355,90,0,0,0,0,1,0,1,0,44,1,1,0,0.0,0.0,0.1,3,0,22,38,57.9,4,27,5,2,1,9,2021-2022
Santi Comesaña,6,es ESP,CM,25-012,83,0,1,0,0,0,0,0,0,70,1,1,1,0.0,0.0,0.2,2,1,45,61,73.8,15,51,3,2,2,9,2021-2022
   Pathé Ciss,21,sn SEN,CM,27-215,7,0,0,0,0,0,0,0,0,9,0,1,1,0.0,0.0,0.0,0,0,4,6,66.7,1,1,0,0,0,9,2021-2022
Óscar Valentín,23,es ESP,CM,27-058,90,0,0,0,0,2,0,0,0,50,4,2,1,0.7,0.7,0.0,2,0,29,35,82.9,4,31,0,1,1,9,2021-2022
Isaac Palazón Camacho,7,es ESP,RM,26-294,90,0,0,0,0,1,0,0,0,46,1,1,2,0.0,0.0,0.7,1,0,17,31,54.8,5,29,2,5,2,9,2021-2022
Fran Garcia,33,es ESP,"LB,RB",22-064,90,0,0,0,0,1,1,0,0,62,3,1,0,0.0,0.0,0.0,1,0,40,52,76.9,4,32,8,0,0,9,2021-2022
Catena,5,es ESP,CB,26-354,90,0,0,0,0,0,0,0,0,56,0,2,0,0.0,0.0,0.0,0,0,41,50,82.0,1,45,0,0,0,9,2021-2022
Esteban Saveljich,24,me MNE,CB,30-150,82,0,0,0,0,1,1,0,0,33,1,0,1,0.1,0.1,0.0,0,0,19,23,82.6,0,16,0,0,0,9,2021-2022
   Nikola Maraš,2,rs SRB,CB,25-302,8,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,0,0,0,0,9,2021-2022
Mario Hernández,32,es ESP,RB,22-265,73,1,0,0,0,1,1,0,0,40,0,1,0,0.2,0.2,0.0,0,0,23,35,65.7,5,19,0,2,1,9,2021-2022
   Kévin Rodrigues,19,pt POR,LB,27-226,17,0,0,0,0,0,0,0,0,9,2,1,1,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,1,1,9,2021-2022
Stole Dimitrievski,13,mk MKD,GK,27-296,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,15,24,62.5,0,16,0,0,0,9,2021-2022
Darío Benedetto,18,ar ARG,FW,31-153,64,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,2,1,8,11,72.7,0,9,0,1,1,9,2021-2022
   Raúl Guti,8,es ESP,CM,24-291,26,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,13,15,86.7,3,11,0,0,0,9,2021-2022
Lucas Boyé,9,ar ARG,FW,25-231,90,1,0,0,0,3,2,0,0,37,1,0,0,0.1,0.1,0.0,3,1,12,17,70.6,2,30,0,11,9,9,2021-2022
Fidel,16,es ESP,LM,31-355,78,0,0,0,0,1,0,0,0,41,2,0,0,0.1,0.1,0.0,2,0,22,31,71.0,4,23,1,2,2,9,2021-2022
   Guido Carrillo,7,ar ARG,FW,30-145,12,0,0,0,0,1,1,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0,9,2021-2022
Gerard Gumbau,2,es ESP,CM,26-303,64,0,0,0,0,0,0,1,0,34,2,0,0,0.0,0.0,0.0,0,0,25,30,83.3,4,21,0,0,0,9,2021-2022
   Josan,17,es ESP,RM,31-318,26,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.2,2,0,6,9,66.7,0,10,2,2,1,9,2021-2022
Omar Mascarell,21,es ESP,CM,28-257,90,0,0,0,0,1,0,0,0,52,1,3,2,0.0,0.0,0.1,1,0,34,41,82.9,3,20,2,1,1,9,2021-2022
Pablo Piatti,20,ar ARG,RM,32-200,64,0,0,0,0,0,0,0,0,26,3,0,1,0.0,0.0,0.0,0,0,11,17,64.7,0,12,0,2,1,9,2021-2022
   Lucas Pérez,12,es ESP,"LM,FW",33-037,26,0,0,0,0,1,0,0,0,11,0,0,0,0.2,0.2,0.1,3,0,6,9,66.7,0,4,1,0,0,9,2021-2022
Josema,24,es ESP,LB,25-133,77,0,0,0,0,0,0,0,0,56,2,0,0,0.0,0.0,0.0,0,0,29,45,64.4,1,20,0,0,0,9,2021-2022
   Johan Mojica,22,co COL,LB,29-057,13,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,1,0,7,15,46.7,0,8,0,1,0,9,2021-2022
Pedro Bigas,6,es ESP,CB,31-032,90,0,0,0,0,0,0,0,0,53,1,1,0,0.0,0.0,0.0,0,0,35,42,83.3,0,25,0,0,0,9,2021-2022
Gonzalo Verdú,5,es ESP,CB,32-361,90,0,0,0,0,0,0,0,0,44,1,3,1,0.0,0.0,0.0,0,0,26,34,76.5,2,25,0,0,0,9,2021-2022
Helibelton Palacios,14,co COL,RB,28-128,90,0,0,0,0,0,0,0,0,41,0,1,1,0.0,0.0,0.0,0,0,17,31,54.8,5,16,4,1,1,9,2021-2022
Kiko Casilla,1,es ESP,GK,35-015,90,0,0,0,0,0,0,1,0,41,0,0,0,0.0,0.0,0.0,0,0,22,39,56.4,0,20,0,0,0,9,2021-2022
Santi Mina,22,es ESP,"FW,RM",25-314,90,0,0,0,0,3,0,0,0,29,2,0,2,0.7,0.7,0.0,2,0,11,18,61.1,1,16,0,1,1,9,2021-2022
Iago Aspas,10,es ESP,FW,34-077,90,0,0,0,0,1,1,1,0,37,0,0,0,0.1,0.1,0.8,5,0,20,31,64.5,4,25,4,0,0,9,2021-2022
Nolito,9,es ESP,LM,35-002,72,0,0,0,0,2,0,0,0,34,3,0,1,0.1,0.1,0.0,2,0,19,25,76.0,5,17,0,2,1,9,2021-2022
   Franco Cervi,11,ar ARG,LM,27-144,18,0,0,0,0,1,1,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,9,2021-2022
Denis Suárez,6,es ESP,"CM,DM",27-284,90,0,0,0,0,2,1,0,0,60,2,0,0,0.2,0.2,0.0,2,0,40,53,75.5,7,38,7,3,3,9,2021-2022
Brais Méndez,23,es ESP,"RM,CM",24-283,90,0,0,0,0,2,0,1,0,43,1,1,2,0.1,0.1,0.0,1,0,19,30,63.3,4,31,2,2,2,9,2021-2022
Fran Beltrán,8,es ESP,DM,22-256,80,0,0,0,0,0,0,0,0,57,3,0,1,0.0,0.0,0.0,2,0,46,50,92.0,4,38,1,0,0,9,2021-2022
   Thiago Galhardo,7,br BRA,FW,32-089,10,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.1,1,0,3,3,100.0,0,2,0,0,0,9,2021-2022
Javi Galán,17,es ESP,LB,26-332,90,0,0,0,0,1,0,0,0,56,0,2,2,0.0,0.0,0.0,2,0,37,45,82.2,0,26,2,1,1,9,2021-2022
Jeison Murillo,24,co COL,CB,29-143,90,0,0,0,0,1,0,0,0,58,1,1,1,0.0,0.0,0.0,2,0,43,49,87.8,4,41,0,0,0,9,2021-2022
Joseph Aidoo,15,gh GHA,CB,26-018,90,0,0,0,0,1,0,0,0,62,1,2,0,0.0,0.0,0.0,0,0,42,53,79.2,3,34,0,0,0,9,2021-2022
Hugo Mallo,2,es ESP,RB,30-117,90,0,0,0,0,0,0,0,0,66,2,0,1,0.0,0.0,0.0,3,0,42,59,71.2,2,27,1,1,0,9,2021-2022
Matías Dituro,1,ar ARG,GK,34-162,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,25,39,64.1,0,25,0,0,0,9,2021-2022
Rafa Mir,12,es ESP,FW,24-121,65,1,0,0,0,3,1,0,0,18,0,0,0,0.9,0.9,0.0,2,0,6,13,46.2,0,6,0,0,0,9,2021-2022
   Érik Lamela,17,ar ARG,FW,29-227,25,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,5,5,100.0,1,6,0,1,0,9,2021-2022
Óliver Torres,21,es ESP,LW,26-341,52,0,0,0,0,0,0,0,0,36,1,2,0,0.0,0.0,0.0,0,0,15,26,57.7,1,17,0,1,0,9,2021-2022
   Thomas Delaney,18,dk DEN,LM,30-044,38,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,16,20,80.0,2,11,0,1,1,9,2021-2022
Lucas Ocampos,5,ar ARG,"RW,LW",27-098,72,0,0,0,0,1,0,0,0,29,0,0,1,0.1,0.1,0.0,0,0,14,15,93.3,1,16,0,2,0,9,2021-2022
   Marcos Acuña,19,ar ARG,LW,29-354,18,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,6,10,60.0,0,3,0,0,0,9,2021-2022
Ivan Rakitić,10,hr CRO,LM,33-221,52,0,0,0,0,1,1,1,0,45,0,1,1,0.0,0.0,0.0,1,0,34,41,82.9,4,23,0,0,0,9,2021-2022
   Suso,7,es ESP,RW,27-332,38,0,0,0,0,1,0,0,0,22,0,0,1,0.0,0.0,0.0,2,1,16,20,80.0,1,15,1,2,2,9,2021-2022
Nemanja Gudelj,6,rs SRB,CM,29-335,90,0,0,0,0,0,0,0,0,55,0,1,2,0.0,0.0,0.0,0,0,45,47,95.7,1,24,0,0,0,9,2021-2022
Joan Jordán,8,es ESP,RM,27-103,72,0,0,0,0,0,0,1,0,57,3,1,2,0.0,0.0,0.1,3,0,37,46,80.4,2,28,2,4,1,9,2021-2022
   Óscar Rodríguez Arnaiz,14,es ESP,RM,23-111,18,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,6,2,1,1,9,2021-2022
Ludwig Augustinsson,3,se SWE,LB,27-179,90,0,0,0,0,0,0,0,0,57,3,1,1,0.0,0.0,0.0,0,0,42,47,89.4,1,25,1,0,0,9,2021-2022
Karim Rekik,4,nl NED,CB,26-319,90,0,0,0,0,1,0,0,0,57,2,1,3,0.0,0.0,0.0,0,0,34,46,73.9,0,24,0,0,0,9,2021-2022
Fernando,25,br BRA,CB,34-084,90,0,0,0,0,0,0,0,0,71,0,1,1,0.0,0.0,0.0,1,0,64,66,97.0,3,37,1,1,1,9,2021-2022
Jesús Navas,16,es ESP,RB,35-330,90,0,0,0,0,0,0,1,0,68,0,2,0,0.0,0.0,0.0,3,0,47,66,71.2,5,38,2,0,0,9,2021-2022
Yassine Bounou,13,ma MAR,GK,30-195,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0,0,40,53,75.5,0,30,0,0,0,9,2021-2022
Gerard Moreno,7,es ESP,FW,29-193,90,1,0,0,0,2,2,0,0,47,0,2,0,0.1,0.1,0.2,5,0,29,35,82.9,5,31,1,1,1,9,2021-2022
Arnaut Danjuma,15,nl NED,LW,24-259,77,0,0,0,0,1,0,0,0,46,0,0,0,0.0,0.0,0.0,3,0,31,38,81.6,4,35,4,5,2,9,2021-2022
   Samuel Chukwueze,11,ng NGA,RM,22-148,13,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,2,0,1,2,50.0,1,2,1,1,1,9,2021-2022
Yeremi Pino,21,es ESP,RW,18-362,77,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,25,32,78.1,0,27,0,3,1,9,2021-2022
   Moi Gómez,23,es ESP,LM,27-116,13,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,7,7,100.0,1,5,1,0,0,9,2021-2022
Manu Trigueros,14,es ESP,LM,30-000,77,0,0,0,0,2,1,0,0,61,0,0,2,0.0,0.0,0.0,2,0,36,51,70.6,12,42,1,0,0,9,2021-2022
   Paco Alcácer,9,es ESP,FW,28-048,13,0,0,0,0,1,1,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0,9,2021-2022
Étienne Capoue,6,fr FRA,CM,33-098,45,0,0,0,0,0,0,1,0,24,1,1,0,0.0,0.0,0.0,0,0,14,17,82.4,1,14,0,1,1,9,2021-2022
   Francis Coquelin,19,fr FRA,CM,30-157,45,0,0,0,0,0,0,0,0,44,2,3,0,0.0,0.0,0.0,1,0,31,36,86.1,4,25,0,1,1,9,2021-2022
Daniel Parejo,5,es ESP,"RM,CM",32-184,90,0,0,0,0,1,1,0,0,92,0,1,1,0.1,0.1,0.1,2,0,70,85,82.4,11,59,1,1,1,9,2021-2022
Alberto Moreno,18,es ESP,LB,29-104,45,0,0,0,0,1,0,0,0,57,0,1,0,0.0,0.0,0.0,0,0,50,52,96.2,5,38,8,1,1,9,2021-2022
   Alfonso Pedraza,24,es ESP,LB,25-191,45,0,1,0,0,2,1,0,0,56,0,0,1,0.0,0.0,0.1,1,1,38,47,80.9,2,38,4,0,0,9,2021-2022
Pau Torres,4,es ESP,CB,24-274,90,0,0,0,0,1,0,0,0,98,0,3,0,0.1,0.1,0.0,2,1,82,90,91.1,8,74,4,1,1,9,2021-2022
Aïssa Mandi,22,dz ALG,CB,29-360,90,0,0,0,0,0,0,0,0,97,1,1,0,0.0,0.0,0.0,0,0,83,90,92.2,2,68,1,0,0,9,2021-2022
Juan Foyth,8,ar ARG,RB,23-278,90,0,0,0,0,0,0,0,0,79,2,0,4,0.0,0.0,0.0,1,0,60,71,84.5,9,45,3,2,1,9,2021-2022
Gerónimo Rulli,13,ar ARG,GK,29-150,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,30,33,90.9,0,25,0,0,0,9,2021-2022
Rubén García,14,es ESP,FW,28-095,68,0,0,0,0,0,0,0,0,29,2,1,1,0.0,0.0,0.0,1,0,13,21,61.9,1,12,0,1,1,9,2021-2022
   Javi Martínez,28,es ESP,FW,21-299,22,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.1,1,0,6,9,66.7,0,6,0,1,0,9,2021-2022
Kiké,18,es ESP,FW,31-326,81,0,0,0,0,2,0,0,0,31,0,0,0,0.1,0.1,0.0,1,0,12,17,70.6,4,18,1,1,1,9,2021-2022
   Ezequiel Ávila,9,ar ARG,FW,27-253,9,1,0,0,0,1,1,1,0,3,0,0,1,0.2,0.2,0.0,0,0,1,1,100.0,0,1,1,0,0,9,2021-2022
Darko Brašanac,8,rs SRB,CM,29-247,90,0,0,0,0,0,0,0,0,21,1,2,2,0.0,0.0,0.0,0,0,8,16,50.0,1,11,2,1,0,9,2021-2022
Lucas Torró,24,es ESP,CM,27-090,90,1,0,0,0,2,1,1,0,31,4,2,0,0.2,0.2,0.0,0,0,12,22,54.5,1,13,0,1,1,9,2021-2022
Jon Moncayola,7,es ESP,CM,23-157,88,0,0,0,0,0,0,0,0,43,3,1,3,0.0,0.0,0.1,1,0,24,32,75.0,2,16,0,0,0,9,2021-2022
   Oier Sanjurjo,6,es ESP,CM,35-145,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,9,2021-2022
Manu Sánchez,39,es ESP,LB,21-054,90,0,1,0,0,0,0,0,0,24,0,1,0,0.0,0.0,0.1,1,1,13,20,65.0,3,11,0,1,0,9,2021-2022
Juan Cruz Armada,3,es ESP,CB,29-081,90,0,0,0,0,1,0,0,0,26,0,2,0,0.1,0.1,0.0,1,0,13,17,76.5,3,12,0,1,1,9,2021-2022
David García,5,es ESP,CB,27-245,90,0,0,0,0,0,0,1,0,31,1,1,0,0.0,0.0,0.0,0,0,11,20,55.0,1,13,0,0,0,9,2021-2022
Unai García,4,es ESP,CB,29-256,90,0,0,0,0,0,0,1,0,29,2,4,0,0.0,0.0,0.0,0,0,11,18,61.1,1,15,1,0,0,9,2021-2022
Nacho Vidal,2,es ESP,RB,26-266,90,0,0,0,0,0,0,0,0,58,1,4,1,0.0,0.0,0.0,1,1,26,41,63.4,1,20,1,2,2,9,2021-2022
Sergio Herrera,1,es ESP,GK,28-134,90,0,0,0,0,0,0,1,0,38,0,0,0,0.0,0.0,0.0,0,0,13,35,37.1,0,17,0,1,1,9,2021-2022
Memphis,9,nl NED,"FW,LW",27-246,90,1,1,1,1,2,0,0,0,54,0,0,0,0.9,0.1,0.2,6,1,32,44,72.7,4,26,3,8,6,9,2021-2022
Ansu Fati,10,es ESP,LW,18-351,58,1,0,0,0,3,2,0,0,44,0,1,1,0.2,0.2,0.0,2,2,21,30,70.0,2,21,3,2,0,9,2021-2022
   Philippe Coutinho,14,br BRA,"LW,RW",29-127,32,1,0,0,0,3,1,0,0,29,0,1,0,0.6,0.6,0.3,2,0,17,22,77.3,4,21,2,0,0,9,2021-2022
Sergiño Dest,2,us USA,RW,20-348,86,0,1,0,0,0,0,0,0,45,1,0,3,0.0,0.0,0.4,4,1,31,36,86.1,5,27,2,5,4,9,2021-2022
   Sergio Agüero,19,ar ARG,FW,33-137,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,1,2,1,0,0,9,2021-2022
Gavi,30,es ESP,LM,17-073,70,0,0,0,0,0,0,1,0,37,0,0,1,0.0,0.0,0.0,1,0,32,35,91.4,6,25,2,0,0,9,2021-2022
   Nicolás González,28,es ESP,LM,19-287,20,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,9,9,100.0,0,5,1,0,0,9,2021-2022
Sergio Busquets,5,es ESP,CM,33-093,90,0,0,0,0,0,0,1,0,70,3,1,0,0.0,0.0,0.0,2,0,58,62,93.5,10,34,0,2,2,9,2021-2022
Frenkie de Jong,21,nl NED,RM,24-158,90,0,0,0,0,1,1,0,0,57,1,0,0,0.3,0.3,0.0,2,0,42,47,89.4,4,34,6,4,4,9,2021-2022
Jordi Alba,18,es ESP,LB,32-210,90,0,0,0,0,2,0,0,0,108,2,1,0,0.1,0.1,0.1,3,1,76,90,84.4,13,45,0,3,0,9,2021-2022
Eric García,24,es ESP,CB,20-281,90,0,0,0,0,0,0,0,0,63,0,2,1,0.0,0.0,0.0,0,0,55,59,93.2,2,42,0,0,0,9,2021-2022
