Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Álex Remiro,es ESP,28-211,90,6,0,6,100.0,1.1,7,18,38.9,30,3,50.0,41.1,3,100.0,65.0,17,2,11.8,0,6.4,10,2023-2024
Predrag Rajković,rs SRB,27-355,90,6,1,5,83.3,3.1,9,26,34.6,30,3,63.3,45.9,10,70.0,53.5,9,1,11.1,1,9.2,10,2023-2024
David Soria,es ESP,30-200,90,3,1,2,66.7,1.1,8,28,28.6,32,10,53.1,39.4,14,78.6,51.6,11,2,18.2,0,11.0,10,2023-2024
Claudio Bravo,cl CHI,40-191,90,3,1,2,66.7,1.3,5,12,41.7,30,5,33.3,31.5,6,33.3,39.8,15,3,20.0,1,12.0,10,2023-2024
Ørjan Nyland,no NOR,33-041,90,4,1,3,75.0,0.9,1,3,33.3,19,4,10.5,22.1,9,11.1,18.9,13,0,0.0,0,9.0,10,2023-2024
Kepa Arrizabalaga,es ESP,29-018,90,6,1,6,83.3,1.1,0,3,0.0,40,7,7.5,24.9,8,0.0,19.9,20,0,0.0,2,19.3,10,2023-2024
Iván Villar,es ESP,26-104,24,1,,1,,0.3,1,2,50.0,5,1,20.0,33.4,1,100.0,50.0,4,2,50.0,,7.7,10,2023-2024
Vicente Guaita,es ESP,36-284,63,6,3,3,66.7,2.5,3,4,75.0,13,4,30.8,32.6,3,0.0,30.7,6,1,16.7,0,5.0,10,2023-2024
Jan Oblak,si SVN,30-287,90,3,0,3,100.0,0.9,4,8,50.0,14,2,28.6,31.4,10,40.0,34.9,24,1,4.2,0,9.0,10,2023-2024
Álvaro Vallés,es ESP,26-089,90,4,1,3,100.0,1.2,6,11,54.5,55,5,18.2,25.2,6,16.7,29.3,12,1,8.3,3,16.6,10,2023-2024
Stole Dimitrievski,mk MKD,29-301,90,6,0,5,100.0,2.1,5,15,33.3,30,3,46.7,37.7,2,50.0,41.0,19,0,0.0,1,12.0,10,2023-2024
Paulo Gazzaniga,ar ARG,31-293,90,5,2,3,60.0,1.2,2,8,25.0,27,1,18.5,27.6,5,60.0,43.0,11,0,0.0,0,9.0,10,2023-2024
Fernando,es ESP,33-134,90,8,5,3,37.5,3.4,8,21,38.1,30,5,53.3,39.8,10,50.0,41.1,20,2,10.0,3,18.3,10,2023-2024
Filip Jørgensen,dk DEN,21-189,90,7,1,6,85.7,1.8,3,7,42.9,40,9,10.0,24.5,10,30.0,34.1,13,4,30.8,1,12.2,10,2023-2024
Antonio Sivera,es ESP,27-072,90,3,1,2,100.0,1.1,6,27,22.2,27,2,85.2,56.6,4,100.0,58.3,27,1,3.7,0,2.5,10,2023-2024
Marc-André ter Stegen,de GER,31-175,90,3,0,3,100.0,0.3,6,11,54.5,41,4,24.4,28.6,8,12.5,20.8,16,2,12.5,1,12.2,10,2023-2024
Unai Simón,es ESP,26-133,90,7,1,6,85.7,1.6,6,23,26.1,27,2,55.6,42.3,8,100.0,68.6,11,1,9.1,2,16.7,10,2023-2024
Giorgi Mamardashvili,ge GEO,23-024,90,4,0,4,100.0,1.4,4,9,44.4,21,8,33.3,31.4,4,50.0,45.3,18,2,11.1,0,10.0,10,2023-2024
Jeremías Ledesma,ar ARG,30-252,90,4,2,2,50.0,1.9,16,30,53.3,35,4,62.9,44.0,9,88.9,60.8,12,2,16.7,2,12.5,10,2023-2024
Paulo Gazzaniga,ar ARG,31-298,90,2,0,2,100.0,0.1,2,6,33.3,30,6,20.0,26.9,2,0.0,14.5,9,2,22.2,1,15.0,11,2023-2024
Vicente Guaita,es ESP,36-290,90,2,1,1,50.0,0.3,8,21,38.1,23,7,56.5,46.0,8,100.0,65.1,25,3,12.0,0,7.3,11,2023-2024
