player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Óscar Trejo,8,ar ARG,FW,35-199,58,3,3,2,1,0,1,1,100.0,0,0,0,0,2,5,0,0,13,2023-2024
   Randy Ntekja,11,fr FRA,FW,25-340,32,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,13,2023-2024
Sergio Camello,34,es ESP,FW,22-274,66,2,0,0,1,1,0,0,,0,0,0,0,0,2,0,0,13,2023-2024
   Radamel Falcao,9,co COL,FW,37-274,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2023-2024
Álvaro García,18,es ESP,LM,31-015,77,1,1,0,0,1,0,2,0.0,2,0,0,0,0,1,0,0,13,2023-2024
   Bebé,10,cv CPV,LM,33-122,13,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,13,2023-2024
Unai López,17,es ESP,CM,28-012,66,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,13,2023-2024
   Kike Pérez,14,es ESP,CM,26-270,24,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,13,2023-2024
Óscar Valentín,23,es ESP,CM,29-083,90,5,3,3,2,0,1,4,25.0,3,1,0,1,2,7,1,0,13,2023-2024
Isaac Palazón Camacho,7,es ESP,RM,28-319,90,5,2,2,2,1,1,2,50.0,1,1,0,1,0,5,1,0,13,2023-2024
Alfonso Espino,12,uy URU,LB,31-310,90,3,1,2,1,0,0,1,0.0,1,1,0,1,1,4,3,0,13,2023-2024
Florian Lejeune,24,fr FRA,CB,32-175,90,1,0,1,0,0,0,0,,0,1,1,0,0,1,1,0,13,2023-2024
Abdul Mumin,16,gh GHA,CB,25-158,90,2,0,2,0,0,1,1,100.0,0,5,5,0,1,3,6,0,13,2023-2024
Andrei Ratiu,2,ro ROU,RB,25-144,77,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,13,2023-2024
   Jorge de Frutos,19,es ESP,RB,26-264,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,13,2023-2024
Stole Dimitrievski,1,mk MKD,GK,29-321,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,13,2023-2024
Artem Dovbyk,9,ua UKR,FW,26-143,77,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,13,2023-2024
   Cristhian Stuani,7,uy URU,FW,37-030,13,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,13,2023-2024
Sávio,16,br BRA,AM,19-215,83,0,0,0,0,0,0,0,,0,3,0,3,1,1,0,1,13,2023-2024
   Portu,24,es ESP,AM,31-174,7,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,13,2023-2024
Yangel Herrera,21,ve VEN,"AM,CM",25-301,90,5,4,1,3,1,3,5,60.0,2,2,0,2,1,6,5,0,13,2023-2024
Aleix García,14,es ESP,CM,26-136,90,3,2,1,2,0,1,2,50.0,1,0,0,0,3,6,5,0,13,2023-2024
Iván Martín,23,es ESP,CM,24-270,84,3,3,0,3,0,3,4,75.0,1,0,0,0,0,3,1,0,13,2023-2024
   Valery Fernández,11,es ESP,"AM,CM",23-353,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2023-2024
Miguel Gutiérrez,3,es ESP,WB,22-107,90,1,1,1,0,0,1,2,50.0,1,1,1,0,0,1,3,0,13,2023-2024
Viktor Tsyhankov,8,ua UKR,WB,25-361,77,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2023-2024
   Yan Couto,20,br BRA,"WB,AM",21-161,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2023-2024
Daley Blind,17,nl NED,CB,33-247,90,5,1,3,2,0,2,2,100.0,0,1,0,1,0,5,5,0,13,2023-2024
Eric García,25,es ESP,CB,22-306,90,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,6,1,13,2023-2024
Arnau Martinez,4,es ESP,CB,20-200,90,1,1,1,0,0,1,3,33.3,2,1,1,0,1,2,3,1,13,2023-2024
Paulo Gazzaniga,13,ar ARG,GK,31-313,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2023-2024
Léo Baptistão,12,br BRA,FW,31-077,90,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,1,0,13,2023-2024
Largie Ramazani,7,be BEL,LW,22-257,90,2,0,0,2,0,0,0,,0,2,0,2,0,2,0,0,13,2023-2024
Adri Embarba,10,es ESP,RW,31-188,71,2,1,2,0,0,1,2,50.0,1,1,0,1,0,2,1,0,13,2023-2024
   Lázaro,14,br BRA,RW,21-244,19,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0,13,2023-2024
Sergio Arribas,19,es ESP,AM,22-042,86,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,13,2023-2024
   Iddrisu Baba,4,gh GHA,AM,27-293,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2023-2024
Lucas Robertone,5,ar ARG,DM,26-238,70,3,2,0,3,0,3,4,75.0,1,2,0,2,1,4,2,0,13,2023-2024
   Gonzalo Melero,11,es ESP,DM,29-313,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,13,2023-2024
Dion Lopy,6,sn SEN,DM,21-282,89,5,1,2,3,0,1,2,50.0,1,2,0,2,1,6,0,0,13,2023-2024
   Marciano Sanca,34,gw GNB,DM,19-253,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2023-2024
Sergio Akieme,15,es ESP,LB,25-330,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,13,2023-2024
Édgar González,3,es ESP,CB,26-224,90,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,7,0,13,2023-2024
Juan Brandáriz,21,es ESP,CB,24-254,90,0,0,0,0,0,0,0,,0,2,2,0,0,0,3,0,13,2023-2024
Houboulang Mendes,24,gw GNB,RB,25-191,90,6,5,3,3,0,3,7,42.9,4,1,1,0,0,6,3,0,13,2023-2024
Luís Maximiano,25,pt POR,GK,24-310,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2023-2024
Umar Sadiq,19,ng NGA,FW,26-282,45,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0,13,2023-2024
   Mikel Merino,8,es ESP,CM,27-142,45,0,0,0,0,0,0,0,,0,2,1,1,0,0,2,0,13,2023-2024
Mikel Oyarzabal,10,es ESP,FW,26-204,65,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,13,2023-2024
   Carlos Fernández,9,es ESP,FW,27-173,25,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,13,2023-2024
Ander Barrenetxea,7,es ESP,LM,21-319,45,1,0,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,13,2023-2024
   Takefusa Kubo,14,jp JPN,FW,22-160,45,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,1,13,2023-2024
Beñat Turrientes,22,es ESP,"CM,RM",21-284,80,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0,13,2023-2024
   Olasagasti,16,es ESP,RM,23-087,10,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0,13,2023-2024
Arsen Zakharyan,12,ru RUS,"RM,LM",20-169,73,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,13,2023-2024
   Mohamed Ali Cho,11,fr FRA,LM,19-296,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2023-2024
Martín Zubimendi,4,es ESP,DM,24-282,90,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,5,0,13,2023-2024
Aihen Muñoz,3,es ESP,LB,26-087,90,3,2,3,0,0,3,3,100.0,0,1,0,1,2,5,1,0,13,2023-2024
Robin Le Normand,24,es ESP,CB,27-000,90,1,1,0,1,0,1,1,100.0,0,1,0,1,2,3,1,0,13,2023-2024
Aritz Elustondo,6,es ESP,CB,29-228,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,13,2023-2024
Hamari Traoré,18,ml MLI,RB,31-288,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,3,0,13,2023-2024
Álex Remiro,1,es ESP,GK,28-232,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2023-2024
Ante Budimir,17,hr CRO,FW,32-112,87,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2023-2024
   Raúl,23,es ESP,FW,23-008,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,13,2023-2024
Ezequiel Ávila,9,ar ARG,LW,29-278,80,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,13,2023-2024
   José Arnaiz,20,es ESP,LW,28-210,10,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,13,2023-2024
Rubén Peña,15,es ESP,RW,32-116,66,1,0,0,0,1,0,1,0.0,1,3,0,3,0,1,0,0,13,2023-2024
   Kike Barja,11,es ESP,RW,26-224,24,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,13,2023-2024
Aimar Oroz,10,es ESP,AM,21-349,87,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,1,0,13,2023-2024
   Pablo Ibáñez,19,es ESP,AM,25-052,3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,13,2023-2024
