Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Predrag Rajković,rs SRB,27-330,90,4,2,2,50.0,1.7,7,28,25.0,20,0,80.0,51.6,12,100.0,68.3,11,1,9.1,0,5.0,7,2023-2024
Marc-André ter Stegen,de GER,31-149,90,5,2,3,60.0,1.2,2,2,100.0,25,3,4.0,24.0,3,33.3,37.7,11,0,0.0,0,12.0,7,2023-2024
Unai Simón,es ESP,26-108,90,5,2,3,60.0,2.7,6,20,30.0,31,2,54.8,43.9,5,60.0,43.2,23,1,4.3,0,18.0,7,2023-2024
David Soria,es ESP,30-176,90,4,2,2,50.0,1.5,6,17,35.3,30,9,43.3,36.9,5,80.0,51.4,16,2,12.5,2,15.3,7,2023-2024
Kepa Arrizabalaga,es ESP,28-359,90,2,0,2,100.0,0.2,0,4,0.0,33,7,12.1,23.9,3,0.0,24.0,5,0,0.0,1,25.0,7,2023-2024
Álvaro Vallés,es ESP,26-064,90,9,2,7,77.8,3.1,4,12,33.3,41,12,29.3,32.5,1,0.0,20.0,15,2,13.3,2,10.5,7,2023-2024
Filip Jørgensen,dk DEN,21-164,90,5,2,3,60.0,1.3,8,10,80.0,27,3,14.8,23.7,11,54.5,42.3,17,0,0.0,6,25.0,7,2023-2024
Paulo Gazzaniga,ar ARG,31-268,90,3,1,2,100.0,1.2,2,7,28.6,23,3,21.7,27.0,6,33.3,38.2,18,0,0.0,0,5.0,7,2023-2024
Jeremías Ledesma,ar ARG,30-226,90,4,0,4,100.0,0.8,8,20,40.0,37,7,40.5,33.3,9,55.6,49.0,10,1,10.0,1,16.0,7,2023-2024
Stole Dimitrievski,mk MKD,29-276,90,2,0,2,100.0,0.6,0,13,0.0,21,4,33.3,34.5,10,60.0,45.8,18,0,0.0,1,13.5,7,2023-2024
Giorgi Mamardashvili,ge GEO,22-363,90,1,1,0,0.0,0.0,5,23,21.7,29,1,69.0,44.6,4,75.0,52.0,7,1,14.3,3,17.5,7,2023-2024
Álex Remiro,es ESP,28-187,90,2,0,2,100.0,0.4,5,9,55.6,47,3,12.8,25.8,5,60.0,53.2,6,1,16.7,2,19.0,7,2023-2024
Iván Villar,es ESP,26-081,90,9,1,8,88.9,1.7,5,20,25.0,20,4,55.0,42.9,14,64.3,49.4,20,0,0.0,1,11.0,7,2023-2024
Antonio Sivera,es ESP,27-048,90,0,1,0,,0.0,3,9,33.3,19,5,36.8,35.1,4,50.0,41.3,6,1,16.7,4,23.6,7,2023-2024
André Ferreira,pt POR,27-122,90,3,1,2,66.7,0.6,9,18,50.0,32,7,34.4,36.4,10,70.0,54.0,14,0,0.0,0,8.0,7,2023-2024
Claudio Bravo,cl CHI,40-168,90,7,1,6,85.7,1.2,8,16,50.0,33,6,33.3,29.7,8,62.5,47.8,18,1,5.6,2,16.3,7,2023-2024
Aitor Fernández,es ESP,32-148,90,3,2,1,33.3,1.7,6,10,60.0,20,4,45.0,34.7,2,50.0,42.5,3,0,0.0,2,15.3,7,2023-2024
Jan Oblak,si SVN,30-264,90,2,0,2,100.0,0.7,6,17,35.3,24,6,25.0,30.9,13,84.6,58.0,34,2,5.9,2,12.4,7,2023-2024
Marc-André ter Stegen,de GER,31-152,90,3,0,3,100.0,0.5,5,7,71.4,37,4,16.2,24.2,6,16.7,28.5,19,1,5.3,3,17.0,8,2023-2024
Ørjan Nyland,no NOR,33-019,90,4,1,4,75.0,1.6,10,20,50.0,21,7,57.1,40.7,8,100.0,68.6,15,1,6.7,1,15.0,8,2023-2024
