Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Unai Simón,es ESP,26-097,90,4,0,4,100.0,0.9,6,13,46.2,21,5,61.9,44.5,1,0.0,32.0,7,2,28.6,1,11.3,5,2023-2024
Jeremías Ledesma,ar ARG,30-215,90,8,3,5,62.5,2.4,17,32,53.1,24,1,75.0,46.5,14,100.0,68.2,20,1,5.0,1,8.8,5,2023-2024
Giorgi Mamardashvili,ge GEO,22-352,90,3,0,3,100.0,0.6,9,28,32.1,25,3,76.0,49.2,11,81.8,57.7,23,1,4.3,0,4.0,5,2023-2024
Jan Oblak,si SVN,30-252,90,8,3,5,62.5,2.1,0,0,,13,6,0.0,19.2,3,0.0,29.7,9,1,11.1,1,20.5,5,2023-2024
Iván Villar,es ESP,26-069,90,3,1,2,66.7,1.3,3,9,33.3,25,3,28.0,30.5,4,50.0,42.5,5,1,20.0,3,14.8,5,2023-2024
Predrag Rajković,rs SRB,27-320,90,4,0,4,100.0,1.7,9,25,36.0,26,3,76.9,47.5,11,45.5,39.8,25,1,4.0,0,9.0,5,2023-2024
Marc-André ter Stegen,de GER,31-139,90,2,0,2,100.0,0.7,3,4,75.0,30,4,13.3,22.0,5,0.0,14.4,7,0,0.0,0,12.0,5,2023-2024
Rui Silva,pt POR,29-221,45,3,2,1,33.3,1.8,3,8,37.5,15,4,46.7,35.7,3,33.3,30.0,9,1,11.1,,7.0,5,2023-2024
Francisco Barbosa,es ESP,24-132,45,6,3,3,50.0,1.0,1,3,33.3,9,4,22.2,28.6,4,25.0,37.8,5,0,0.0,0,,5,2023-2024
David Soria,es ESP,30-166,90,3,2,1,66.7,1.5,16,38,42.1,42,4,71.4,47.3,8,100.0,59.1,10,0,0.0,2,24.0,5,2023-2024
Sergio Herrera,es ESP,30-104,90,6,3,3,50.0,1.3,7,17,41.2,27,3,63.0,45.6,1,0.0,38.0,17,0,0.0,0,10.0,5,2023-2024
Filip Jørgensen,dk DEN,21-154,90,7,1,6,85.7,2.0,4,9,44.4,24,9,20.8,27.3,13,30.8,33.8,11,1,9.1,2,22.5,5,2023-2024
Luís Maximiano,pt POR,24-255,90,4,2,2,50.0,1.6,0,15,0.0,24,5,45.8,40.0,4,100.0,62.8,17,3,17.6,0,5.2,5,2023-2024
Marko Dmitrović,rs SRB,31-236,90,2,0,2,100.0,0.5,6,12,50.0,15,4,33.3,32.4,11,63.6,47.6,7,0,0.0,2,19.7,5,2023-2024
Álvaro Vallés,es ESP,26-054,90,9,1,8,88.9,2.5,4,14,28.6,32,5,31.3,29.5,7,57.1,38.0,21,0,0.0,2,13.4,5,2023-2024
Kepa Arrizabalaga,es ESP,28-349,90,5,1,4,80.0,1.8,5,14,35.7,36,1,30.6,31.4,6,50.0,45.2,8,0,0.0,1,24.0,5,2023-2024
Álex Remiro,es ESP,28-177,90,8,2,6,75.0,2.2,4,13,30.8,31,2,32.3,32.6,3,100.0,58.0,14,0,0.0,2,24.3,5,2023-2024
Raúl Fernández,es ESP,35-189,90,6,4,2,33.3,2.8,4,6,66.7,22,4,22.7,27.9,3,33.3,35.3,13,1,7.7,6,19.4,5,2023-2024
Paulo Gazzaniga,ar ARG,31-259,90,5,2,3,60.0,2.3,4,15,26.7,34,5,32.4,33.1,5,80.0,59.8,21,2,9.5,0,9.0,5,2023-2024
Antonio Sivera,es ESP,27-042,90,3,2,1,33.3,1.2,12,22,54.5,27,3,63.0,43.1,11,45.5,37.5,9,0,0.0,2,26.0,6,2023-2024
Unai Simón,es ESP,26-103,90,5,0,5,100.0,1.7,9,24,37.5,36,4,50.0,38.8,7,85.7,64.1,12,1,8.3,1,17.0,6,2023-2024
