player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Daniel Vivian,3,es ESP,CB,24-074,90,0,0,0,0,0,0,0,0,49,0,2,2,0.0,0.0,0.0,1,1,31,38,81.6,3,24,1,1,1,7,2023-2024
Óscar de Marcos,18,es ESP,RB,34-166,90,0,1,0,0,0,0,0,0,60,1,0,1,0.0,0.0,0.1,2,1,42,53,79.2,7,26,2,2,2,7,2023-2024
Unai Simón,1,es ESP,GK,26-108,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,20,37,54.1,0,17,0,0,0,7,2023-2024
Borja Mayoral,19,es ESP,FW,26-175,90,0,0,0,0,2,1,0,0,27,0,0,1,0.5,0.5,0.0,2,0,11,17,64.7,2,19,2,3,2,7,2023-2024
Mason Greenwood,12,eng ENG,"LM,RM",21-361,90,0,1,0,0,1,0,0,0,46,0,1,0,0.0,0.0,0.2,2,1,24,35,68.6,1,32,3,3,0,7,2023-2024
Nemanja Maksimović,20,rs SRB,CM,28-244,84,0,0,0,0,3,2,0,0,42,1,0,0,0.3,0.3,0.0,1,1,25,32,78.1,2,19,1,0,0,7,2023-2024
   Jaime Mata,7,es ESP,LM,34-338,6,0,0,0,0,0,0,1,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,3,0,0,0,7,2023-2024
Mauro Arambarri,8,uy URU,CM,27-362,76,0,0,0,0,1,0,0,0,37,0,1,0,0.1,0.1,0.0,3,0,25,33,75.8,2,19,1,0,0,7,2023-2024
   Djené,2,tg TOG,CM,31-270,14,0,0,0,0,0,0,1,0,14,0,0,1,0.0,0.0,0.0,1,0,8,12,66.7,2,11,0,4,3,7,2023-2024
Carles Aleñá,11,es ESP,RM,25-265,64,0,0,0,0,1,0,0,0,26,0,1,1,0.0,0.0,0.5,3,0,13,20,65.0,3,14,0,0,0,7,2023-2024
   Juanmi Latasa,14,es ESP,"FW,RM",22-188,26,1,0,0,0,1,1,0,0,5,0,0,0,0.2,0.2,0.0,0,0,1,2,50.0,0,2,0,0,0,7,2023-2024
Fabrizio Angileri,3,ar ARG,LB,29-196,64,0,0,0,0,0,0,1,0,30,0,1,0,0.0,0.0,0.0,2,0,17,22,77.3,1,16,0,2,1,7,2023-2024
   Óscar Rodríguez Arnaiz,9,es ESP,"CM,LB,LM",25-091,26,0,0,0,0,2,0,1,0,26,1,0,0,0.0,0.0,0.0,3,1,16,21,76.2,3,16,1,1,0,7,2023-2024
Diego Rico,16,es ESP,"CB,LB",30-216,90,0,0,0,0,1,0,0,0,88,1,2,0,0.0,0.0,0.0,2,0,58,79,73.4,11,49,1,2,0,7,2023-2024
Gastón Álvarez,4,uy URU,CB,23-187,90,1,0,0,0,1,1,0,0,49,3,2,2,0.2,0.2,0.0,0,0,30,40,75.0,1,32,0,1,1,7,2023-2024
Domingos Duarte,6,pt POR,CB,28-201,90,0,0,0,0,0,0,0,0,50,0,1,1,0.0,0.0,0.0,0,0,39,44,88.6,8,36,1,0,0,7,2023-2024
Iglesias,21,es ESP,RB,25-086,76,0,0,0,0,0,0,0,0,56,0,2,0,0.0,0.0,0.0,2,0,23,47,48.9,2,31,1,2,1,7,2023-2024
   Carmona,18,es ESP,RB,21-241,14,0,1,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.2,2,1,13,14,92.9,0,12,2,0,0,7,2023-2024
David Soria,13,es ESP,GK,30-176,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,22,35,62.9,0,21,0,0,0,7,2023-2024
Rodrygo,11,br BRA,FW,22-261,90,0,1,0,0,3,1,0,0,42,1,1,0,0.2,0.2,0.2,7,1,26,30,86.7,5,29,6,3,1,7,2023-2024
Joselu,14,es ESP,FW,33-184,56,1,0,0,0,7,5,0,0,31,0,0,0,0.9,0.9,0.3,4,0,15,23,65.2,4,20,1,0,0,7,2023-2024
   Vinicius Júnior,7,br BRA,FW,23-077,34,0,0,0,0,1,0,0,0,17,0,0,0,0.1,0.1,0.0,1,0,6,10,60.0,0,14,2,6,2,7,2023-2024
Brahim Díaz,21,es ESP,AM,24-055,56,1,0,0,0,2,2,0,0,36,0,0,1,0.2,0.2,0.0,3,0,19,26,73.1,0,24,2,4,1,7,2023-2024
   Dani Ceballos,19,es ESP,AM,27-051,34,0,0,0,0,0,0,0,0,40,1,0,1,0.0,0.0,0.0,0,0,35,36,97.2,5,28,2,0,0,7,2023-2024
Eduardo Camavinga,12,fr FRA,LM,20-321,76,0,0,0,0,0,0,0,0,63,3,3,0,0.0,0.0,0.1,5,1,41,51,80.4,8,37,2,5,4,7,2023-2024
   Toni Kroos,8,de GER,LM,33-266,14,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,18,18,100.0,1,11,0,0,0,7,2023-2024
Aurélien Tchouaméni,18,fr FRA,CM,23-243,90,0,0,0,0,3,0,0,0,73,1,2,0,0.1,0.1,0.0,0,0,56,64,87.5,3,59,1,0,0,7,2023-2024
Federico Valverde,15,uy URU,RM,25-067,90,0,0,0,0,0,0,0,0,75,1,0,1,0.0,0.0,0.4,9,0,54,63,85.7,9,62,7,4,1,7,2023-2024
Ferland Mendy,23,fr FRA,LB,28-111,76,0,0,0,0,1,0,0,0,51,0,0,2,0.0,0.0,0.1,3,1,43,47,91.5,2,30,2,1,0,7,2023-2024
   Fran Garcia,20,es ESP,LB,24-044,14,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,8,9,88.9,1,8,1,0,0,7,2023-2024
David Alaba,4,at AUT,CB,31-095,40,0,0,0,0,0,0,0,0,31,0,0,1,0.0,0.0,0.0,0,0,26,30,86.7,1,26,0,0,0,7,2023-2024
   Lucas Vázquez,17,es ESP,RB,32-088,50,0,1,0,0,0,0,0,0,38,0,0,2,0.0,0.0,0.2,2,1,28,34,82.4,1,21,0,2,1,7,2023-2024
Antonio Rüdiger,22,de GER,CB,30-208,90,0,0,0,0,1,0,0,0,82,1,0,1,0.0,0.0,0.4,3,0,68,76,89.5,6,62,3,0,0,7,2023-2024
Nacho,6,es ESP,"CB,RB",33-252,90,0,0,0,0,3,1,0,0,79,4,1,4,0.3,0.3,0.1,2,0,59,65,90.8,2,42,2,0,0,7,2023-2024
Kepa Arrizabalaga,25,es ESP,GK,28-359,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,32,36,88.9,0,27,0,0,0,7,2023-2024
Sory Kaba,16,gn GUI,FW,28-061,56,0,0,0,0,2,0,0,0,34,0,0,1,0.2,0.2,0.0,1,0,20,21,95.2,3,21,0,1,1,7,2023-2024
   Marvin,2,es ESP,RW,23-086,34,0,0,0,0,2,0,0,0,29,1,0,1,0.1,0.1,0.0,3,0,20,22,90.9,1,22,0,1,0,7,2023-2024
