Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Matchweek,Season
Hugo Duro,9,es ESP,FW,24-015,83,0,0,0,0,3,0,0,0,22,1,0,0,0.3,0.3,0.0,1,0,9,11,81.8,3,12,0,0,0,14,2023-2024
   Roman Yaremchuk,17,ua UKR,FW,27-363,7,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0.0,1,0,3,4,75.0,1,6,0,0,0,14,2023-2024
Diego López,16,es ESP,FW,21-196,89,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.1,1,0,11,26,42.3,1,21,3,4,1,14,2023-2024
   Dimitri Foulquier,20,fr FRA,FW,30-247,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,2,0,0,0,14,2023-2024
Sergi Canós,7,es ESP,LM,26-296,63,0,0,0,0,0,0,0,0,34,2,3,2,0.0,0.0,0.0,1,0,16,22,72.7,2,17,1,2,1,14,2023-2024
   Selim Amallah,19,ma MAR,LM,27-010,27,0,0,0,0,1,0,1,0,14,0,2,1,0.0,0.0,0.0,0,0,3,7,42.9,1,10,0,3,0,14,2023-2024
Javier Guerra,8,es ESP,CM,20-328,90,0,0,0,0,2,0,0,0,37,1,0,0,0.1,0.1,0.0,2,0,13,25,52.0,2,30,3,7,2,14,2023-2024
José Luis García Vayá,18,es ESP,CM,25-106,90,0,0,0,0,0,0,1,0,86,2,3,2,0.0,0.0,0.1,2,0,57,73,78.1,11,56,1,1,0,14,2023-2024
Francisco Perez,23,es ESP,RM,21-077,83,0,0,0,0,1,0,0,0,39,2,0,3,0.0,0.0,0.0,0,0,17,27,63.0,1,27,5,4,2,14,2023-2024
   Hugo Guillamón,6,es ESP,RM,23-298,7,0,0,0,0,0,0,1,0,10,1,0,0,0.0,0.0,0.0,0,0,7,9,77.8,0,4,0,0,0,14,2023-2024
José Luis Gayà,14,es ESP,LB,28-184,45,0,0,0,0,0,0,0,0,37,2,0,0,0.0,0.0,0.0,1,0,22,31,71.0,1,23,0,2,0,14,2023-2024
   Yarek Hernandis,34,es ESP,DF,18-317,45,0,0,0,0,0,0,0,0,,,4,,,,,,,,,,,,,,,14,2023-2024
Gabriel Paulista,5,br BRA,CB,32-364,90,0,0,0,0,0,0,0,0,94,1,3,4,0.0,0.0,0.0,1,0,74,82,90.2,4,76,1,0,0,14,2023-2024
Cristhian Mosquera,3,co COL,CB,19-151,90,0,0,0,0,0,0,0,0,89,1,3,3,0.0,0.0,0.0,0,0,67,74,90.5,4,61,1,0,0,14,2023-2024
Thierry Correia,12,pt POR,RB,24-261,90,0,0,0,0,0,0,0,0,83,4,3,6,0.0,0.0,0.0,4,0,58,69,84.1,6,42,2,1,0,14,2023-2024
Giorgi Mamardashvili,25,ge GEO,GK,23-057,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,21,28,75.0,0,17,0,0,0,14,2023-2024
Hugo Duro,9,es ESP,FW,24-015,83,0,0,0,0,3,0,0,0,22,1,0,0,0.3,0.3,0.0,1,0,9,11,81.8,3,12,0,0,0,14,2023-2024
   Roman Yaremchuk,17,ua UKR,FW,27-363,7,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0.0,1,0,3,4,75.0,1,6,0,0,0,14,2023-2024
Diego López,16,es ESP,FW,21-196,89,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.1,1,0,11,26,42.3,1,21,3,4,1,14,2023-2024
   Dimitri Foulquier,20,fr FRA,FW,30-247,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,2,0,0,0,14,2023-2024
Sergi Canós,7,es ESP,LM,26-296,63,0,0,0,0,0,0,0,0,34,2,3,2,0.0,0.0,0.0,1,0,16,22,72.7,2,17,1,2,1,14,2023-2024
   Selim Amallah,19,ma MAR,LM,27-010,27,0,0,0,0,1,0,1,0,14,0,2,1,0.0,0.0,0.0,0,0,3,7,42.9,1,10,0,3,0,14,2023-2024
Javier Guerra,8,es ESP,CM,20-328,90,0,0,0,0,2,0,0,0,37,1,0,0,0.1,0.1,0.0,2,0,13,25,52.0,2,30,3,7,2,14,2023-2024
José Luis García Vayá,18,es ESP,CM,25-106,90,0,0,0,0,0,0,1,0,86,2,3,2,0.0,0.0,0.1,2,0,57,73,78.1,11,56,1,1,0,14,2023-2024
Francisco Perez,23,es ESP,RM,21-077,83,0,0,0,0,1,0,0,0,39,2,0,3,0.0,0.0,0.0,0,0,17,27,63.0,1,27,5,4,2,14,2023-2024
   Hugo Guillamón,6,es ESP,RM,23-298,7,0,0,0,0,0,0,1,0,10,1,0,0,0.0,0.0,0.0,0,0,7,9,77.8,0,4,0,0,0,14,2023-2024
José Luis Gayà,14,es ESP,LB,28-184,45,0,0,0,0,0,0,0,0,37,2,0,0,0.0,0.0,0.0,1,0,22,31,71.0,1,23,0,2,0,14,2023-2024
   Yarek Hernandis,34,es ESP,DF,18-317,45,0,0,0,0,0,0,0,0,,,4,,,,,,,,,,,,,,,14,2023-2024
Gabriel Paulista,5,br BRA,CB,32-364,90,0,0,0,0,0,0,0,0,94,1,3,4,0.0,0.0,0.0,1,0,74,82,90.2,4,76,1,0,0,14,2023-2024
Cristhian Mosquera,3,co COL,CB,19-151,90,0,0,0,0,0,0,0,0,89,1,3,3,0.0,0.0,0.0,0,0,67,74,90.5,4,61,1,0,0,14,2023-2024
Thierry Correia,12,pt POR,RB,24-261,90,0,0,0,0,0,0,0,0,83,4,3,6,0.0,0.0,0.0,4,0,58,69,84.1,6,42,2,1,0,14,2023-2024
Giorgi Mamardashvili,25,ge GEO,GK,23-057,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,21,28,75.0,0,17,0,0,0,14,2023-2024
Juanmi Latasa,14,es ESP,FW,22-247,71,0,0,0,0,3,0,0,0,38,0,0,0,0.2,0.2,0.4,4,0,20,28,71.4,2,17,0,1,0,14,2023-2024
   Carles Aleñá,11,es ESP,FW,25-324,19,0,0,0,0,2,0,0,0,12,1,0,1,0.1,0.1,0.0,1,0,4,5,80.0,0,5,1,0,0,14,2023-2024
Borja Mayoral,19,es ESP,FW,26-234,88,1,0,0,0,4,2,0,0,45,0,0,0,0.5,0.5,0.2,4,0,27,33,81.8,6,22,2,1,0,14,2023-2024
   Jaime Mata,7,es ESP,FW,35-032,2,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,0,1,0,0,0,14,2023-2024
Mason Greenwood,12,eng ENG,"LM,RM",22-055,88,1,0,0,0,3,2,0,0,46,0,0,0,0.1,0.1,0.1,4,1,26,36,72.2,5,18,0,4,2,14,2023-2024
   Fabrizio Angileri,3,ar ARG,RM,29-255,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,1,0,14,2023-2024
Nemanja Maksimović,20,rs SRB,CM,28-303,90,0,0,0,0,0,0,0,0,41,2,2,0,0.0,0.0,0.0,1,1,20,35,57.1,0,7,0,0,0,14,2023-2024
Luis Milla,5,es ESP,CM,29-049,90,0,0,0,0,1,0,0,0,70,1,1,0,0.0,0.0,0.1,6,0,56,65,86.2,7,23,1,1,1,14,2023-2024
Carmona,18,es ESP,RM,21-300,29,0,0,0,0,1,1,0,0,19,0,0,1,0.0,0.0,0.0,1,0,8,13,61.5,1,7,0,1,0,14,2023-2024
   Óscar Rodríguez Arnaiz,9,es ESP,"LM,RM",25-150,61,0,0,0,0,1,0,0,0,48,3,1,0,0.1,0.1,0.0,1,0,27,38,71.1,2,15,1,1,0,14,2023-2024
Diego Rico,16,es ESP,LB,30-275,90,0,0,0,0,1,0,1,0,85,4,2,1,0.0,0.0,0.1,3,0,49,65,75.4,5,16,1,3,1,14,2023-2024
Omar Alderete,15,py PAR,CB,26-334,45,0,1,0,0,2,0,1,0,40,1,0,3,0.1,0.1,0.0,2,1,19,29,65.5,3,13,0,0,0,14,2023-2024
