player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Luis Javier Suárez,9,co COL,FW,25-252,90,9,12,75.0,173,13,5,6,83.3,3,5,60.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,1,2023-2024
Adri Embarba,10,es ESP,"LW,LM",31-096,90,30,40,75.0,476,118,16,17,94.1,7,12,58.3,4,8,50.0,0,0.5,0.3,3,1,0,0,1,1,2023-2024
Lázaro,14,br BRA,RW,21-152,45,7,8,87.5,84,8,5,6,83.3,2,2,100.0,0,0,,0,0.0,0.0,1,0,0,0,0,1,2023-2024
   Sergio Arribas,19,es ESP,"FW,RW",21-315,45,21,25,84.0,266,78,11,11,100.0,8,8,100.0,0,4,0.0,0,0.1,0.1,3,1,4,0,6,1,2023-2024
Largie Ramazani,7,be BEL,"AM,RM",22-165,82,15,19,78.9,251,107,8,8,100.0,6,8,75.0,1,2,50.0,0,0.1,0.1,2,1,2,0,2,1,2023-2024
   Marko Milovanović,29,rs SRB,RM,20-007,8,1,1,100.0,9,7,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,2023-2024
Iddrisu Baba,4,gh GHA,"DM,CM",27-201,76,33,37,89.2,650,216,15,16,93.8,13,14,92.9,5,5,100.0,0,0.0,0.0,1,1,0,0,5,1,2023-2024
   Gonzalo Melero,11,es ESP,CM,29-221,14,9,13,69.2,124,41,6,8,75.0,3,5,60.0,0,0,,0,0.0,0.0,0,2,0,0,0,1,2023-2024
Lucas Robertone,5,ar ARG,"DM,CM",26-146,77,48,61,78.7,999,343,18,20,90.0,19,22,86.4,10,16,62.5,0,0.0,0.0,1,3,0,0,5,1,2023-2024
   Dion Lopy,6,sn SEN,CM,21-190,13,12,13,92.3,216,48,5,5,100.0,6,6,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,0,1,2023-2024
Sergio Akieme,15,es ESP,LB,25-238,90,39,50,78.0,677,181,20,23,87.0,13,15,86.7,5,10,50.0,0,0.4,0.1,2,5,1,0,4,1,2023-2024
Srđan Babić,22,rs SRB,CB,27-111,90,58,62,93.5,1267,388,13,13,100.0,37,41,90.2,8,8,100.0,0,0.0,0.0,0,2,0,0,6,1,2023-2024
Édgar González,3,es ESP,CB,26-132,90,88,95,92.6,1620,666,36,37,97.3,45,47,95.7,5,7,71.4,0,0.0,0.0,0,5,0,0,6,1,2023-2024
Alejandro Pozo Pozo,17,es ESP,RB,24-170,65,35,44,79.5,621,198,16,19,84.2,13,17,76.5,4,5,80.0,0,0.0,0.1,1,2,1,0,3,1,2023-2024
   Pubill,18,es ESP,RB,20-052,25,20,25,80.0,251,88,11,11,100.0,6,7,85.7,0,3,0.0,0,0.1,0.1,2,3,2,2,0,1,2023-2024
