Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Matchweek,Season
Sory Kaba,16,gn GUI,FW,28-028,67,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,2,0,7,11,63.6,2,15,1,2,0,3,2023-2024
   Javier Muñoz,5,es ESP,LW,28-178,23,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,6,8,75.0,0,6,0,0,0,3,2023-2024
Sandro Ramírez,9,es ESP,"LW,FW",28-047,78,0,0,0,0,2,1,0,0,35,0,0,1,0.2,0.2,0.5,4,0,21,27,77.8,2,27,7,4,2,3,2023-2024
   Francisco Jesús Crespo García,24,es ESP,FW,27-027,12,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,2,5,40.0,0,4,1,1,1,3,2023-2024
Munir El Haddadi,17,ma MAR,RW,27-358,90,0,0,0,0,2,0,0,0,31,0,0,4,0.4,0.4,0.0,0,0,14,17,82.4,4,18,0,0,0,3,2023-2024
Jonathan Viera,21,es ESP,LM,33-308,78,0,0,0,0,2,1,0,0,64,0,0,0,0.1,0.1,0.3,6,0,53,58,91.4,10,41,2,1,0,3,2023-2024
   Benito Ramírez,11,es ESP,LM,28-045,12,0,0,0,0,1,1,0,0,11,1,0,0,0.0,0.0,0.0,0,0,4,9,44.4,0,7,1,0,0,3,2023-2024
Kirian Rodríguez,20,es ESP,CM,27-173,78,0,0,0,0,1,0,0,0,63,1,1,1,0.0,0.0,0.0,0,0,48,58,82.8,3,34,0,1,1,3,2023-2024
   Omenuke Mfulu,22,cd COD,CM,29-158,12,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,3,0,0,0,3,2023-2024
Enzo Loiodice,12,fr FRA,RM,22-271,90,0,0,0,0,2,2,0,0,45,3,2,1,0.1,0.1,0.0,0,0,24,31,77.4,4,23,0,1,0,3,2023-2024
Sergi Cardona,3,es ESP,LB,24-048,64,0,0,0,0,0,0,1,0,44,0,2,0,0.0,0.0,0.0,1,0,30,36,83.3,4,19,2,0,0,3,2023-2024
   Saúl Coco,23,gq EQG,CB,24-197,26,0,0,0,0,0,0,0,0,21,0,0,2,0.0,0.0,0.0,1,0,12,17,70.6,2,9,0,1,0,3,2023-2024
Mika Màrmol,15,es ESP,"CB,LB",21-054,90,0,0,0,0,0,0,0,0,68,1,2,1,0.0,0.0,0.0,1,0,50,60,83.3,3,43,1,3,0,3,2023-2024
Álex Suárez,4,es ESP,CB,30-160,90,0,0,0,0,1,0,0,0,64,7,3,1,0.1,0.1,0.0,1,0,46,53,86.8,2,33,1,0,0,3,2023-2024
Julian Araujo,28,mx MEX,RB,22-012,90,0,0,0,0,0,0,0,0,59,4,2,0,0.0,0.0,0.0,0,0,36,48,75.0,2,25,1,0,0,3,2023-2024
Álvaro Vallés,13,es ESP,GK,26-031,90,0,0,0,0,0,0,0,0,58,0,0,0,0.0,0.0,0.0,1,0,37,57,64.9,0,42,0,0,0,3,2023-2024
Sory Kaba,16,gn GUI,FW,28-028,67,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,2,0,7,11,63.6,2,15,1,2,0,3,2023-2024
