player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Kévin Rodrigues,20,pt POR,LB,23-272,90,3,1,1,2,0,1,2,50.0,1,0,0,0,2,5,4,0,14,2017-2018
Iñigo Martínez,6,es ESP,CB,26-199,90,2,2,2,0,0,1,4,25.0,3,1,0,1,2,4,10,0,14,2017-2018
Aritz Elustondo,15,es ESP,CB,23-249,90,3,3,3,0,0,0,0,,0,2,1,1,0,3,5,0,14,2017-2018
Álvaro Odriozola,19,es ESP,RB,21-353,90,2,2,1,0,1,1,1,100.0,0,1,0,1,1,3,2,0,14,2017-2018
Gerónimo Rulli,1,ar ARG,GK,25-196,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,14,2017-2018
Wissam Ben Yedder,9,fr FRA,FW,27-112,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,14,2017-2018
Nolito,24,es ESP,LW,31-048,86,2,1,0,2,0,0,1,0.0,1,0,0,0,0,2,1,0,14,2017-2018
   Joaquín Correa,11,ar ARG,LW,23-111,4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,14,2017-2018
Pablo Sarabia,17,es ESP,"RW,RM",25-205,90,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,0,0,14,2017-2018
Franco Vázquez,22,ar ARG,LM,28-283,68,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,14,2017-2018
   Michael Krohn-Dehli,7,dk DEN,LM,34-179,22,2,2,2,0,0,1,1,100.0,0,0,0,0,0,2,1,0,14,2017-2018
Guido Pizarro,14,ar ARG,CM,27-279,90,2,2,1,1,0,1,1,100.0,0,0,0,0,2,4,4,0,14,2017-2018
Éver Banega,10,ar ARG,RM,29-156,84,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,14,2017-2018
   Jesús Navas,16,es ESP,RW,32-011,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,14,2017-2018
Sergio Escudero,18,es ESP,LB,28-091,90,2,2,0,2,0,0,0,,0,5,1,4,3,5,2,0,14,2017-2018
Clément Lenglet,5,fr FRA,CB,22-168,90,0,0,0,0,0,0,0,,0,2,2,0,0,0,5,0,14,2017-2018
Johannes Geis,12,de GER,CB,24-107,90,1,1,0,1,0,1,2,50.0,1,2,0,2,0,1,6,0,14,2017-2018
Gabriel Mercado,25,ar ARG,RB,30-259,90,1,1,1,0,0,0,0,,0,0,0,0,2,3,2,0,14,2017-2018
David Soria,13,es ESP,GK,24-242,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,14,2017-2018
Celso Borges,22,cr CRC,FW,29-189,62,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,14,2017-2018
   Florin Andone,10,ro ROU,FW,24-235,28,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
Lucas Pérez,7,es ESP,FW,29-083,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,14,2017-2018
Adrián López,15,es ESP,LM,29-328,81,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,3,0,14,2017-2018
   Emre Çolak,8,tr TUR,LM,26-196,9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
Federico Valverde,17,uy URU,CM,19-133,90,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,14,2017-2018
Guilherme,20,br BRA,CM,26-241,90,4,3,1,2,1,2,3,66.7,1,0,0,0,0,4,1,0,14,2017-2018
Federico Cartabia,9,ar ARG,RM,24-316,76,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,1,0,14,2017-2018
   Carles Gil,11,es ESP,RM,25-010,14,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
Fernando Navarro,3,es ESP,LB,35-160,90,2,1,1,0,1,1,1,100.0,0,2,0,2,3,5,4,0,14,2017-2018
Sidnei,12,br BRA,CB,28-101,90,2,1,2,0,0,0,0,,0,1,0,1,1,3,6,0,14,2017-2018
Fabian Schär,24,ch SUI,CB,25-347,90,2,2,2,0,0,2,5,40.0,3,1,0,1,1,3,8,0,14,2017-2018
Juanfran,2,es ESP,RB,29-082,90,6,3,3,3,0,3,3,100.0,0,1,0,1,2,8,4,0,14,2017-2018
Rubén,13,es ESP,GK,33-163,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,14,2017-2018
