player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Gerard Moreno,7,es ESP,FW,25-288,90,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,20,2017-2018
Léo Baptistão,11,br BRA,"FW,RM",25-147,90,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,20,2017-2018
Sergi Darder,25,es ESP,LM,24-029,90,2,2,1,1,0,1,1,100.0,0,1,0,1,0,2,0,0,20,2017-2018
David López,15,es ESP,CM,28-103,90,3,1,0,2,1,0,2,0.0,2,2,0,2,0,3,0,0,20,2017-2018
Javi Fuego,18,es ESP,CM,34-016,45,2,1,1,1,0,0,1,0.0,1,1,0,1,2,4,0,0,20,2017-2018
   Víctor Sánchez,4,es ESP,CM,30-134,45,1,1,0,1,0,1,1,100.0,0,2,0,2,0,1,1,0,20,2017-2018
Óscar Melendo,14,es ESP,RM,20-150,45,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,20,2017-2018
   Sergio García,9,es ESP,FW,34-225,45,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,20,2017-2018
Dídac Vilà,12,es ESP,LB,28-225,90,3,3,1,1,1,0,0,,0,1,0,1,2,5,4,0,20,2017-2018
Mario Hermoso,22,es ESP,CB,22-216,90,0,0,0,0,0,0,2,0.0,2,1,1,0,1,1,5,0,20,2017-2018
Óscar Duarte,6,cr CRC,CB,28-231,90,1,0,0,1,0,0,2,0.0,2,0,0,0,0,1,5,0,20,2017-2018
Javi López,16,es ESP,RB,31-364,62,8,6,2,5,1,2,2,100.0,0,0,0,0,0,8,0,0,20,2017-2018
   Marc Navarro,2,es ESP,RB,22-202,28,1,1,0,1,0,0,1,0.0,1,0,0,0,4,5,1,0,20,2017-2018
Diego López,13,es ESP,GK,36-078,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,20,2017-2018
Luis Muriel,20,co COL,FW,26-279,90,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,0,0,20,2017-2018
Joaquín Correa,11,ar ARG,"LW,LM",23-160,78,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,1,0,20,2017-2018
   Johannes Geis,12,de GER,"DM,LM",24-156,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,20,2017-2018
Pablo Sarabia,17,es ESP,"RW,FW,LW,AM",25-254,90,1,1,0,0,1,0,1,0.0,1,3,0,3,0,1,2,0,20,2017-2018
Franco Vázquez,22,ar ARG,AM,28-332,65,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,0,20,2017-2018
