player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Cristhian Stuani,7,uy URU,FW,31-036,90,12,22,54.5,128,2,10,15,66.7,2,5,40.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,12,2017-2018
Borja García,24,es ESP,AM,27-015,90,47,56,83.9,832,232,26,28,92.9,14,17,82.4,6,6,100.0,0,0.1,0.4,1,11,2,1,7,12,2017-2018
Portu,9,es ESP,AM,25-180,90,19,30,63.3,279,86,11,15,73.3,7,8,87.5,1,6,16.7,1,0.7,0.6,2,6,1,0,6,12,2017-2018
Álex Granell,6,es ESP,CM,29-107,90,34,50,68.0,663,172,13,15,86.7,15,25,60.0,6,7,85.7,0,0.1,0.1,3,3,1,1,2,12,2017-2018
David Timor,16,es ESP,CM,28-031,90,25,34,73.5,521,239,6,8,75.0,13,14,92.9,4,8,50.0,0,0.0,0.0,0,3,0,0,3,12,2017-2018
Johan Mojica,3,co COL,WB,25-088,79,31,40,77.5,521,207,16,19,84.2,9,12,75.0,4,5,80.0,0,0.0,0.0,1,1,1,1,1,12,2017-2018
   Aday,11,es ESP,WB,29-336,11,6,7,85.7,114,56,3,3,100.0,2,2,100.0,1,2,50.0,0,0.1,0.1,1,0,1,1,0,12,2017-2018
Pablo Maffeo,25,es ESP,WB,20-128,90,50,61,82.0,943,353,24,27,88.9,16,17,94.1,9,15,60.0,0,0.1,0.1,2,5,5,3,9,12,2017-2018
Marc Muniesa,20,es ESP,CB,25-235,90,42,48,87.5,889,479,16,16,100.0,19,22,86.4,7,9,77.8,0,0.0,0.0,0,5,0,0,7,12,2017-2018
Bernardo Espinosa,2,co COL,CB,28-129,90,39,50,78.0,1097,446,4,6,66.7,22,28,78.6,13,16,81.3,0,0.0,0.0,0,5,0,0,5,12,2017-2018
Juanpe,15,es ESP,CB,26-201,90,35,43,81.4,831,435,12,14,85.7,14,15,93.3,9,14,64.3,0,0.0,0.0,1,7,0,0,6,12,2017-2018
Yassine Bounou,13,ma MAR,GK,26-226,90,20,25,80.0,817,633,0,0,,6,7,85.7,14,18,77.8,0,0.0,0.0,0,1,0,0,0,12,2017-2018
Willian José,12,br BRA,FW,25-359,90,19,25,76.0,298,35,12,13,92.3,5,8,62.5,1,2,50.0,0,0.1,0.1,2,1,1,0,2,12,2017-2018
Mikel Oyarzabal,18,es ESP,LW,20-210,88,15,23,65.2,270,99,7,10,70.0,6,7,85.7,2,5,40.0,1,0.6,0.1,4,3,2,0,5,12,2017-2018
   Sergio Canales,16,es ESP,LW,26-274,2,1,2,50.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,12,2017-2018
Adnan Januzaj,8,be BEL,RW,22-285,80,7,16,43.8,106,9,4,7,57.1,3,5,60.0,0,2,0.0,0,0.1,0.0,1,0,0,0,0,12,2017-2018
   Juanmi,7,es ESP,RW,24-181,10,2,2,100.0,52,21,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0,1,1,0,1,12,2017-2018
David Zurutuza,17,es ESP,LM,31-121,64,21,29,72.4,376,108,10,12,83.3,10,14,71.4,1,2,50.0,0,0.0,0.0,0,1,0,0,3,12,2017-2018
   Igor Zubeldia,5,es ESP,LM,20-232,26,5,7,71.4,106,15,1,1,100.0,3,3,100.0,1,3,33.3,0,0.0,0.0,0,1,0,0,1,12,2017-2018
Asier Illarramendi,4,es ESP,CM,27-254,90,44,63,69.8,844,308,12,19,63.2,29,34,85.3,3,7,42.9,0,0.1,0.1,1,4,0,0,6,12,2017-2018
Xabi Prieto,10,es ESP,RM,34-080,90,24,28,85.7,297,63,19,22,86.4,5,5,100.0,0,1,0.0,0,0.1,0.1,2,3,1,0,3,12,2017-2018
Kévin Rodrigues,20,pt POR,LB,23-257,90,23,30,76.7,354,160,14,16,87.5,6,8,75.0,2,4,50.0,0,0.0,0.0,0,1,2,1,2,12,2017-2018
Iñigo Martínez,6,es ESP,CB,26-184,90,38,51,74.5,801,364,13,14,92.9,17,21,81.0,8,13,61.5,0,0.0,0.0,0,3,0,0,2,12,2017-2018
Diego Llorente,3,es ESP,CB,24-093,90,32,37,86.5,654,205,12,12,100.0,14,15,93.3,6,10,60.0,0,0.0,0.0,0,0,0,0,2,12,2017-2018
Álvaro Odriozola,19,es ESP,RB,21-338,90,27,32,84.4,439,122,15,15,100.0,10,13,76.9,2,3,66.7,0,0.0,0.0,1,1,0,0,4,12,2017-2018
Gerónimo Rulli,1,ar ARG,GK,25-181,90,26,51,51.0,800,609,4,4,100.0,12,12,100.0,10,35,28.6,0,0.0,0.0,0,1,0,0,0,12,2017-2018
Ángel Rodríguez,9,es ESP,FW,30-206,77,13,16,81.3,202,72,8,10,80.0,5,5,100.0,0,1,0.0,0,0.2,0.1,2,0,2,1,3,12,2017-2018
   Álvaro Jiménez,7,es ESP,RW,22-183,13,4,4,100.0,44,1,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,12,2017-2018
Jorge Molina,19,es ESP,FW,35-210,90,16,26,61.5,267,56,9,12,75.0,6,11,54.5,1,1,100.0,1,0.3,0.1,2,1,0,0,1,12,2017-2018
Amath,23,sn SEN,LM,21-125,64,13,18,72.2,321,96,3,5,60.0,7,8,87.5,3,3,100.0,0,0.0,0.1,0,0,2,1,4,12,2017-2018
   Fayçal Fajr,21,ma MAR,"LW,LM",29-109,26,9,11,81.8,181,38,5,6,83.3,3,4,75.0,1,1,100.0,0,0.3,0.2,1,0,1,1,0,12,2017-2018
Mauro Arambarri,18,uy URU,"CM,DM",22-049,90,23,29,79.3,531,154,9,13,69.2,6,7,85.7,7,8,87.5,0,0.9,0.5,3,2,2,1,3,12,2017-2018
Markel Bergara,5,es ESP,CM,31-197,59,11,15,73.3,161,52,7,9,77.8,4,6,66.7,0,0,,0,0.0,0.0,0,1,0,0,0,12,2017-2018
   Sergio Mora,14,es ESP,"CM,DM",38-080,31,14,22,63.6,219,80,9,13,69.2,4,7,57.1,1,2,50.0,0,0.0,0.0,0,2,0,0,2,12,2017-2018
Francisco Portillo,12,es ESP,"RM,AM",27-158,90,28,38,73.7,529,189,16,23,69.6,7,10,70.0,5,5,100.0,1,0.4,0.2,1,4,0,0,7,12,2017-2018
Vitorino Antunes,3,pt POR,LB,30-231,90,25,41,61.0,583,335,9,10,90.0,8,16,50.0,8,15,53.3,0,0.1,0.1,1,4,1,1,3,12,2017-2018
Cala,16,es ESP,CB,27-357,90,15,22,68.2,372,196,4,5,80.0,6,9,66.7,5,8,62.5,0,0.0,0.0,0,1,0,0,1,12,2017-2018
Djené,2,tg TOG,CB,25-322,90,24,35,68.6,473,199,8,9,88.9,13,19,68.4,3,6,50.0,0,0.0,0.0,0,1,0,0,3,12,2017-2018
Damián Suárez,22,uy URU,RB,29-205,90,41,58,70.7,722,359,22,25,88.0,15,23,65.2,4,9,44.4,0,0.0,0.1,0,3,0,0,6,12,2017-2018
Vicente Guaita,13,es ESP,GK,30-312,90,13,27,48.1,413,299,0,0,,7,7,100.0,6,20,30.0,0,0.0,0.0,0,0,0,0,0,12,2017-2018
Christian Santos,9,ve VEN,FW,29-239,90,15,23,65.2,185,24,11,16,68.8,3,6,50.0,0,0,,0,0.0,0.0,0,1,0,0,1,12,2017-2018
Munir El Haddadi,24,ma MAR,FW,22-078,90,15,23,65.2,247,52,5,9,55.6,9,10,90.0,1,2,50.0,0,0.1,0.1,1,1,0,0,2,12,2017-2018
Álvaro Medrán,23,es ESP,CM,23-248,90,51,68,75.0,1085,333,16,19,84.2,24,29,82.8,11,17,64.7,0,0.1,0.1,3,8,1,1,8,12,2017-2018
Tomás Pina Isla,18,es ESP,CM,30-035,45,15,21,71.4,272,68,8,12,66.7,4,6,66.7,2,2,100.0,0,0.0,0.0,0,4,0,0,2,12,2017-2018
   Wakaso,22,gh GHA,LB,27-116,45,32,41,78.0,536,166,14,14,100.0,15,19,78.9,2,5,40.0,0,0.0,0.0,0,0,0,0,1,12,2017-2018
Manu García,19,es ESP,CM,31-206,90,29,47,61.7,572,208,14,18,77.8,10,17,58.8,5,10,50.0,0,0.0,0.0,1,1,0,0,2,12,2017-2018
Alfonso Pedraza,17,es ESP,"LM,LB",21-223,90,25,39,64.1,420,137,10,16,62.5,14,18,77.8,0,0,,0,0.1,0.0,1,5,1,1,2,12,2017-2018
Adrián Diéguez,26,es ESP,CB,21-287,45,15,22,68.2,236,111,9,10,90.0,6,9,66.7,0,2,0.0,0,0.0,0.0,0,2,0,0,3,12,2017-2018
