player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Santi Mina,22,es ESP,FW,22-030,73,35,0,2,13,20,3,35,0,0,,0,,25,100,47,2,0,1,2,2,31,9,18,2017-2018
   Luciano Vietto,8,ar ARG,FW,24-032,17,9,0,0,3,7,1,9,0,0,,0,,7,45,33,1,1,0,0,1,8,2,18,2017-2018
Rodrigo,19,es ESP,FW,26-306,90,28,0,0,10,18,8,28,1,0,0.0,1,100.0,21,140,51,3,0,2,3,2,24,9,18,2017-2018
Gonçalo Guedes,7,pt POR,LM,21-038,90,63,0,2,15,48,8,63,7,4,57.1,3,42.9,46,379,180,6,7,4,3,3,54,16,18,2017-2018
Geoffrey Kondogbia,16,cf CTA,CM,24-325,90,79,7,17,53,10,0,79,1,1,100.0,0,0.0,55,268,99,0,0,0,0,5,57,0,18,2017-2018
Daniel Parejo,10,es ESP,CM,28-265,90,101,4,10,63,30,1,100,0,0,,0,,67,258,109,1,0,0,0,0,71,0,18,2017-2018
Andreas Pereira,11,br BRA,RM,22-005,81,39,0,6,7,27,2,39,3,1,33.3,2,66.7,29,123,55,2,2,1,2,1,29,3,18,2017-2018
   Nemanja Maksimović,6,rs SRB,RM,22-345,9,3,0,1,0,2,1,3,0,0,,0,,0,0,0,0,0,0,0,0,1,0,18,2017-2018
José Luis Gayà,14,es ESP,LB,22-226,90,60,4,14,30,18,2,60,2,2,100.0,0,0.0,36,222,149,4,2,0,1,1,35,7,18,2017-2018
Gabriel Paulista,5,br BRA,CB,27-041,90,61,7,21,35,5,4,61,0,0,,0,,37,259,204,0,0,0,1,0,40,1,18,2017-2018
Ezequiel Garay,24,ar ARG,CB,31-088,90,52,3,20,30,2,1,52,0,0,,0,,32,102,32,0,0,0,0,0,33,0,18,2017-2018
Nacho Vidal,30,es ESP,RB,22-347,66,55,3,17,21,17,0,55,1,1,100.0,0,0.0,29,184,76,3,2,0,4,0,31,5,18,2017-2018
   Rúben Vezo,3,pt POR,RB,23-256,24,20,1,6,11,4,0,20,1,1,100.0,0,0.0,8,50,36,1,1,0,0,0,8,2,18,2017-2018
Neto,13,br BRA,GK,28-171,90,15,14,15,0,0,0,15,0,0,,0,,8,54,44,0,0,0,0,0,6,0,18,2017-2018
Cristhian Stuani,7,uy URU,FW,31-086,90,22,1,2,12,8,4,22,2,0,0.0,2,100.0,12,66,4,0,0,1,1,0,19,3,18,2017-2018
Portu,9,es ESP,"FW,AM,WB",25-230,90,30,0,3,7,21,3,30,6,3,50.0,3,50.0,21,201,94,4,1,0,1,2,24,6,18,2017-2018
Álex Granell,6,es ESP,CM,29-157,45,22,1,6,11,5,0,22,1,0,0.0,1,100.0,3,17,10,0,0,0,2,0,7,0,18,2017-2018
   Borja García,24,es ESP,AM,27-065,45,47,0,7,20,21,1,47,3,2,66.7,1,33.3,24,117,54,1,1,0,2,3,31,4,18,2017-2018
David Timor,16,es ESP,CM,28-081,90,54,1,14,30,10,1,54,0,0,,0,,17,86,23,1,0,0,0,1,35,0,18,2017-2018
Pere Pons,8,es ESP,CM,24-320,90,32,0,7,20,5,1,32,1,1,100.0,0,0.0,13,73,36,1,0,0,1,1,20,1,18,2017-2018
Johan Mojica,3,co COL,WB,25-138,73,48,1,16,18,15,1,48,7,4,57.1,3,42.9,25,290,130,3,4,1,1,1,25,7,18,2017-2018
   Marlos Moreno,17,co COL,"AM,WB",21-108,17,2,0,0,0,2,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,18,2017-2018
Pablo Maffeo,25,es ESP,WB,20-178,64,40,3,15,15,10,0,40,0,0,,0,,16,77,11,0,1,0,2,1,18,4,18,2017-2018
   Aday,11,es ESP,WB,30-021,26,28,1,4,10,14,0,28,1,0,0.0,1,100.0,12,54,21,1,1,0,2,0,17,4,18,2017-2018
Juanpe,15,es ESP,CB,26-251,90,41,4,28,11,2,1,41,0,0,,0,,14,51,36,0,0,0,0,0,28,0,18,2017-2018
Bernardo Espinosa,2,co COL,CB,28-179,90,42,6,28,13,1,1,42,0,0,,0,,11,56,25,0,0,0,0,0,26,0,18,2017-2018
Jonás Ramalho,4,es ESP,CB,24-210,90,40,7,24,11,5,2,40,0,0,,0,,14,51,27,0,0,0,0,0,23,0,18,2017-2018
Yassine Bounou,13,ma MAR,GK,26-276,90,38,33,38,0,0,0,38,0,0,,0,,17,130,97,0,0,0,0,0,7,0,18,2017-2018
Jonathan Calleri,9,ar ARG,FW,24-105,90,42,2,4,25,13,2,42,1,0,0.0,1,100.0,12,65,22,0,0,1,2,3,28,1,18,2017-2018
Momo,11,es ESP,LW,35-175,66,36,1,5,22,10,2,36,3,2,66.7,1,33.3,26,77,39,1,0,0,1,0,28,5,18,2017-2018
   Tana,24,es ESP,LW,27-108,24,21,1,1,16,4,0,21,2,1,50.0,1,50.0,15,68,25,1,0,0,0,2,18,3,18,2017-2018
Hernán Toledo,19,ar ARG,RW,21-354,90,28,0,7,8,14,2,28,6,2,33.3,4,66.7,23,150,76,3,3,1,3,1,23,6,18,2017-2018
Jonathan Viera,21,es ESP,AM,28-077,90,61,0,4,34,23,2,60,4,3,75.0,1,25.0,35,199,84,3,1,1,0,5,43,2,18,2017-2018
Gabriel Peñalba,7,ar ARG,DM,33-105,90,58,4,24,31,4,0,58,1,1,100.0,0,0.0,40,133,60,0,2,0,1,0,38,0,18,2017-2018
Sergi Samper,6,es ESP,DM,22-351,70,39,1,10,25,6,0,39,2,1,50.0,1,50.0,24,152,69,1,1,0,1,1,27,1,18,2017-2018
   Javi Castellano,18,es ESP,DM,30-065,20,16,0,6,9,1,0,16,0,0,,0,,5,34,23,1,0,0,0,1,8,1,18,2017-2018
Dani Castellano,23,es ESP,LB,30-065,90,62,3,34,21,8,0,62,0,0,,0,,18,97,40,2,0,0,1,3,17,2,18,2017-2018
Pedro Bigas,17,es ESP,CB,27-113,28,20,4,17,3,0,0,20,0,0,,0,,11,41,7,0,0,0,0,0,9,0,18,2017-2018
   Mauricio Lemos,3,uy URU,CB,22-009,62,36,5,21,16,0,0,36,0,0,,0,,17,78,32,0,0,0,1,0,13,0,18,2017-2018
Ximo Navarro,22,es ESP,CB,27-348,90,60,10,38,21,1,1,60,2,2,100.0,0,0.0,27,148,87,1,0,0,1,1,21,0,18,2017-2018
David Simón,2,es ESP,RB,29-021,90,71,3,24,33,14,1,71,2,1,50.0,1,50.0,28,112,84,1,0,0,0,0,31,1,18,2017-2018
Leandro Chichizola,13,ar ARG,GK,27-285,90,33,26,33,0,0,0,33,1,1,100.0,0,0.0,17,109,55,0,0,0,0,0,14,0,18,2017-2018
Sergi Enrich,9,es ESP,FW,27-314,79,32,0,0,14,18,5,32,1,1,100.0,0,0.0,17,69,19,0,0,0,3,2,25,4,18,2017-2018
   Gonzalo Escalante,5,ar ARG,"CM,FW",24-285,11,8,0,1,5,2,0,8,0,0,,0,,0,0,0,0,0,0,0,0,2,0,18,2017-2018
Charles,19,br BRA,FW,33-277,90,36,0,0,20,16,6,36,1,0,0.0,1,100.0,17,62,24,0,1,0,3,2,28,3,18,2017-2018
Takashi Inui,8,jp JPN,"LM,LW",29-218,90,52,0,5,23,24,5,52,2,0,0.0,2,100.0,28,216,62,3,1,4,4,3,41,14,18,2017-2018
Dani García,14,es ESP,CM,27-227,90,44,3,7,31,7,0,44,0,0,,0,,14,55,30,0,0,0,0,0,24,1,18,2017-2018
Joan Jordán,24,es ESP,CM,23-184,90,53,1,5,31,19,2,53,1,1,100.0,0,0.0,20,74,34,1,1,0,4,3,23,1,18,2017-2018
Iván Alejo,20,es ESP,RM,22-330,70,36,0,3,16,19,2,36,4,2,50.0,2,50.0,23,193,121,5,2,1,4,1,26,11,18,2017-2018
   Fabián Orellana,2,cl CHI,"RM,RW",31-344,20,14,0,2,7,5,2,14,3,1,33.3,2,66.7,9,53,14,1,0,1,0,3,12,4,18,2017-2018
José Ángel,15,es ESP,LB,28-123,90,57,2,14,29,14,0,57,1,1,100.0,0,0.0,14,75,31,1,1,0,1,0,21,2,18,2017-2018
Anaitz Arbilla,18,es ESP,CB,30-236,90,59,6,26,33,2,0,59,1,1,100.0,0,0.0,20,180,68,2,0,0,3,1,23,0,18,2017-2018
Paulo Oliveira,12,pt POR,CB,25-363,90,44,7,24,18,2,2,44,0,0,,0,,6,24,2,0,0,0,0,0,12,0,18,2017-2018
Ander Capa,7,es ESP,RB,25-332,59,37,2,9,17,13,0,37,5,4,80.0,1,20.0,14,104,29,0,1,0,2,0,13,0,18,2017-2018
   Rubén Peña,11,es ESP,RB,26-172,31,23,1,4,14,6,0,23,0,0,,0,,2,1,1,0,0,0,0,0,3,0,18,2017-2018
Marko Dmitrović,25,rs SRB,GK,25-347,90,29,20,29,0,0,0,29,0,0,,0,,10,70,50,0,0,0,0,0,9,0,18,2017-2018
Wissam Ben Yedder,9,fr FRA,FW,27-147,90,15,0,1,8,6,4,15,0,0,,0,,5,25,8,0,0,0,2,0,9,3,18,2017-2018
Nolito,24,es ESP,"LW,LM",31-083,68,32,1,2,8,24,2,32,2,1,50.0,1,50.0,23,115,80,2,1,2,0,1,25,5,18,2017-2018
   Luis Muriel,20,co COL,"FW,LM",26-265,22,7,0,0,3,4,0,7,0,0,,0,,4,19,4,0,0,0,0,0,4,0,18,2017-2018
Jesús Navas,16,es ESP,"RW,RM,RB",32-046,90,54,1,4,20,31,9,54,2,0,0.0,2,100.0,37,224,143,6,3,4,1,2,37,11,18,2017-2018
Franco Vázquez,22,ar ARG,LM,28-318,56,38,0,1,15,23,7,38,1,0,0.0,1,100.0,28,86,45,1,2,0,1,3,29,8,18,2017-2018
   Joaquín Correa,11,ar ARG,"LM,FW",23-146,34,8,0,1,4,4,0,8,4,2,50.0,2,50.0,10,95,40,3,1,0,0,1,8,3,18,2017-2018
Steven Nzonzi,15,fr FRA,CM,29-022,90,59,0,7,40,14,4,59,0,0,,0,,41,147,59,2,3,1,0,1,44,2,18,2017-2018
Éver Banega,10,ar ARG,"RM,CM",29-191,90,100,0,9,58,34,1,100,8,6,75.0,2,25.0,63,331,181,2,4,1,0,1,59,3,18,2017-2018
Sergio Escudero,18,es ESP,LB,28-126,90,67,1,13,34,24,4,67,5,5,100.0,0,0.0,32,156,98,4,1,3,1,1,28,4,18,2017-2018
Clément Lenglet,5,fr FRA,CB,22-203,90,47,4,25,19,4,4,47,1,1,100.0,0,0.0,28,138,59,0,0,1,0,1,27,0,18,2017-2018
Simon Kjær,4,dk DEN,CB,28-286,90,48,1,23,18,7,6,48,0,0,,0,,23,60,20,0,0,0,0,0,24,1,18,2017-2018
Sébastien Corchia,2,fr FRA,RB,27-066,84,43,0,5,21,17,1,43,2,1,50.0,1,50.0,19,93,38,3,0,0,1,1,19,2,18,2017-2018
   Pablo Sarabia,17,es ESP,"RM,RB",25-240,6,8,0,0,1,7,1,8,1,1,100.0,0,0.0,5,22,11,1,0,0,1,1,5,1,18,2017-2018
Sergio Rico,1,es ESP,GK,24-127,90,15,11,15,0,0,0,15,0,0,,0,,8,48,20,0,0,0,0,0,7,0,18,2017-2018
