player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Wissam Ben Yedder,9,fr FRA,FW,27-125,90,0,0,0,0,4,2,0,0,38,0,0,0,1.2,1.2,0.0,4,0,22,29,75.9,2,24,2,1,0,16,2017-2018
Joaquín Correa,11,ar ARG,LW,23-124,79,0,0,0,0,1,0,0,0,40,3,0,0,0.0,0.0,0.1,4,0,22,23,95.7,2,28,7,13,9,16,2017-2018
   Luis Muriel,20,co COL,LW,26-243,11,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,5,2,0,0,16,2017-2018
Pablo Sarabia,17,es ESP,RW,25-218,90,0,0,0,0,1,1,0,0,66,1,1,0,0.0,0.0,0.5,5,0,41,53,77.4,4,45,5,3,1,16,2017-2018
Éver Banega,10,ar ARG,LM,29-169,90,0,0,0,0,0,0,0,0,117,2,1,0,0.0,0.0,0.4,7,0,92,111,82.9,17,83,1,8,5,16,2017-2018
Guido Pizarro,14,ar ARG,CM,27-292,90,0,0,0,0,0,0,0,0,75,6,1,1,0.0,0.0,0.0,2,0,50,65,76.9,5,47,1,1,1,16,2017-2018
Ganso,19,br BRA,RM,28-064,66,0,0,0,0,2,1,0,0,45,1,0,2,0.4,0.4,0.0,2,0,31,38,81.6,6,27,1,0,0,16,2017-2018
   Franco Vázquez,22,ar ARG,RM,28-296,24,0,0,0,0,1,0,1,0,10,1,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,5,0,0,0,16,2017-2018
Sergio Escudero,18,es ESP,LB,28-104,90,0,0,0,0,3,0,0,0,60,2,2,2,0.2,0.2,0.0,3,0,33,46,71.7,4,30,5,2,1,16,2017-2018
Clément Lenglet,5,fr FRA,CB,22-181,90,0,0,0,0,0,0,1,0,53,1,0,0,0.0,0.0,0.0,0,0,38,43,88.4,1,27,0,0,0,16,2017-2018
Simon Kjær,4,dk DEN,CB,28-264,90,0,0,0,0,0,0,0,0,63,4,2,1,0.0,0.0,0.1,1,0,45,48,93.8,2,31,0,0,0,16,2017-2018
Gabriel Mercado,25,ar ARG,RB,30-272,75,0,0,0,0,3,2,0,0,55,2,2,2,0.2,0.2,0.0,1,0,32,41,78.0,6,27,0,0,0,16,2017-2018
   Jesús Navas,16,es ESP,RB,32-024,15,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,1,0,6,13,46.2,0,9,3,0,0,16,2017-2018
Sergio Rico,1,es ESP,GK,24-105,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,18,22,81.8,0,15,0,0,0,16,2017-2018
Enes Ünal,12,tr TUR,FW,20-219,90,0,0,0,0,2,1,0,0,29,1,0,0,0.4,0.4,0.0,1,0,15,21,71.4,0,16,0,0,0,16,2017-2018
José Luis Morales,11,es ESP,LW,30-145,90,0,0,0,0,1,0,0,0,45,2,1,1,0.0,0.0,0.1,3,0,18,27,66.7,5,27,8,15,8,16,2017-2018
Jason,23,es ESP,RW,23-162,88,0,0,0,0,5,0,0,0,34,2,1,1,0.4,0.4,0.1,5,0,15,22,68.2,3,21,2,2,1,16,2017-2018
   Samu García,7,es ESP,RW,27-155,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,16,2017-2018
José Campaña,24,es ESP,AM,24-198,90,0,0,0,0,1,1,1,0,66,6,1,1,0.1,0.1,0.3,3,0,29,45,64.4,4,26,1,5,3,16,2017-2018
