player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Carlos Bacca,9,co COL,FW,31-176,90,2,0,0,1,1,0,0,,0,0,0,0,0,2,1,0,27,2017-2018
Dani Raba,28,es ESP,FW,22-125,45,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,27,2017-2018
   Enes Ünal,15,tr TUR,FW,20-297,45,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,27,2017-2018
Pablo Fornals,8,es ESP,AM,22-009,78,3,2,1,1,1,1,2,50.0,1,2,0,2,0,3,0,0,27,2017-2018
   Roger Martínez,24,co COL,AM,23-253,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,27,2017-2018
Manu Trigueros,14,es ESP,LM,26-137,90,2,1,0,1,1,0,1,0.0,1,1,0,1,1,3,1,0,27,2017-2018
Samu Castillejo,10,es ESP,RM,23-044,58,1,0,0,0,1,0,0,,0,1,0,1,0,1,1,0,27,2017-2018
   Roberto Soriano,20,it ITA,RM,27-023,32,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,27,2017-2018
Rodri,16,es ESP,DM,21-254,90,3,2,0,3,0,1,2,50.0,1,0,0,0,2,5,3,1,27,2017-2018
Jaume Costa,11,es ESP,LB,29-350,90,2,1,1,1,0,0,3,0.0,3,1,0,1,0,2,1,0,27,2017-2018
Álvaro González,3,es ESP,CB,28-054,90,0,0,0,0,0,0,2,0.0,2,2,1,1,1,1,10,0,27,2017-2018
Daniele Bonera,23,it ITA,CB,36-276,90,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,2,0,27,2017-2018
Mario Gaspar,2,es ESP,RB,27-099,90,3,1,0,1,2,2,2,100.0,0,2,0,2,5,8,4,0,27,2017-2018
Sergio Asenjo,1,es ESP,GK,28-248,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,27,2017-2018
Cristhian Stuani,7,uy URU,FW,31-142,70,1,1,0,1,0,0,0,,0,1,0,1,0,1,1,0,27,2017-2018
   Anthony Lozano,19,hn HON,FW,24-312,20,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,27,2017-2018
Borja García,24,es ESP,AM,27-121,90,2,1,2,0,0,2,2,100.0,0,2,0,2,1,3,2,0,27,2017-2018
Portu,9,es ESP,AM,25-286,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,27,2017-2018
Álex Granell,6,es ESP,CM,29-213,90,2,1,0,1,1,0,2,0.0,2,2,0,2,1,3,3,0,27,2017-2018
Pere Pons,8,es ESP,CM,25-011,62,1,1,1,0,0,1,5,20.0,4,0,0,0,0,1,1,0,27,2017-2018
   Aleix García,23,es ESP,CM,20-248,28,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0,27,2017-2018
Carles Planas,21,es ESP,WB,26-364,24,1,1,1,0,0,0,0,,0,0,0,0,1,2,1,0,27,2017-2018
   Johan Mojica,3,co COL,WB,25-194,66,2,1,2,0,0,1,1,100.0,0,0,0,0,1,3,4,1,27,2017-2018
Pablo Maffeo,25,es ESP,WB,20-234,90,2,2,2,0,0,1,2,50.0,1,0,0,0,1,3,2,0,27,2017-2018
Juanpe,15,es ESP,CB,26-307,90,3,1,3,0,0,1,1,100.0,0,1,1,0,3,6,7,0,27,2017-2018
Bernardo Espinosa,2,co COL,CB,28-235,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,6,0,27,2017-2018
Jonás Ramalho,4,es ESP,CB,24-266,90,0,0,0,0,0,0,0,,0,2,0,2,2,2,7,0,27,2017-2018
Yassine Bounou,13,ma MAR,GK,26-332,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,27,2017-2018
Luis Muriel,20,co COL,FW,26-321,67,0,0,0,0,0,0,0,,0,3,0,3,0,0,0,0,27,2017-2018
   Nolito,24,es ESP,FW,31-139,23,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,27,2017-2018
Joaquín Correa,11,ar ARG,LW,23-202,89,1,1,1,0,0,1,3,33.3,2,2,0,2,1,2,0,0,27,2017-2018
   Guido Pizarro,14,ar ARG,LW,28-005,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,27,2017-2018
Pablo Sarabia,17,es ESP,RW,25-296,90,1,1,0,1,0,1,2,50.0,1,1,0,1,1,2,0,0,27,2017-2018
Franco Vázquez,22,ar ARG,AM,29-009,90,1,1,0,1,0,0,1,0.0,1,3,0,3,1,2,1,0,27,2017-2018
Steven Nzonzi,15,fr FRA,DM,29-078,90,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,27,2017-2018
Éver Banega,10,ar ARG,DM,29-247,90,2,2,0,2,0,0,1,0.0,1,3,0,3,0,2,0,0,27,2017-2018
Sergio Escudero,18,es ESP,LB,28-182,90,2,1,0,0,2,1,2,50.0,1,2,0,2,1,3,2,0,27,2017-2018
