player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Sergio Álvarez,1,es ESP,GK,31-247,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,17,38,44.7,0,16,0,0,0,31,2017-2018
Wissam Ben Yedder,9,fr FRA,FW,27-238,90,0,0,0,0,3,2,0,0,37,0,1,1,0.9,0.9,0.1,4,0,18,23,78.3,5,22,3,2,1,31,2017-2018
Sandro Ramírez,23,es ESP,LW,22-272,90,0,0,0,0,4,2,0,0,38,1,1,1,0.5,0.5,0.7,6,0,25,29,86.2,2,25,3,1,1,31,2017-2018
Pablo Sarabia,17,es ESP,RW,25-331,70,0,0,0,0,1,0,0,0,44,1,2,2,0.1,0.1,0.1,4,0,26,35,74.3,4,19,3,3,1,31,2017-2018
   Nolito,24,es ESP,"AM,RW",31-174,20,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,8,12,66.7,2,10,0,1,0,31,2017-2018
Éver Banega,10,ar ARG,"AM,DM",29-282,90,0,0,0,0,3,1,1,0,92,2,1,0,0.1,0.1,0.3,5,0,70,83,84.3,9,53,1,5,5,31,2017-2018
Guido Pizarro,14,ar ARG,DM,28-040,57,0,0,0,0,2,0,1,0,41,2,2,0,0.3,0.3,0.1,3,0,29,35,82.9,2,20,2,0,0,31,2017-2018
   Franco Vázquez,22,ar ARG,"DM,RW",29-044,33,0,0,0,0,0,0,0,0,22,1,1,0,0.0,0.0,0.0,2,0,14,17,82.4,3,15,1,0,0,31,2017-2018
Steven Nzonzi,15,fr FRA,DM,29-113,90,0,0,0,0,1,1,0,0,71,1,0,2,0.0,0.0,0.0,0,0,57,64,89.1,7,33,0,2,1,31,2017-2018
Guilherme Arana,8,br BRA,LB,20-358,90,0,0,0,0,0,0,0,0,67,2,3,0,0.0,0.0,0.0,1,0,49,60,81.7,2,32,3,0,0,31,2017-2018
Daniel Carriço,6,pt POR,CB,29-246,90,0,0,0,0,0,0,0,0,65,2,2,2,0.0,0.0,0.0,1,0,48,58,82.8,7,24,0,0,0,31,2017-2018
Simon Kjær,4,dk DEN,CB,29-012,39,0,0,0,0,0,0,0,0,22,0,1,0,0.0,0.0,0.0,0,0,11,17,64.7,0,9,0,0,0,31,2017-2018
   Clément Lenglet,5,fr FRA,CB,22-294,51,0,0,0,0,0,0,0,0,24,0,3,1,0.0,0.0,0.0,0,0,18,19,94.7,0,9,0,0,0,31,2017-2018
Miguel Layún,3,mx MEX,RB,29-286,90,0,0,0,0,2,0,0,0,61,5,4,2,0.1,0.1,0.0,0,0,35,47,74.5,2,25,5,2,1,31,2017-2018
David Soria,13,es ESP,GK,25-003,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,24,38,63.2,0,13,0,0,0,31,2017-2018
Sergio León,7,es ESP,FW,29-091,61,1,0,0,0,2,1,0,0,20,0,0,3,0.5,0.5,0.0,0,0,8,12,66.7,2,11,0,1,1,31,2017-2018
   Loren Morón,16,es ESP,"FW,AM",24-098,29,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.4,1,0,7,8,87.5,1,7,0,0,0,31,2017-2018
Cristian Tello,20,es ESP,AM,26-239,81,0,0,0,0,1,0,0,0,37,2,1,0,0.1,0.1,0.1,4,0,21,32,65.6,2,23,2,2,2,31,2017-2018
   Rubén Castro,24,es ESP,"FW,AM",36-284,9,0,0,0,0,3,2,0,0,6,0,0,0,0.8,0.8,0.0,0,0,3,3,100.0,0,5,2,0,0,31,2017-2018
Ryad Boudebouz,10,dz ALG,AM,28-047,67,0,0,0,0,1,1,0,0,41,2,0,0,0.0,0.0,0.1,2,0,24,33,72.7,4,26,4,3,2,31,2017-2018
   Joaquín,17,es ESP,AM,36-260,23,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.2,3,0,15,16,93.8,3,10,0,0,0,31,2017-2018
Andrés Guardado,18,mx MEX,CM,31-191,90,0,0,0,0,2,0,0,0,47,2,0,0,0.0,0.0,0.0,3,0,27,38,71.1,5,27,0,0,0,31,2017-2018
Fabián Ruiz Peña,6,es ESP,CM,22-004,90,0,0,0,0,1,0,0,0,63,3,1,1,0.0,0.0,0.0,1,0,42,54,77.8,5,39,1,3,2,31,2017-2018
Junior Firpo,28,es ESP,WB,21-228,90,0,0,0,0,1,0,0,0,47,3,3,0,0.1,0.1,0.5,3,0,28,37,75.7,1,25,1,0,0,31,2017-2018
Antonio Barragán,19,es ESP,WB,30-299,90,0,1,0,0,0,0,0,0,69,2,1,0,0.0,0.0,0.4,3,2,51,61,83.6,5,32,3,2,2,31,2017-2018
Jordi Amat,5,id IDN,CB,26-017,90,0,0,0,0,1,0,1,0,45,2,3,0,0.0,0.0,0.0,2,0,27,33,81.8,4,20,1,2,2,31,2017-2018
Marc Bartra,15,es ESP,CB,27-082,90,0,0,0,0,2,0,0,0,62,1,2,1,0.3,0.3,0.0,0,0,30,45,66.7,1,31,0,0,0,31,2017-2018
Aïssa Mandi,23,dz ALG,CB,26-167,90,0,0,0,0,0,0,1,0,57,1,3,0,0.0,0.0,0.0,0,0,34,45,75.6,1,28,0,1,1,31,2017-2018
Dani Giménez,1,es ESP,GK,34-251,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,24,34,70.6,0,18,0,0,0,31,2017-2018
