player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Cristhian Stuani,7,uy URU,FW,31-170,90,13,15,86.7,174,28,9,11,81.8,4,4,100.0,0,0,,0,0.0,0.0,0,3,1,0,3,30,2017-2018
Borja García,24,es ESP,AM,27-149,82,34,38,89.5,532,139,19,19,100.0,9,10,90.0,4,7,57.1,0,0.2,0.1,3,4,1,1,7,30,2017-2018
   David Timor,16,es ESP,"CM,AM",28-165,8,8,12,66.7,153,81,3,4,75.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0,4,0,0,2,30,2017-2018
Portu,9,es ESP,AM,25-314,76,12,18,66.7,161,68,8,9,88.9,4,5,80.0,0,0,,1,0.3,0.3,2,1,2,0,2,30,2017-2018
   Anthony Lozano,19,hn HON,AM,24-340,14,2,5,40.0,43,37,0,1,0.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,0,0,0,30,2017-2018
Álex Granell,6,es ESP,CM,29-241,90,45,65,69.2,931,319,21,27,77.8,18,26,69.2,6,9,66.7,0,0.2,0.1,4,7,1,0,7,30,2017-2018
Pere Pons,8,es ESP,"CM,AM",25-039,90,35,46,76.1,646,155,17,22,77.3,14,17,82.4,4,5,80.0,0,0.0,0.0,1,1,1,0,5,30,2017-2018
Aday,11,es ESP,WB,30-105,90,38,54,70.4,609,187,19,24,79.2,13,16,81.3,4,10,40.0,0,0.1,0.2,1,1,1,1,1,30,2017-2018
Pablo Maffeo,25,es ESP,WB,20-262,90,35,54,64.8,543,278,23,28,82.1,9,17,52.9,2,4,50.0,0,0.0,0.0,0,1,0,0,1,30,2017-2018
Juanpe,15,es ESP,CB,26-335,90,24,30,80.0,633,351,3,3,100.0,14,16,87.5,7,10,70.0,0,0.0,0.0,0,5,0,0,1,30,2017-2018
Bernardo Espinosa,2,co COL,CB,28-263,90,31,37,83.8,747,344,6,8,75.0,18,18,100.0,7,10,70.0,0,0.0,0.0,0,1,0,0,1,30,2017-2018
Jonás Ramalho,4,es ESP,CB,24-294,90,21,28,75.0,428,136,7,7,100.0,10,12,83.3,4,7,57.1,0,0.0,0.0,0,0,0,0,2,30,2017-2018
Yassine Bounou,13,ma MAR,GK,26-360,90,17,29,58.6,705,612,1,1,100.0,5,5,100.0,11,23,47.8,0,0.0,0.0,0,0,0,0,0,30,2017-2018
Roger Martí,9,es ESP,FW,27-087,90,16,18,88.9,231,67,11,13,84.6,4,4,100.0,1,1,100.0,0,0.3,0.1,2,4,1,0,4,30,2017-2018
Emmanuel Boateng,21,gh GHA,FW,21-312,63,10,14,71.4,115,24,8,10,80.0,2,3,66.7,0,0,,0,0.0,0.0,0,2,0,0,0,30,2017-2018
