player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Cristhian Stuani,7,uy URU,FW,31-148,87,1,0,0,0,2,1,0,0,20,1,0,0,0.7,0.7,0.0,2,0,11,15,73.3,2,11,0,1,1,28,2017-2018
   Douglas Luiz,12,br BRA,"FW,RM",19-304,3,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,0,0,28,2017-2018
Borja García,24,es ESP,AM,27-127,71,0,0,0,0,0,0,0,0,40,1,2,2,0.0,0.0,0.2,4,0,29,34,85.3,3,25,1,0,0,28,2017-2018
   Aleix García,23,es ESP,"CM,AM",20-254,19,0,0,0,0,0,0,0,0,24,0,1,0,0.0,0.0,0.0,0,0,18,23,78.3,2,18,0,1,1,28,2017-2018
Portu,9,es ESP,"AM,FW",25-292,81,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,0,0,12,13,92.3,0,16,2,5,2,28,2017-2018
   Anthony Lozano,19,hn HON,FW,24-318,9,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,0,0,3,6,50.0,0,6,1,0,0,28,2017-2018
Álex Granell,6,es ESP,CM,29-219,90,0,1,0,0,2,1,0,0,81,2,1,2,0.1,0.1,0.2,4,1,60,72,83.3,5,59,0,1,1,28,2017-2018
Pere Pons,8,es ESP,CM,25-017,90,0,0,0,0,1,1,1,0,52,4,0,2,0.0,0.0,0.0,3,0,32,42,76.2,6,32,1,2,2,28,2017-2018
Johan Mojica,3,co COL,"WB,LB",25-200,90,0,0,0,0,1,0,0,0,72,0,2,1,0.1,0.1,0.0,2,0,46,57,80.7,2,45,6,3,2,28,2017-2018
Pablo Maffeo,25,es ESP,"WB,RB",20-240,90,0,0,0,0,1,1,0,0,60,3,1,4,0.0,0.0,0.0,1,1,32,49,65.3,2,35,4,0,0,28,2017-2018
Juanpe,15,es ESP,CB,26-313,90,1,0,0,0,1,1,0,0,51,1,1,1,0.1,0.1,0.0,0,0,33,44,75.0,2,28,0,0,0,28,2017-2018
Bernardo Espinosa,2,co COL,CB,28-241,90,0,0,0,0,1,1,0,0,44,1,1,0,0.1,0.1,0.0,1,1,23,32,71.9,1,24,0,1,0,28,2017-2018
Jonás Ramalho,4,es ESP,CB,24-272,90,0,0,0,0,0,0,0,0,32,1,3,0,0.0,0.0,0.0,0,0,18,25,72.0,0,20,0,1,1,28,2017-2018
Yassine Bounou,13,ma MAR,GK,26-338,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,9,29,31.0,0,15,0,0,0,28,2017-2018
Lucas Pérez,7,es ESP,"FW,RM",29-180,90,0,0,0,0,0,0,0,0,45,1,1,0,0.0,0.0,0.1,3,0,24,38,63.2,6,28,3,3,2,28,2017-2018
Florin Andone,10,ro ROU,FW,24-332,90,0,0,0,0,4,2,0,0,27,0,0,0,0.7,0.7,0.0,3,0,12,17,70.6,1,19,3,2,1,28,2017-2018
Adrián López,15,es ESP,"AM,RM,CM",30-060,90,0,0,0,0,1,1,0,0,45,0,0,1,0.1,0.1,0.1,1,0,28,40,70.0,7,36,2,4,3,28,2017-2018
Pedro Mosquera,5,es ESP,"LM,DM,CB,CM",29-322,90,0,0,0,0,2,0,1,0,75,2,1,0,0.0,0.0,0.0,2,0,49,64,76.6,4,46,0,3,3,28,2017-2018
Celso Borges,22,cr CRC,"RM,CM,AM",29-286,90,0,0,0,0,0,0,0,0,59,4,1,1,0.0,0.0,0.0,2,0,35,52,67.3,6,28,1,0,0,28,2017-2018
Sulley Muntari,21,gh GHA,"DM,LM",33-194,65,0,0,0,0,0,0,1,0,45,3,3,0,0.0,0.0,0.4,1,0,25,36,69.4,6,25,0,0,0,28,2017-2018
   Zakaria Bakkali,18,be BEL,LM,22-042,25,0,0,0,0,1,1,0,0,13,0,0,0,0.0,0.0,0.0,1,0,9,12,75.0,2,10,2,1,1,28,2017-2018
Fernando Navarro,3,es ESP,LB,35-257,90,0,0,0,0,0,0,1,0,57,1,3,1,0.0,0.0,0.0,0,0,35,45,77.8,4,17,0,0,0,28,2017-2018
