Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Rubén,es ESP,33-299,90,7,0,7,100.0,2.2,9,18,50.0,16,5,43.8,36.8,14,78.6,53.1,16,3,18.8,0,9.8,33,2017-2018
David Soria,es ESP,25-013,90,6,0,6,100.0,0.8,12,14,85.7,24,7,29.2,33.5,12,58.3,44.8,23,2,8.7,2,11.9,33,2017-2018
Sergio Álvarez,es ESP,31-257,90,6,2,4,66.7,1.4,3,13,23.1,22,4,36.4,34.6,8,62.5,45.0,6,0,0.0,1,17.0,33,2017-2018
Marc-André ter Stegen,de GER,25-352,90,8,2,6,75.0,3.4,4,22,18.2,35,4,40.0,36.8,10,80.0,60.7,13,0,0.0,0,12.3,33,2017-2018
Sergio Asenjo,es ESP,28-293,90,1,1,0,0.0,0.4,4,10,40.0,21,5,47.6,35.9,4,0.0,22.0,12,3,25.0,6,15.5,33,2017-2018
Iván Cuéllar,es ESP,33-325,90,6,2,4,66.7,1.7,7,25,28.0,28,5,64.3,45.8,7,100.0,70.0,15,0,0.0,0,,33,2017-2018
Pau López,es ESP,23-126,90,1,1,0,0.0,0.3,7,18,38.9,29,5,44.8,38.6,8,62.5,49.3,13,0,0.0,0,8.0,33,2017-2018
Marko Dmitrović,rs SRB,26-084,90,4,0,4,100.0,0.4,8,30,26.7,34,3,79.4,55.6,3,100.0,71.3,13,1,7.7,2,18.6,33,2017-2018
Jaume Doménech,es ESP,27-164,90,3,2,1,33.3,0.9,1,3,33.3,18,6,11.1,21.3,5,20.0,32.4,12,0,0.0,1,14.0,33,2017-2018
Vicente Guaita,es ESP,31-098,90,3,1,2,66.7,0.8,5,34,14.7,26,1,92.3,54.4,10,100.0,63.4,26,5,19.2,0,8.7,33,2017-2018
Keylor Navas,cr CRC,31-124,90,2,1,1,50.0,0.6,3,10,30.0,29,6,31.0,35.5,3,33.3,39.7,9,1,11.1,4,17.3,33,2017-2018
Kepa Arrizabalaga,es ESP,23-197,90,10,1,9,90.0,2.0,10,30,33.3,22,2,81.8,53.4,13,92.3,65.0,35,2,5.7,0,6.3,33,2017-2018
Gerónimo Rulli,ar ARG,25-334,90,2,0,2,100.0,0.7,2,12,16.7,34,2,26.5,31.1,4,75.0,54.5,12,1,8.3,1,17.5,33,2017-2018
Jan Oblak,si SVN,25-102,90,4,3,1,25.0,2.3,4,12,33.3,8,4,50.0,41.9,10,80.0,54.9,11,1,9.1,0,3.0,33,2017-2018
Fernando Pacheco,es ESP,25-336,90,5,2,3,80.0,2.3,8,19,42.1,27,2,59.3,40.1,4,75.0,50.0,19,0,0.0,1,25.0,33,2017-2018
Yassine Bounou,ma MAR,27-014,90,5,1,4,80.0,0.8,7,26,26.9,22,3,68.2,46.6,11,100.0,65.9,17,0,0.0,3,18.2,33,2017-2018
Dani Giménez,es ESP,34-263,90,0,0,0,,0.0,3,12,25.0,29,1,31.0,33.8,6,50.0,38.8,7,1,14.3,1,12.3,33,2017-2018
Raúl Lizoain,es ESP,27-082,90,8,1,7,87.5,1.9,7,24,29.2,39,5,35.9,31.2,14,71.4,47.4,11,0,0.0,3,20.6,33,2017-2018
Oier Olazábal,es ESP,28-217,90,2,0,2,100.0,0.5,1,4,25.0,18,4,22.2,30.2,8,0.0,29.6,13,0,0.0,0,,33,2017-2018
Roberto,es ESP,32-068,90,2,1,1,50.0,1.1,8,28,28.6,21,2,71.4,47.7,13,100.0,62.8,18,0,0.0,0,7.0,33,2017-2018
