Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Matchweek,Season
Rubén,es ESP,33-219,90,4,2,2,50.0,1.1,11,30,36.7,18,2,83.3,49.5,16,93.8,59.4,26,1,3.8,2,17.2,21,2017-2018
Oier Olazábal,es ESP,28-135,90,2,2,0,0.0,1.2,1,6,16.7,13,2,38.5,38.5,4,25.0,39.8,6,2,33.3,1,10.0,21,2017-2018
Neto,br BRA,28-192,90,7,4,3,71.4,3.1,4,9,44.4,12,2,41.7,36.2,7,57.1,51.4,12,0,0.0,1,13.3,21,2017-2018
Keylor Navas,cr CRC,31-043,90,4,1,3,75.0,1.2,7,14,50.0,26,6,30.8,32.9,8,75.0,55.4,13,1,7.7,0,5.0,21,2017-2018
Roberto,es ESP,31-351,90,2,0,2,100.0,0.2,10,19,52.6,17,2,76.5,48.3,6,100.0,66.2,16,2,12.5,0,3.5,21,2017-2018
Yassine Bounou,ma MAR,26-297,90,1,0,1,100.0,0.6,7,15,46.7,19,3,47.4,40.4,7,85.7,62.3,18,0,0.0,0,10.7,21,2017-2018
Sergio Asenjo,es ESP,28-213,90,6,2,4,66.7,0.8,3,11,27.3,16,7,25.0,35.2,11,63.6,46.7,34,0,0.0,0,2.0,21,2017-2018
Toño Ramírez,es ESP,31-065,90,7,4,3,42.9,3.1,1,4,25.0,21,5,14.3,25.1,5,20.0,29.2,3,0,0.0,0,7.8,21,2017-2018
Iván Cuéllar,es ESP,33-246,90,3,2,1,33.3,0.9,10,28,35.7,23,4,78.3,50.7,11,90.9,56.6,21,1,4.8,4,15.8,21,2017-2018
Diego López,es ESP,36-086,90,6,3,5,50.0,1.0,7,18,38.9,24,5,45.8,36.8,8,87.5,52.6,11,0,0.0,0,12.5,21,2017-2018
Jan Oblak,si SVN,25-021,90,1,0,1,100.0,0.0,7,17,41.2,18,1,61.1,45.6,8,75.0,50.3,10,0,0.0,0,8.0,21,2017-2018
Leandro Chichizola,ar ARG,27-307,90,6,3,3,50.0,3.0,8,22,36.4,34,1,47.1,37.2,9,66.7,52.4,9,0,0.0,8,22.8,21,2017-2018
Sergio Rico,es ESP,24-149,90,2,1,1,50.0,0.4,1,4,25.0,14,4,7.1,21.9,7,42.9,45.4,13,2,15.4,0,13.6,21,2017-2018
Vicente Guaita,es ESP,31-018,90,1,1,0,0.0,0.3,4,27,14.8,23,3,56.5,41.6,14,100.0,61.6,13,1,7.7,2,11.7,21,2017-2018
Marc-André ter Stegen,de GER,25-273,90,4,1,3,75.0,1.2,1,3,33.3,23,5,13.0,20.3,1,0.0,40.0,5,1,20.0,2,18.0,21,2017-2018
Fernando Pacheco,es ESP,25-255,90,12,2,10,83.3,3.2,9,31,29.0,20,1,85.0,51.8,14,100.0,63.1,12,0,0.0,0,3.0,21,2017-2018
Rubén Blanco,es ESP,22-188,90,3,2,1,66.7,1.4,4,19,21.1,31,4,48.4,38.6,4,100.0,61.3,9,0,0.0,5,16.0,21,2017-2018
Antonio Adán,es ESP,30-261,90,5,3,2,40.0,4.1,11,26,42.3,54,4,38.9,34.0,7,71.4,45.7,10,1,10.0,0,15.5,21,2017-2018
Gerónimo Rulli,ar ARG,25-258,90,1,0,1,100.0,0.3,6,20,30.0,38,3,50.0,35.8,2,50.0,38.5,10,1,10.0,1,15.3,22,2017-2018
Rubén,es ESP,33-225,90,8,5,3,37.5,3.0,5,22,22.7,18,2,83.3,48.3,8,87.5,56.4,17,2,11.8,0,8.3,22,2017-2018
